job_id	entity_id	control_class	expected_behavior	conformation	docking_seed	state	representative_model	remote_representative_model_gz	job_hash	representative_pair_label	model_strict_a_fraction	haddock_score	native_hotspot_overlap	cross_hotspot_overlap	native_total_occlusion	cross_total_occlusion	native_cdr3_occlusion	cross_cdr3_occlusion
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s1931_70d9d983666b	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s1931_70d9d983666b/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	70d9d983666bf1db10ac99c91ac514d2a35974a8e03eba0adebdf4aa4fea1f9d	STRICT_A	0.857143	-98.22200000000001	18	18	679	675	118	125
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s3253_adf64e66d06b	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s3253_adf64e66d06b/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	adf64e66d06b397b1a8c48fd27b1e84564a513d721d682cd49b1d2e445d0c4b4	SUPPORTED_AB	0.4	-83.78960000000001	17	17	391	407	69	68
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s917_456e622da1b3	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s917_456e622da1b3/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	456e622da1b3a2e78a76bdbf3a3d9037277e2b08bfd4b5aa87790e24c69c869f	SUPPORTED_AB	0.0	-88.327	18	18	638	621	100	91
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s1931_2aff1d365391	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s1931_2aff1d365391/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	2aff1d36539156dd020075acf6bd09948ef997a14185c2777ba37e677a7337a9	SUPPORTED_AB	0.3	-91.92110000000001	18	18	640	629	99	92
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s3253_f42af5fd49e9	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_8x6b_s3253_f42af5fd49e9/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	f42af5fd49e9d203338a9bbb3604eaa262e38cf644a7246b5e454e44adaf4088	SUPPORTED_AB	0.0	-75.88505	17	17	597	585	90	82
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s917_f55358c2d37d	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s917_f55358c2d37d/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	f55358c2d37d1d7fb06bd2e4c70b1e7a8c5745d6fb29f329c035105b3ac89b1b	SUPPORTED_AB	0.0	-75.2532	15	15	612	632	86	91
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s1931_12a15919d319	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s1931_12a15919d319/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	12a15919d3190b03c2ac59504ee24af9982c9a5d69e39ad23821108cb98cf6eb	SUPPORTED_AB	0.0	-98.71940000000004	18	18	590	616	81	90
CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s3253_2bed21d9f51c	CTRL_PATENT_003_case02_pos_03_PVRIG-30	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_003_case02_pos_03_PVRIG-30_9e6y_s3253_2bed21d9f51c/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	2bed21d9f51ca10690c95ab483d019241985413785c5c9f6958a2cf83b6a276b	SUPPORTED_AB	0.3	-82.33160000000001	18	18	599	623	87	92
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s917_4ff6aad086d0	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s917_4ff6aad086d0/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	4ff6aad086d0369fd25b2b1d5b8f9839cd6edf022594dc60957dd897c926c092	SUPPORTED_AB	0.3	-52.50919999999999	16	16	704	732	95	107
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s1931_1c0f6d04b33c	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s1931_1c0f6d04b33c/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	1c0f6d04b33cb5e7d75ee9c1659edcee8cdd86607ce9e05be5f24ec0f9a6cdc4	SUPPORTED_AB	0.3	-62.5984	15	15	339	327	108	107
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s3253_c68e330b2220	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_8x6b_s3253_c68e330b2220/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	c68e330b2220d06b534e1bbe6b4b327bb1f38428baec08b7a2371fae5844d7b1	STRICT_A	0.6	-70.3743	17	17	569	568	134	136
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s917_b16199efae7b	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s917_b16199efae7b/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	b16199efae7b7bdd930f502d60ba700d09c4525a1a952d4b142361a03f11c948	STRICT_A	0.5	-54.557900000000004	16	16	695	678	158	150
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s1931_bec45144ee4c	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s1931_bec45144ee4c/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	bec45144ee4cc393df8b8e6865262c7b8d5adfeb206b2de14040f25e1c0dcd70	STRICT_A	0.6	-70.88199999999999	19	19	523	535	128	138
CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s3253_83174b52fca6	CTRL_PATENT_004_case02_pos_04_PVRIG-38	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_004_case02_pos_04_PVRIG-38_9e6y_s3253_83174b52fca6/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	83174b52fca687d0343e4e16474e3fbac70f1c665684d3187a46e6646e5cbec0	STRICT_A	0.7	-64.7225	19	19	564	558	132	135
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s917_f10f6a720fbb	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s917_f10f6a720fbb/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	f10f6a720fbbbed07a2dda46515709acca84e89abc4823a347a97f0d176afdb6	STRICT_A	0.5	-74.01610000000001	17	17	654	629	124	115
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s1931_8f7d411453ae	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s1931_8f7d411453ae/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	8f7d411453ae56147a3f2f11cc7029df69cd99f378199d8d82b97494c74d813e	SUPPORTED_AB	0.1	-82.9712	12	12	402	430	85	87
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s3253_7022e859b3bc	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_8x6b_s3253_7022e859b3bc/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	7022e859b3bc60a65e23643989bd515ee23a08fbbad84170d048c8f6f19f04d4	SUPPORTED_AB	0.4	-96.4168	14	14	589	592	89	84
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s917_58133ae56a16	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s917_58133ae56a16/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	58133ae56a16116c9aa2fa0ec2e0d9e2d327954f60a3526cfeed8393a3224250	STRICT_A	0.2	-78.82090000000001	19	19	640	643	113	111
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s1931_b72a2a77739a	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s1931_b72a2a77739a/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	b72a2a77739a2c47d29cf2aeb9b2c8076561e8923c971a76a15730505b196a13	SUPPORTED_AB	0.2	-77.9777	17	17	486	499	65	67
CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s3253_d89e130acbe5	CTRL_PATENT_005_case02_pos_05_PVRIG-39	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_005_case02_pos_05_PVRIG-39_9e6y_s3253_d89e130acbe5/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	d89e130acbe5f191fa2f08289924d90bdb9223de62af06d8e9bc3c4c9cb953d0	SUPPORTED_AB	0.1	-46.49959999999999	18	18	984	980	133	133
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s917_34851d82703e	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s917_34851d82703e/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	34851d82703e224fcdb1ae049b5e6ca08f0cc2863e1e74646702aced8d51c715	SUPPORTED_AB	0.0	-78.8551	18	18	723	713	100	97
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s1931_b789b7dac590	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s1931_b789b7dac590/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	b789b7dac590e4fe63ba07e5fc4526f3745981917c7c25c9c23d8cc71da46500	STRICT_A	0.555556	-93.64428000000001	22	22	834	823	136	143
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s3253_454a45f2b1ff	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_8x6b_s3253_454a45f2b1ff/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	454a45f2b1ff211a176e4179af4a31d7bea2e07206f0cfcd72f5b86d56bf7fea	SUPPORTED_AB	0.5	-86.77929999999999	15	15	718	704	105	99
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s917_4459abd24b41	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s917_4459abd24b41/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	4459abd24b41d731edeb46aa15a575f3fb2215cdf9c7590b909fb13e5067998d	SUPPORTED_AB	0.4	-88.47200000000001	18	18	582	579	86	87
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s1931_78ba9b151922	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s1931_78ba9b151922/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	78ba9b151922eff635fca69c890964d0862075d4721d88e28786d2c6a320e91e	SUPPORTED_AB	0.3	-95.02770000000001	17	17	548	547	80	85
CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s3253_90229e2c2e89	CTRL_PATENT_006_case02_pos_06_20H5	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_006_case02_pos_06_20H5_9e6y_s3253_90229e2c2e89/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	90229e2c2e89f104b24d1bf6d3aeb6e227f798cb69248b161d994d6b2e2926e9	SUPPORTED_AB	0.2	-110.1859	18	18	703	714	107	107
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s917_7369a0b4bf5a	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s917_7369a0b4bf5a/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	7369a0b4bf5a26da755d3d9b326d6793f0eb76c64ad0fcc85f8368bc38b0abb1	SUPPORTED_AB	0.0	-76.89089999999999	17	17	600	595	91	89
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s1931_871c452d6eb2	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s1931_871c452d6eb2/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	871c452d6eb2c2cc07d2831ba4bb705b4c5a0a1578c18482f1a0c0e906f1a5a6	SUPPORTED_AB	0.2	-65.13272	18	18	607	602	96	93
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s3253_69af40ac649f	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_8x6b_s3253_69af40ac649f/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	69af40ac649f962f15362c0b535a41290d6e239af3febf459522369432830e30	SUPPORTED_AB	0.0	-58.559300000000015	18	18	695	714	92	94
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s917_8d89cda07ce2	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s917_8d89cda07ce2/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	8d89cda07ce237a43a61678ea8d097d95f08cc82cbbebe393db33148b2671c17	SUPPORTED_AB	0.0	-85.37180000000001	16	16	626	630	94	90
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s1931_058952c28bce	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s1931_058952c28bce/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	058952c28bcec12ce11c9f1cf81685348078ed9307dc645d04a5f8ff90f94859	SUPPORTED_AB	0.0	-67.28098	18	18	718	735	106	107
CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s3253_ecbff659a4d2	CTRL_PATENT_007_case02_pos_07_30H2	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_007_case02_pos_07_30H2_9e6y_s3253_ecbff659a4d2/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	ecbff659a4d28bb0805c026b6b4204cf60eae85b44fed0db64da1a33d8cffa71	SUPPORTED_AB	0.0	-65.62142000000001	17	17	616	631	74	75
