name,input_type,passed,reason_type,chain,cdr,positive_name,identity,threshold,details
PVRIG-38_family_38_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,38,1,0.8,CDRH2 identity to 38 is 1 >= 0.8
PVRIG-38_family_38_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,38,1,0.8,CDRH3 identity to 38 is 1 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,20,1,0.8,CDRH1 identity to 20 is 1 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,39,1,0.8,CDRH1 identity to 39 is 1 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.866667,0.8,CDRH3 identity to 20 is 0.866667 >= 0.8
PVRIG-39_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,39,1,0.8,CDRH3 identity to 39 is 1 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,20,0.875,0.8,CDRH1 identity to 20 is 0.875 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,39,0.875,0.8,CDRH1 identity to 39 is 0.875 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.933333,0.8,CDRH3 identity to 20 is 0.933333 >= 0.8
20H5_family_20_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,39,0.866667,0.8,CDRH3 identity to 39 is 0.866667 >= 0.8
30H2_family_30_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,30,1,0.8,CDRH2 identity to 30 is 1 >= 0.8
30H2_family_30_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,30,0.928571,0.8,CDRH3 identity to 30 is 0.928571 >= 0.8
39H2_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
39H2_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
39H2_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.866667,0.8,CDRH3 identity to 20 is 0.866667 >= 0.8
39H2_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,39,1,0.8,CDRH3 identity to 39 is 1 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,20,0.875,0.8,CDRH1 identity to 20 is 0.875 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,39,0.875,0.8,CDRH1 identity to 39 is 0.875 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,20,1,0.8,CDRH2 identity to 20 is 1 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,39,1,0.8,CDRH2 identity to 39 is 1 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,20,0.866667,0.8,CDRH3 identity to 20 is 0.866667 >= 0.8
39H4_family_39_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,39,1,0.8,CDRH3 identity to 39 is 1 >= 0.8
151H7_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
151H7_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
151H7_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,151,1,0.8,CDRH3 identity to 151 is 1 >= 0.8
151H8_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH1,151,1,0.8,CDRH1 identity to 151 is 1 >= 0.8
151H8_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH2,151,1,0.8,CDRH2 identity to 151 is 1 >= 0.8
151H8_family_151_role_positive_calibration_not_candidate,nanobody,false,high_cdr_identity,VH,CDRH3,151,1,0.8,CDRH3 identity to 151 is 1 >= 0.8
