consensus_rank,candidate_id,sequence_sha256,source_dataset,candidate_role,source_score,model_score,design_lineage_status
12,zym_test_3420679,f5ea048068d883b5bb10a93e71ed30bcc59ffa0b6f95e5ce681832046a7b545d,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.7755102040816326,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
13,zym_test_6847,8b0926c092d6c121f613ef5b91559557f879d6bab11237860c5181d99e915c44,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.7551020408163265,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
14,zym_test_6720,2349a86bfa9606aa9959874ee77376922b835ad38c23c662241db638dd0d7259,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.7346938775510203,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
15,zym_test_437,822f303a32761b356ab989a54623d308f239322b5548a44e43b2a46bf6ce9403,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.188507823,0.7142857142857143,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
16,zym_test_7954,a427c9f95b95038960d7c31395afff1a0be36f216f53a342e185e175510f4237,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.6938775510204082,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
17,zym_test_208099,d9ceadbd7d363955a0dd5b643ab95d1fa80a576db39930b83f10b2d08acf0adb,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.6734693877551021,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
18,zym_test_3443599,66b6584e7f98b38ab725053ad61a4fe4376079ad1743ea5f675a472bae149b3d,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,0.653061224489796,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
19,zym_test_1570,bc1be2ed54ce06053d9515c6d1cfc8ed663946fce4d40d92aa263a7efa27f2df,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.174296733,0.6326530612244898,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
20,zym_test_2065,b504f6a696c316db5a60aa63d16ccfd17bdd291189de7f4b6b8e771e06b17117,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.517244715,0.6122448979591837,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
21,zym_test_7686,a1ed835d9788e1f772a8f171f964d49d25930e69e5efdf44f467197a1c99819d,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.5918367346938775,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
22,zym_test_13839,afea5081f1f3b2b6b2f726c4c7d5c7cc0e295fe12df4d8a5769aafc853a95354,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.5714285714285714,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
23,zym_test_1007056,fe8eea4436900ef63f717e9f48f56667198f70f3527ac01972bdabc2fa1365bb,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,9.848285203,0.5510204081632653,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
24,zym_test_6492,b29a5a13257dcbc79c9f04ef6de0e7f0ea5c18f4ddf0a2e5f8e7ff8e1fd496e1,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.5306122448979591,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
25,zym_test_17428,413ea8ec0919c25a8eb11f3f7ec4aaf7ce8917af2151b48c22d49b0bc3cbe00f,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.517244715,0.5102040816326531,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
26,zym_test_13444,7f1e17c7c4e3c721a7855b04e2ff469649c240f88b074a46928d8843e27a0613,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.4897959183673469,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
27,zym_test_65534,fd5cc7ee56d0d56abcb1f2a0f0bfbd65da9cf949b9ae994141f3bf82bdc7e9d6,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.517244715,0.4693877551020408,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
28,zym_test_1937,1c95c446696759d5364925452720755b38b87230e3465071c02e2f8bba8e5ad2,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,0.44897959183673475,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
29,zym_test_6516,7375af0da60b8316dea8117b2d87df99d18d1b58b2ee48b48eead18165c00e62,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.4285714285714286,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
30,zym_test_381083,72892a85f9bcc6027cbcdfb357a63578e21a3bcc73ddcac8bbebb8f32e5f9765,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,0.40816326530612246,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
31,zym_test_13827,eed98e67c421a3b48622bee3c656079be2c9c5652907d6ad8318d8c40b21607d,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.3877551020408163,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
32,zym_test_16483,c03e663d3e70c7ab27895bf47cef68f487fcb49f601c5e1a47ddb3e6c5aa9852,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,6.682764959,0.36734693877551017,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
33,zym_test_2596311,679f02be4c05d3d11acb132ac4c5c2a0d09a3a19d5603792ac79ba71ed1687c0,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,0.351724472,0.34693877551020413,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
34,zym_test_3394,15e2a287ebb0b9ade778fbe1a94f850ae175155587e09b6496c903fe684ae16f,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.326530612244898,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
35,zym_test_21646,a139b5c7c52ec86613ae97a5bb8f0eac4855a2bc710bbeb10f5a9ece8da3d7d5,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.30612244897959184,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
36,zym_test_3361596,000edfff7d6c97cbc7def4e02b0fdbf4a34b7e87525dfae93dff9ed7d6d51ff3,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.2857142857142857,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
37,zym_test_22235,57fb966771e23fd3dda710ae4b31a3d2ab34968b4abcd71a89f387576a854bb9,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.26530612244897955,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
38,zym_test_9290,2fb5c3865772283492a02a8cd8364ad8137532326995a1c652ab0b253372135c,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,0.351724472,0.24489795918367352,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
39,zym_test_11923,f1bcfdeb35c2cb9777b29f23f7de483e856fe29737df14a05dfbe021b5da4286,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.165520244,0.22448979591836737,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
40,zym_test_381993,82341a5e3fac0f38bd808adc8a5d3926e1a1487ede3aa70e62e9648268f448f8,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,0.20408163265306123,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
41,zym_test_66550,308e83af290318ed971e5dd35f320e8b8f8f8f56efe61e87c39365330ac73fc2,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.18367346938775508,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
42,zym_test_1078,29f8c32ec9ae69a407379e4b5733b2f3ce22b2a56fdb4b82bb33ee6f07f1ab88,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.16326530612244894,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
43,zym_test_9297,f338c192617ba36782f8a2f60cf73d72842438439d955834c5c13329753c87eb,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.1428571428571429,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
44,zym_test_3809,a59041a1c8529cce322aa60f41a8bf9c7e18d8159062df3f8d3f6e0f4ffd616f,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.12244897959183676,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
45,zym_test_19456,3656b29654c48ff088dac38a3b4854aa9d1c04da92a44b5504fc5b11c21d8217,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.10204081632653061,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
46,zym_test_5496,5fabfbc73b6ce25ee38b1a780ae6cf198a26c68c5ba161676d334fff0f04879a,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.08163265306122447,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
47,zym_test_7635,e59bd3a1b671345e0cd7417a6949f9a3217b629035cf36578dda91f3537c7f56,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.061224489795918324,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
48,zym_test_3239184,e186e6d8bbf75f3e2b267a7149f4bd58f1d43e937e3aadf82a4408c794c83f69,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,5.627591545,0.04081632653061229,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
49,zym_test_7332,992e883c122d78a86dc673dc30d66a1fc712c6aa70f6bb2c7f460b1334fdf117,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.517244715,0.020408163265306145,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
50,zym_test_9666,e42b978a5221eabb2ddbe1f905a43368c22c28f9489dbe0b4381524d7325eb15,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.282761734,0.0,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
