final_rank	top10_rank	candidate_id	conformation	seed	state	representative_model	pdb_path	pdb_sha256	archive_path	archive_symlink	archive_sha256	haddock_score	representative_pair_label
2		P1MCPUFP__CPUFP500K_0188__00519	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s1931__cluster_1_model_1.pdb	acb6f70e1327b78d8e1e48fc564d048c3de8ac51678bd2daf32ca093d802ae79	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s1931_b92439ad6a3b.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s1931_b92439ad6a3b.tar.gz	eb808c4c170bb3e77a1d989bedd194d9c92cb0264d050ef3389eb46bfa5eb57e	-67.31793	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	8x6b	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s3047__cluster_1_model_1.pdb	76efe16a7ad59255cf3d790565edc5e4029b11d832250dbee7888f952555c4e5	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s3047_b91eeed3dc78.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_8x6b_s3047_b91eeed3dc78.tar.gz	49234828cc015e1d0c0f4d191b549f346a7a727900b191b84d294f17f84e0380	-72.96108	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	9e6y	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s42__cluster_1_model_1.pdb	2a54f8d41a032310ea8cb8684970a9d19fbd82ff8322cfb2c93e4dd52a882120	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s42_a738b72f9de2.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s42_a738b72f9de2.tar.gz	11d702dc0f9082e6dfc6bf5ccf29176222545968e06c89ec2012addef09426d0	-56.078100000000006	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s917__cluster_1_model_1.pdb	db9c9a9b2873373d210a9ef1a18666bbedd43fd5b65ce4c0c093f61126770249	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s917_d962a9b6816c.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s917_d962a9b6816c.tar.gz	21f7b798d02aabd9cd75569f61f102795fc38f98be061c865339920f8c838582	-59.53119999999999	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s1931__cluster_1_model_1.pdb	7cefda36c77d67d93e5d401d6cecb02cd3f9dcdeb9beed6aa16e778c2af1faf7	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s1931_290df34d8ae7.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s1931_290df34d8ae7.tar.gz	53c335124c0af9667d5776949fae6697b2387f7778a8b755666b727d1920a909	-62.827149999999996	STRICT_A
2		P1MCPUFP__CPUFP500K_0188__00519	9e6y	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s3047__cluster_1_model_1.pdb	6eb4a3833fa9448a825186a88f6b34ce2de868c9014c34d6080610387e5166af	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s3047_c7eb87a93f2e.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0188__00519_9e6y_s3047_c7eb87a93f2e.tar.gz	983c45ffd5a21df799fcd60f8477fee2a4100b12489a0461fb97e5086e3b837e	-62.482200000000006	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	8x6b	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s42__cluster_1_model_1.pdb	29e20cdbd4aa09be111b3eb8016d7fe93a9c78ae6341e33ec4a750f0e4bf4329	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s42_0b55c33bb12f.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s42_0b55c33bb12f.tar.gz	3cd2329db2a5267c85271df2a72b42f3d704725e543a0cb6e1e3a8ab78c0afd0	-85.6185	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s917__cluster_1_model_1.pdb	395b7413e0ade0c89f734876c0a97564243cdba7e666a020856f2aeeb3aba35a	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s917_d33335e2aa2e.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s917_d33335e2aa2e.tar.gz	a4ae611254708fc3850fc22f1af1028f9e1b35a29ad85d7e2b8d3fab7649bddb	-73.13316	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s1931__cluster_1_model_1.pdb	4811374488c37946768a184d7015975b20506f3af5e95cf10ddc029a0f02f886	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s1931_8cd894911276.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s1931_8cd894911276.tar.gz	de322475ea8d2eaa6a93dd49e0bb09acad7ddcc5549d2748fd76bfa18ad36d98	-90.6545	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	8x6b	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s3047__cluster_1_model_1.pdb	c2be5f756394e71324b0bd5dc68621c580af30a33c91f998cfde35011f9f0fef	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s3047_3b90898b43e4.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_8x6b_s3047_3b90898b43e4.tar.gz	bec27d590c876da5d7f5469ac52f29f50b0f6be44c4e3e27cecebd35da877f68	-71.26400000000001	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	9e6y	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s42__cluster_1_model_1.pdb	aa36ba37a76eba4fe0f2e59850890a89f8001709ca3e6e18bc9fd4a6eba8bb89	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s42_3577b5e30803.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s42_3577b5e30803.tar.gz	c1612201c34db97e491b9e7c32ee8eafb54f22932c6b774afb7e1cde7a32ea6e	-92.923	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s917__cluster_1_model_1.pdb	369c871e26e0d3b3e73323832c9b978004945615142676a20a6cfdd53a14147e	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s917_89b6de17ad66.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s917_89b6de17ad66.tar.gz	fb0854a955362eb5441ef8e5c5cf5ddad2a54de4141283b4d47a3f7526a6c567	-76.22970000000001	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s1931__cluster_1_model_1.pdb	4cc6acdb93940f2310fd90edcf291332d5927194070ff9a115a4a8e7c2b1a14b	/data1/qlyu/projects/pvrig_c2_new6220_dualreceptor_2seed_docking_results_v1_20260723/c2_new4220/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s1931_557bc6c3f46c.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s1931_557bc6c3f46c.tar.gz	7ebbfd4496e666da1e7e3a015ba3a9fb369e28fd669330ae19df23509d26a356	-86.51939999999999	STRICT_A
3		P1MCPUFP__CPUFP500K_0100__00092	9e6y	3047	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s3047__cluster_1_model_1.pdb	b37917987d7c2503eae8af2a9bdbf671e49a2b94893be77dac0f55ae4ae0b169	/data1/qlyu/projects/pvrig_c2_new4220_seed42_3047_docking_results_v1_20260723/c2_new4220_seed42_3047/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s3047_039133555aa0.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0100__00092_9e6y_s3047_039133555aa0.tar.gz	c452e0f710f34263f9bd56475e5e21fd0728e139673e128510033dd0bd68f42d	-71.75366	STRICT_A
4		P1MCPUFP__CPUFP500K_0090__00532	8x6b	42	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s42__cluster_1_model_1.pdb	d9144147118eecc25eedb0f461fad253278605fd68cf88b2ba77152fb9304123	/data1/qlyu/projects/pvrig_top200_common4_seed_completion106_docking_results_v1_20260725/top200_seed_completion/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0090__00532_8x6b_s42_3cb7fd9764fc.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0090__00532_8x6b_s42_3cb7fd9764fc.tar.gz	cdbdaa12e58b67f2372e0c1452eb226cce9114dcf6f6376bc5a363d14f2a2779	-90.1088	STRICT_A
4		P1MCPUFP__CPUFP500K_0090__00532	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s917__cluster_1_model_1.pdb	f9b3f8bf630f62c26037cfd355385bb5f6737c8dfaeafc3799ce43d303d2dcee	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_docking_results_v1_20260722/top7500_25k/compressed_queue/CANDIDATE_P1MCPUFP__CPUFP500K_0090__00532_8x6b_s917_1184e127de62.tar.gz	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/archives/CANDIDATE_P1MCPUFP__CPUFP500K_0090__00532_8x6b_s917_1184e127de62.tar.gz	ffc1fd31da887c582911fba3ae8ea74750f491ea15f77c475924a0c62149803b	-66.89945999999999	STRICT_A
