candidate_id	final_rank	top10_rank	pdb_path	vhh_chain	chain_identity_proxy	mapped_sequence_fraction	free_vhh_sasa_a2	bound_vhh_sasa_a2	binding_buried_sasa_a2	largest_hydrophobic_patch_residues	largest_hydrophobic_patch_free_sasa_a2	largest_positive_patch_residues	largest_positive_patch_free_sasa_a2	largest_negative_patch_residues	largest_negative_patch_free_sasa_a2	c_terminal_target_min_distance_a	c_terminal_target_contact_4p5a
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s42.pdb	A	1.000000	1.000000	6011.880863	5230.735160	781.145704	9	474.416975	5	348.945011	2	167.273242	35.704060	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__8x6b__s917.pdb	A	1.000000	1.000000	6125.092783	5373.968600	751.124183	13	640.186400	5	364.491936	2	163.891778	33.685681	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s1931.pdb	A	1.000000	1.000000	6128.814209	5309.256231	819.557978	9	471.459291	5	371.925531	2	161.652116	35.197328	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s3047.pdb	A	1.000000	1.000000	6126.961319	5410.583171	716.378148	12	636.995002	5	363.936858	2	168.832059	33.638296	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s42.pdb	A	1.000000	1.000000	6222.685228	5479.566975	743.118253	21	1207.023020	5	366.119574	2	176.429016	32.659493	False
NODE1GEN_112448_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb355_mpn01_arm_P5_qkg_L_backbone_P5_qkg_L_bb355_status_NEEDS_RF2_AND_DOCKING	2	2	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R02__NODE1GEN_112448__9e6y__s917.pdb	A	1.000000	1.000000	6067.512751	5373.538579	693.974173	16	941.007342	5	355.912707	2	169.619027	34.040948	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__8x6b__s1931.pdb	A	1.000000	1.000000	6306.655957	5543.634709	763.021248	14	700.472285	3	246.657058	3	192.925561	37.089738	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__8x6b__s3047.pdb	A	1.000000	1.000000	6277.988736	5476.787817	801.200919	14	714.587168	3	234.780728	2	111.063678	33.702621	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__8x6b__s42.pdb	A	1.000000	1.000000	6332.813758	5567.069126	765.744632	14	743.356407	3	248.114694	3	199.930559	36.550285	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__8x6b__s917.pdb	A	1.000000	1.000000	6332.524292	5497.747958	834.776334	14	714.656283	3	245.885210	2	114.565967	34.141897	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__9e6y__s1931.pdb	A	1.000000	1.000000	6324.865571	5553.942170	770.923401	14	733.151781	3	242.826640	3	196.191142	37.154850	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__9e6y__s3047.pdb	A	1.000000	1.000000	6397.228430	5693.479589	703.748841	14	727.286470	6	431.958036	3	197.690896	37.137479	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__9e6y__s42.pdb	A	1.000000	1.000000	6338.398128	5572.771620	765.626508	12	694.743800	2	153.081160	3	199.249713	36.829782	False
NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4	3	3	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R03__NODE1GEN_229102_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2F90E7DCCA05F9E4__9e6y__s917.pdb	A	1.000000	1.000000	6352.489805	5614.961743	737.528062	21	1054.215702	3	248.494827	2	119.378364	35.947050	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s1931.pdb	A	1.000000	1.000000	6366.221413	5611.194617	755.026795	11	557.455782	3	251.474397	4	273.057746	30.970966	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s3047.pdb	A	1.000000	1.000000	6370.379436	5611.351006	759.028431	11	619.663967	3	263.619501	5	290.387734	37.947928	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s42.pdb	A	1.000000	1.000000	6609.826392	5892.383936	717.442456	11	561.808103	3	248.822662	5	370.419619	36.803504	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s917.pdb	A	1.000000	1.000000	6537.946313	5804.537968	733.408345	11	554.576157	3	253.291808	4	325.101705	37.738122	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s1931.pdb	A	1.000000	1.000000	6367.298707	5537.410628	829.888079	11	518.453433	6	424.261029	4	268.445595	30.038968	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s3047.pdb	A	1.000000	1.000000	6621.812322	5854.472285	767.340037	11	557.515075	3	255.891246	4	303.371811	31.986056	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s42.pdb	A	1.000000	1.000000	6480.600811	5625.881018	854.719793	12	533.407812	3	246.429816	4	302.668786	28.715816	False
P1MCPUFP__CPUFP500K_0188__00519	4	4	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R04__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s917.pdb	A	1.000000	1.000000	6536.387957	5745.615031	790.772926	11	543.711210	3	243.645255	4	271.652114	32.063565	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s1931.pdb	A	1.000000	1.000000	6689.054678	5805.338341	883.716337	9	429.928358	3	232.250531	2	154.405760	35.588086	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s3047.pdb	A	1.000000	1.000000	6757.651731	5906.088694	851.563037	13	702.694983	3	234.833443	2	169.409609	36.883123	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s42.pdb	A	1.000000	1.000000	6705.348716	5821.878429	883.470288	11	637.502411	3	227.606440	2	156.191525	36.943482	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s917.pdb	A	1.000000	1.000000	6654.369548	5871.366660	783.002887	19	1051.778161	3	234.500372	2	161.775769	37.517176	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s1931.pdb	A	1.000000	1.000000	6710.124544	5863.034779	847.089765	12	685.954420	3	230.395944	2	162.880688	36.943309	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s3047.pdb	A	1.000000	1.000000	6619.473972	5754.527897	864.946075	21	1134.990342	3	228.679001	2	170.053573	37.501172	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s42.pdb	A	1.000000	1.000000	6718.734833	5770.807735	947.927098	13	679.356489	3	232.477479	2	156.418474	34.747932	False
P1MCPUFP__CPUFP500K_0100__00092	5	5	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R05__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s917.pdb	A	1.000000	1.000000	6657.304654	5903.216126	754.088527	13	688.614700	3	235.097274	2	158.431188	37.827230	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__8x6b__s1931.pdb	A	1.000000	1.000000	6555.986280	5690.658292	865.327988	12	624.269248	3	240.232564	3	259.874722	34.006956	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__8x6b__s3047.pdb	A	1.000000	1.000000	6535.350352	5717.893366	817.456985	13	780.858478	3	240.454276	3	239.096564	33.572808	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__8x6b__s42.pdb	A	1.000000	1.000000	6664.559094	5975.969003	688.590090	13	758.742755	3	229.623803	3	268.948668	27.354177	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__8x6b__s917.pdb	A	1.000000	1.000000	6706.490664	5864.578328	841.912336	11	668.673189	3	238.404680	3	252.874668	35.363526	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__9e6y__s1931.pdb	A	1.000000	1.000000	6587.267034	5818.408121	768.858914	12	751.398340	3	240.042204	3	245.852433	38.071614	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__9e6y__s3047.pdb	A	1.000000	1.000000	6426.421847	5672.345656	754.076191	14	741.672828	3	247.121260	3	256.865328	29.385750	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__9e6y__s42.pdb	A	1.000000	1.000000	6565.012390	5791.529073	773.483317	15	794.176988	6	448.060751	3	258.895572	27.064692	False
NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C	6	6	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R06__NODE1GEN_181778_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8EDA6734F7A8BD2C__9e6y__s917.pdb	A	1.000000	1.000000	6657.058667	5744.241066	912.817601	13	822.034433	3	245.456739	3	264.551172	34.839290	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__8x6b__s1931.pdb	A	1.000000	1.000000	6583.855432	5788.890742	794.964690	11	620.046403	3	253.544769	2	238.654667	33.117974	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__8x6b__s3047.pdb	A	1.000000	1.000000	6567.947915	5782.719251	785.228664	16	878.416847	3	253.951606	2	141.261441	32.683709	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__8x6b__s42.pdb	A	1.000000	1.000000	6579.981199	5741.169112	838.812087	15	876.262175	3	247.506628	2	130.509969	32.631839	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__8x6b__s917.pdb	A	1.000000	1.000000	6623.371348	5839.329431	784.041917	11	637.066966	3	245.937633	2	251.064021	32.894870	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__9e6y__s1931.pdb	A	1.000000	1.000000	6628.485254	5819.681869	808.803385	21	1134.086108	3	237.854839	2	253.954705	32.503697	False
NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9	7	7	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R07__NODE1GEN_154595_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__9B999365EA60CCE9__9e6y__s3047.pdb	A	1.000000	1.000000	6613.631427	5786.646787	826.984640	16	898.834938	3	242.509108	2	133.627602	32.321111	False
