candidate_id	final_rank	top10_rank	pdb_path	vhh_chain	chain_identity_proxy	mapped_sequence_fraction	free_vhh_sasa_a2	bound_vhh_sasa_a2	binding_buried_sasa_a2	largest_hydrophobic_patch_residues	largest_hydrophobic_patch_free_sasa_a2	largest_positive_patch_residues	largest_positive_patch_free_sasa_a2	largest_negative_patch_residues	largest_negative_patch_free_sasa_a2	c_terminal_target_min_distance_a	c_terminal_target_contact_4p5a	motif_type	motif	seq_index_1based	region	pdb_residue	free_residue_sasa_a2	bound_residue_sasa_a2	bound_to_free_sasa_fraction	pvrig_contact_4p5a
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	1.785765	1.785765	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	2.012714	2.012714	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	4.025427	4.025427	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False	OXIDATION_RESIDUE	W	38	FRAMEWORK	A:41	2.012714	2.012714	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	119.868850	119.868850	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	116.440325	116.440325	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	117.999142	117.999142	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	118.818050	118.818050	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	118.818050	118.818050	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	121.057712	121.057712	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	122.389580	122.389580	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False	ISOMERIZATION	DS	63	FRAMEWORK	A:69	115.616474	115.616474	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	48.450249	48.450249	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	55.904201	55.904201	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	52.702625	52.702625	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	53.119640	53.119640	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	51.249932	51.249932	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	61.900517	61.900517	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	43.652974	43.652974	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False	ISOMERIZATION	DS	64	FRAMEWORK	A:70	55.048411	55.048411	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False	OXIDATION_RESIDUE	M	84	FRAMEWORK	A:91	0.000000	0.000000		False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	41.519016	41.519016	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	36.864747	36.864747	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	36.864747	36.864747	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	44.234756	44.234756	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s1931.pdb	A	1.000000	1.000000	6524.481070	5784.633926	739.847143	12	640.259473	6	486.488000	3	279.947154	36.277898	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	45.724331	45.724331	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s3047.pdb	A	1.000000	1.000000	6520.567902	5816.181821	704.386081	6	320.871906	3	308.456144	3	246.197506	38.851761	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	47.880050	47.880050	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s42.pdb	A	1.000000	1.000000	6460.879799	5811.268286	649.611513	8	531.845896	3	317.347375	3	269.829466	35.247747	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	46.733306	46.733306	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__9e6y__s917.pdb	A	1.000000	1.000000	6480.688734	5755.080818	725.607917	15	907.626852	3	291.587530	3	232.752473	35.078105	False	DEAMIDATION	NS	85	FRAMEWORK	A:92	44.461704	44.461704	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s1931.pdb	A	1.000000	1.000000	6452.687174	5794.838804	657.848371	14	894.830370	3	331.942565	3	249.443022	36.672740	False	DEAMIDATION	NS	86	FRAMEWORK	A:93	63.656458	63.656458	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s3047.pdb	A	1.000000	1.000000	6407.193813	5652.819359	754.374454	21	1239.868664	6	489.467571	3	257.647061	35.106576	False	DEAMIDATION	NS	86	FRAMEWORK	A:93	65.077212	65.077212	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s42.pdb	A	1.000000	1.000000	6486.167106	5655.604318	830.562788	14	896.676663	4	249.505456	3	253.394685	35.019465	False	DEAMIDATION	NS	86	FRAMEWORK	A:93	64.480310	64.480310	1.000000	False
P1MCPUFP__CPUFP500K_0288__00659	1	1	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/qc397_top20_plus_top10_fusion_developability_v2_20260726/fusion_panel_common4_bundle/representative_complexes/R01__P1MCPUFP__CPUFP500K_0288__00659__8x6b__s917.pdb	A	1.000000	1.000000	6468.500506	5680.990669	787.509837	15	919.878205	3	303.616751	3	258.064076	35.077989	False	DEAMIDATION	NS	86	FRAMEWORK	A:93	64.253361	64.253361	1.000000	False
