candidate_id	final_rank	top10_rank	pose_count	median_free_vhh_sasa_a2	median_binding_buried_sasa_a2	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	minimum_c_terminal_target_distance_a	c_terminal_contact_pose_count	ptm_motif_rows	exposed_ptm_residue_rows	exposed_noncontact_ptm_rows	exposed_noncontact_acid_clipping_rows	exposed_noncontact_isomerization_rows	structural_ptm_review_status	claim_boundary
P1MCPUFP__CPUFP500K_0188__00549	28		8	6361.049106	866.557167	11.000000	616.955359	3.000000	2.500000	32.802595	0	128	72	59	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0188__00481	29		8	6410.885320	810.393805	14.000000	705.496927	4.000000	2.000000	32.349036	0	112	72	58	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_182669_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__D4BBD3AB583903E7	30		8	6136.602741	723.120435	12.500000	645.440001	3.000000	2.000000	28.081947	0	96	49	45	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_128014_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb258_mpn01_arm_P6_ekg_L_backbone_P6_ekg_L_bb258_status_NEEDS_RF2_AND_DOCKING	31	10	8	6188.924238	799.775735	10.500000	483.063381	3.000000	6.000000	30.638455	0	104	77	76	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_218195_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A6B62FDDBC1A99BE	32		8	6509.771693	763.153405	6.000000	335.431146	3.000000	2.000000	33.557295	0	128	68	56	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_195165_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__499D245F888E5DC4	33		8	6460.021086	778.463516	18.000000	1070.795792	3.000000	2.000000	27.344097	0	128	88	77	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_235318_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B52C2EC7CC64BFED	34		8	6494.206588	753.735193	18.500000	996.423539	3.000000	3.000000	34.219689	0	112	68	64	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0289__00496	35		8	6688.739870	794.895784	21.500000	1214.770805	3.000000	1.000000	36.250880	0	152	108	101	31	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0091__00849	36		8	6962.238548	802.484856	19.500000	1094.371476	3.000000	1.000000	34.857743	0	128	99	82	14	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_076816_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb155_mpn03_arm_P4_ekg_L_backbone_P4_ekg_L_bb155_status_NEEDS_RF2_AND_DOCKING	37		8	6355.169520	723.118414	9.000000	546.508243	3.000000	5.000000	29.043515	0	136	107	91	7	29	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0388__00174	38		8	6779.682893	774.282246	17.000000	1109.252195	3.000000	1.000000	29.401854	0	104	70	66	8	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0487__00827	39		8	6226.916345	661.296489	11.500000	692.209865	3.000000	1.000000	26.404304	0	104	67	57	6	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_136300_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qkg_L_bb255_mpn02_arm_P6_qkg_L_backbone_P6_qkg_L_bb255_status_NEEDS_RF2_AND_DOCKING	40		8	6286.643080	757.651931	9.000000	412.225211	5.000000	1.000000	30.467358	0	120	91	84	0	34	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_095824_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb358_mpn04_arm_P4_qrg_L_backbone_P4_qrg_L_bb358_status_NEEDS_RF2_AND_DOCKING	41		8	6330.152819	899.147254	13.000000	717.259197	5.000000	2.500000	34.431443	0	144	109	92	8	32	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_017313_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb054_mpn00_arm_P1_qrg_L_backbone_P1_qrg_L_bb054_status_NEEDS_RF2_AND_DOCKING	42		8	6150.781869	772.833091	8.000000	584.888494	2.500000	2.000000	28.733456	0	136	94	87	0	39	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_109783_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb121_mpn06_arm_P5_qkg_L_backbone_P5_qkg_L_bb121_status_NEEDS_RF2_AND_DOCKING	43		8	6109.984184	736.610549	9.000000	419.077171	5.000000	2.000000	29.782709	0	120	93	85	0	38	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_100102_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb007_mpn10_arm_P5_ekg_L_backbone_P5_ekg_L_bb007_status_NEEDS_RF2_AND_DOCKING	44		8	6320.508475	706.571164	14.000000	926.178857	5.000000	3.000000	33.031693	0	152	95	90	9	29	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_109883_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb130_mpn02_arm_P5_qkg_L_backbone_P5_qkg_L_bb130_status_NEEDS_RF2_AND_DOCKING	45		8	6176.761374	774.908647	13.000000	660.414716	3.000000	3.000000	35.535493	0	120	94	69	0	30	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0188__00645	46		8	6626.636835	812.717756	22.000000	1174.445699	4.000000	2.000000	34.144419	0	104	69	69	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0030__00860	47		8	6256.433787	814.490495	9.000000	476.563081	3.000000	2.000000	32.686816	0	136	73	63	0	25	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0029__00647	48		8	6254.360849	689.602668	17.000000	722.051624	3.000000	2.000000	31.082411	0	152	102	96	16	27	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
P1MCPUFP__CPUFP500K_0090__00860	49		8	6315.718908	648.411089	17.000000	931.163225	3.000000	3.000000	35.103315	0	88	57	57	0	24	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
NODE1GEN_128929_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb339_mpn06_arm_P6_ekg_L_backbone_P6_ekg_L_bb339_status_NEEDS_RF2_AND_DOCKING	50		8	6026.141034	768.892141	8.500000	449.916280	3.000000	3.000000	35.928445	0	120	87	73	0	27	REVIEW	descriptive structural sidecar; not CHO yield/purity, BLI, Kd, IC50, aggregation, or experimental blocking
