candidate_id	neural_R8	neural_R9	neural_Rdual	contact_score_R8	contact_score_R9
RFV1__PLDNANO_VHH_00327__A_CENTER__H3__B06__M01	0.609375	0.546875	0.546875	0.27578383684158325	0.26771289110183716
RFV1__PLDNANO_VHH_00327__A_CENTER__H3__B11__M02	0.5859375	0.52734375	0.52734375	0.2796386480331421	0.27185118198394775
RFV1__PLDNANO_VHH_00327__B_LOWER__H1H3__B07__M02	0.5703125	0.51171875	0.51171875	0.2696019411087036	0.26194503903388977
RFV1__PLDNANO_VHH_00327__B_LOWER__H1H3__B10__M00	0.59375	0.53515625	0.53515625	0.26888757944107056	0.2610510587692261
RFV1__PLDNANO_VHH_00327__B_LOWER__H3__B00__M02	0.59375	0.53515625	0.53515625	0.2749141752719879	0.2670443058013916
RFV1__PLDNANO_VHH_00327__B_LOWER__H3__B02__M01	0.56640625	0.5078125	0.5078125	0.2697334289550781	0.2618293762207031
RFV1__PLDNANO_VHH_00327__C_CROSS__H1H3__B03__M01	0.59375	0.53515625	0.53515625	0.2781234383583069	0.27058297395706177
RFV1__PLDNANO_VHH_00327__C_CROSS__H1H3__B09__M00	0.58984375	0.53125	0.53125	0.2831594944000244	0.2754819095134735
RFV1__PLDNANO_VHH_00327__C_CROSS__H1H3__B10__M00	0.59765625	0.53515625	0.53515625	0.27277836203575134	0.26496464014053345
RFV1__PLDNANO_VHH_00327__C_CROSS__H3__B00__M00	0.59765625	0.53515625	0.53515625	0.27342689037323	0.26564037799835205
RFV1__PLDNANO_VHH_00327__C_CROSS__H3__B09__M02	0.58984375	0.53125	0.53125	0.276211142539978	0.26841408014297485
RFV1__PLDNANO_VHH_00623__A_CENTER__H1H3__B02__M02	0.546875	0.486328125	0.486328125	0.26258906722068787	0.2547544836997986
RFV1__PLDNANO_VHH_00623__A_CENTER__H1H3__B04__M02	0.55078125	0.48828125	0.48828125	0.2639700174331665	0.2561379075050354
RFV1__PLDNANO_VHH_00623__A_CENTER__H3__B02__M01	0.54296875	0.484375	0.484375	0.26404672861099243	0.2561548948287964
RFV1__PLDNANO_VHH_00623__A_CENTER__H3__B05__M02	0.5625	0.498046875	0.498046875	0.26721978187561035	0.2592889666557312
RFV1__PLDNANO_VHH_00623__B_LOWER__H1H3__B03__M02	0.5625	0.5	0.5	0.2691226601600647	0.2612318992614746
RFV1__PLDNANO_VHH_00623__B_LOWER__H1H3__B09__M02	0.55859375	0.494140625	0.494140625	0.2712298631668091	0.263500452041626
RFV1__PLDNANO_VHH_00623__B_LOWER__H1H3__B11__M01	0.5625	0.5	0.5	0.26775431632995605	0.25983330607414246
RFV1__PLDNANO_VHH_00623__B_LOWER__H3__B02__M00	0.546875	0.486328125	0.486328125	0.25970658659935	0.25173819065093994
RFV1__PLDNANO_VHH_00623__B_LOWER__H3__B05__M01	0.56640625	0.50390625	0.50390625	0.2718920111656189	0.2640324831008911
RFV1__PLDNANO_VHH_00623__C_CROSS__H1H3__B02__M02	0.546875	0.484375	0.484375	0.2626134753227234	0.2546963095664978
RFV1__PLDNANO_VHH_00623__C_CROSS__H1H3__B11__M00	0.5625	0.5	0.5	0.269750714302063	0.26190638542175293
RFV1__PLDNANO_VHH_00623__C_CROSS__H3__B03__M00	0.55078125	0.48828125	0.48828125	0.26616713404655457	0.2582184672355652
RFV1__PLDNANO_VHH_00623__C_CROSS__H3__B09__M01	0.5546875	0.4921875	0.4921875	0.2634144127368927	0.2554149627685547
RFV1__PLDNANO_VHH_00698__A_CENTER__H1H3__B05__M02	0.5625	0.5	0.5	0.25120046734809875	0.24335873126983643
RFV1__PLDNANO_VHH_00698__A_CENTER__H1H3__B07__M02	0.5625	0.50390625	0.50390625	0.25000157952308655	0.2421250343322754
RFV1__PLDNANO_VHH_00698__A_CENTER__H3__B08__M01	0.5625	0.50390625	0.50390625	0.2516109049320221	0.24361371994018555
RFV1__PLDNANO_VHH_00698__A_CENTER__H3__B11__M02	0.5703125	0.51171875	0.51171875	0.25829437375068665	0.2504802346229553
RFV1__PLDNANO_VHH_00698__B_LOWER__H1H3__B00__M00	0.58203125	0.51953125	0.51953125	0.24930346012115479	0.2414112389087677
RFV1__PLDNANO_VHH_00698__B_LOWER__H1H3__B01__M01	0.57421875	0.515625	0.515625	0.2559283673763275	0.2480739951133728
RFV1__PLDNANO_VHH_00698__B_LOWER__H1H3__B07__M00	0.55859375	0.498046875	0.498046875	0.24948114156723022	0.24148796498775482
RFV1__PLDNANO_VHH_00698__B_LOWER__H3__B04__M02	0.56640625	0.50390625	0.50390625	0.2505589723587036	0.24259299039840698
RFV1__PLDNANO_VHH_00698__B_LOWER__H3__B07__M01	0.56640625	0.50390625	0.50390625	0.2528909742832184	0.24499911069869995
RFV1__PLDNANO_VHH_00698__C_CROSS__H1H3__B05__M02	0.5625	0.5	0.5	0.2529522776603699	0.24519696831703186
RFV1__PLDNANO_VHH_00698__C_CROSS__H1H3__B07__M02	0.55859375	0.498046875	0.498046875	0.2465665638446808	0.23863354325294495
RFV1__PLDNANO_VHH_00698__C_CROSS__H3__B00__M00	0.57421875	0.51171875	0.51171875	0.2558812201023102	0.24798747897148132
RFV1__PLDNANO_VHH_00698__C_CROSS__H3__B00__M01	0.5703125	0.5078125	0.5078125	0.2541637718677521	0.2462346851825714
RFV1__PLDNANO_VHH_00874__A_CENTER__H1H3__B03__M00	0.63671875	0.578125	0.578125	0.27148616313934326	0.26307129859924316
RFV1__PLDNANO_VHH_00874__A_CENTER__H1H3__B11__M00	0.6328125	0.57421875	0.57421875	0.27249282598495483	0.264154851436615
RFV1__PLDNANO_VHH_00874__A_CENTER__H3__B07__M02	0.63671875	0.578125	0.578125	0.2778134346008301	0.2695440351963043
RFV1__PLDNANO_VHH_00874__A_CENTER__H3__B09__M02	0.62890625	0.56640625	0.56640625	0.278265118598938	0.2699175477027893
RFV1__PLDNANO_VHH_00874__B_LOWER__H1H3__B00__M00	0.6484375	0.58984375	0.58984375	0.27370893955230713	0.26550090312957764
RFV1__PLDNANO_VHH_00874__B_LOWER__H1H3__B11__M01	0.640625	0.578125	0.578125	0.27058467268943787	0.2622728943824768
RFV1__PLDNANO_VHH_00874__B_LOWER__H3__B00__M01	0.63671875	0.578125	0.578125	0.27674704790115356	0.26844871044158936
RFV1__PLDNANO_VHH_00874__B_LOWER__H3__B05__M00	0.63671875	0.58203125	0.58203125	0.27790164947509766	0.2695603370666504
RFV1__PLDNANO_VHH_00874__B_LOWER__H3__B11__M01	0.6328125	0.57421875	0.57421875	0.2772614657878876	0.268930584192276
RFV1__PLDNANO_VHH_00874__C_CROSS__H1H3__B02__M02	0.6328125	0.57421875	0.57421875	0.2752532362937927	0.26680460572242737
RFV1__PLDNANO_VHH_00874__C_CROSS__H1H3__B06__M00	0.62890625	0.5703125	0.5703125	0.2767293453216553	0.26846185326576233
RFV1__PLDNANO_VHH_00874__C_CROSS__H3__B01__M02	0.640625	0.578125	0.578125	0.2774112820625305	0.2690883278846741
RFV1__PLDNANO_VHH_00874__C_CROSS__H3__B10__M00	0.640625	0.58203125	0.58203125	0.2787315547466278	0.2705104947090149
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B00__M01	0.5546875	0.494140625	0.494140625	0.2694219946861267	0.2617413401603699
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B01__M01	0.55859375	0.498046875	0.498046875	0.27040088176727295	0.2626816928386688
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B02__M01	0.54296875	0.482421875	0.482421875	0.2615962624549866	0.2538674473762512
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B03__M00	0.55859375	0.494140625	0.494140625	0.26795411109924316	0.2603173851966858
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B03__M02	0.5625	0.5	0.5	0.2707147002220154	0.26299813389778137
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B04__M02	0.55078125	0.48828125	0.48828125	0.26292335987091064	0.2552013397216797
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B05__M00	0.5546875	0.490234375	0.490234375	0.26261839270591736	0.25493624806404114
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B05__M01	0.546875	0.486328125	0.486328125	0.26158833503723145	0.2538197338581085
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B06__M00	0.5546875	0.4921875	0.4921875	0.26844459772109985	0.2607657015323639
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B06__M01	0.5546875	0.494140625	0.494140625	0.26952916383743286	0.26189136505126953
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B07__M00	0.546875	0.484375	0.484375	0.2650822103023529	0.2572858929634094
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B07__M02	0.546875	0.484375	0.484375	0.2648518681526184	0.2570599913597107
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B08__M00	0.55859375	0.494140625	0.494140625	0.2658393085002899	0.25816839933395386
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B08__M01	0.55859375	0.498046875	0.498046875	0.266549289226532	0.2588559687137604
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B09__M00	0.55078125	0.490234375	0.490234375	0.2674747407436371	0.25972139835357666
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B09__M01	0.5546875	0.494140625	0.494140625	0.2691264748573303	0.26132768392562866
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B09__M02	0.55859375	0.49609375	0.49609375	0.2688124179840088	0.2610110342502594
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B10__M01	0.55859375	0.494140625	0.494140625	0.2633529305458069	0.2555915415287018
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B11__M01	0.5546875	0.49609375	0.49609375	0.2696720063686371	0.26200151443481445
V4H__PLDNANO_VHH_00622__A_CENTER__H1H3__B11__M02	0.5546875	0.494140625	0.494140625	0.2711038589477539	0.26345932483673096
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B00__M00	0.5546875	0.490234375	0.490234375	0.2651885747909546	0.2574675679206848
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B00__M02	0.5546875	0.4921875	0.4921875	0.26392579078674316	0.2561299800872803
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B01__M01	0.5546875	0.494140625	0.494140625	0.2607906460762024	0.25298425555229187
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B01__M02	0.5546875	0.490234375	0.490234375	0.26053905487060547	0.252737820148468
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B02__M02	0.546875	0.486328125	0.486328125	0.25899070501327515	0.25130540132522583
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B03__M00	0.55078125	0.48828125	0.48828125	0.2636280059814453	0.2559148669242859
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B03__M02	0.55078125	0.48828125	0.48828125	0.2612815797328949	0.25346094369888306
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B04__M00	0.55078125	0.490234375	0.490234375	0.2607586979866028	0.25294214487075806
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B04__M02	0.55078125	0.490234375	0.490234375	0.2612622082233429	0.253473699092865
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B05__M00	0.55859375	0.494140625	0.494140625	0.266365647315979	0.2586345672607422
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B05__M01	0.5625	0.498046875	0.498046875	0.2658326029777527	0.25811508297920227
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B06__M00	0.5546875	0.494140625	0.494140625	0.26250916719436646	0.25472208857536316
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B06__M01	0.5546875	0.4921875	0.4921875	0.2628819942474365	0.25513678789138794
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B07__M01	0.55078125	0.48828125	0.48828125	0.2593819200992584	0.251618891954422
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B08__M00	0.5546875	0.4921875	0.4921875	0.2591397166252136	0.25136107206344604
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B08__M02	0.5546875	0.490234375	0.490234375	0.25911393761634827	0.251248836517334
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B09__M01	0.55078125	0.48828125	0.48828125	0.26195257902145386	0.25419870018959045
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B09__M02	0.5546875	0.490234375	0.490234375	0.26202714443206787	0.2542383670806885
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B10__M01	0.55859375	0.49609375	0.49609375	0.261883944272995	0.25413429737091064
V4H__PLDNANO_VHH_00622__A_CENTER__H3__B10__M02	0.5546875	0.4921875	0.4921875	0.26283130049705505	0.2550760805606842
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B00__M00	0.55859375	0.49609375	0.49609375	0.2663677930831909	0.2587398886680603
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B00__M02	0.5546875	0.4921875	0.4921875	0.2674625813961029	0.2597498595714569
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B01__M00	0.55078125	0.490234375	0.490234375	0.2673080563545227	0.2595300078392029
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B02__M00	0.546875	0.486328125	0.486328125	0.2613373398780823	0.25358155369758606
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B02__M02	0.546875	0.484375	0.484375	0.2616621255874634	0.2540123164653778
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B03__M02	0.55859375	0.49609375	0.49609375	0.2694323658943176	0.2617872357368469
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B05__M01	0.5546875	0.490234375	0.490234375	0.2614806890487671	0.2536754310131073
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B07__M01	0.546875	0.48828125	0.48828125	0.26466846466064453	0.2568640112876892
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B07__M02	0.55078125	0.490234375	0.490234375	0.26508522033691406	0.25732699036598206
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B08__M00	0.55078125	0.48828125	0.48828125	0.2654133141040802	0.2577046751976013
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B08__M01	0.55078125	0.490234375	0.490234375	0.26636555790901184	0.25867533683776855
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B08__M02	0.55078125	0.486328125	0.486328125	0.26539236307144165	0.2576972246170044
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B09__M00	0.55859375	0.498046875	0.498046875	0.2692921459674835	0.26163047552108765
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B09__M02	0.55859375	0.49609375	0.49609375	0.2687181830406189	0.26097702980041504
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B10__M00	0.5546875	0.490234375	0.490234375	0.26412665843963623	0.25638800859451294
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B10__M01	0.55859375	0.494140625	0.494140625	0.2632828950881958	0.2555103003978729
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B10__M02	0.5546875	0.4921875	0.4921875	0.264865517616272	0.2571597099304199
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B11__M00	0.5546875	0.4921875	0.4921875	0.26782339811325073	0.2601994574069977
V4H__PLDNANO_VHH_00622__B_LOWER__H1H3__B11__M02	0.55078125	0.490234375	0.490234375	0.2659524381160736	0.25820475816726685
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B00__M00	0.55078125	0.490234375	0.490234375	0.26468557119369507	0.25691455602645874
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B00__M01	0.5546875	0.49609375	0.49609375	0.2639094591140747	0.2561250329017639
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B01__M00	0.5546875	0.4921875	0.4921875	0.2621709406375885	0.254422128200531
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B03__M00	0.55078125	0.48828125	0.48828125	0.2619805634021759	0.25421378016471863
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B04__M01	0.55078125	0.4921875	0.4921875	0.2595079839229584	0.25169751048088074
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B05__M00	0.5546875	0.494140625	0.494140625	0.26434117555618286	0.25663983821868896
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B05__M01	0.55859375	0.494140625	0.494140625	0.26355329155921936	0.255871057510376
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B05__M02	0.5546875	0.4921875	0.4921875	0.2632529139518738	0.2555606961250305
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B06__M00	0.56640625	0.5	0.5	0.2648671567440033	0.25715771317481995
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B06__M01	0.5625	0.5	0.5	0.2662699818611145	0.2585171163082123
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B06__M02	0.5625	0.5	0.5	0.2663569748401642	0.2586064338684082
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B07__M01	0.5546875	0.494140625	0.494140625	0.2636035680770874	0.2558847665786743
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B07__M02	0.5546875	0.4921875	0.4921875	0.2635616660118103	0.25583431124687195
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B08__M01	0.55078125	0.490234375	0.490234375	0.25958913564682007	0.2518143951892853
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B08__M02	0.55078125	0.490234375	0.490234375	0.2609155774116516	0.25311195850372314
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B09__M01	0.5546875	0.4921875	0.4921875	0.26048702001571655	0.2527303397655487
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B09__M02	0.55859375	0.49609375	0.49609375	0.2613345682621002	0.2535436153411865
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B10__M00	0.55859375	0.49609375	0.49609375	0.26218482851982117	0.25443047285079956
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B11__M00	0.5546875	0.490234375	0.490234375	0.265848308801651	0.2581270933151245
V4H__PLDNANO_VHH_00622__B_LOWER__H3__B11__M01	0.5546875	0.4921875	0.4921875	0.26444709300994873	0.2567342519760132
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B00__M00	0.55078125	0.490234375	0.490234375	0.2642265856266022	0.25638943910598755
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B00__M01	0.5546875	0.4921875	0.4921875	0.2653738260269165	0.25761234760284424
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B00__M02	0.5546875	0.494140625	0.494140625	0.2631223499774933	0.255298376083374
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B01__M00	0.5546875	0.494140625	0.494140625	0.26907408237457275	0.26145821809768677
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B01__M01	0.55078125	0.4921875	0.4921875	0.268609881401062	0.2610023617744446
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B01__M02	0.55859375	0.49609375	0.49609375	0.2699950039386749	0.26236024498939514
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B02__M01	0.54296875	0.48046875	0.48046875	0.25959789752960205	0.2516453266143799
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B03__M00	0.5546875	0.490234375	0.490234375	0.2674235701560974	0.25965064764022827
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B03__M01	0.55859375	0.49609375	0.49609375	0.2661932110786438	0.2584208846092224
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B03__M02	0.5546875	0.494140625	0.494140625	0.2689404785633087	0.2612724006175995
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B05__M02	0.55078125	0.48828125	0.48828125	0.2645863890647888	0.2567792534828186
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B06__M01	0.55078125	0.490234375	0.490234375	0.2701508700847626	0.26229196786880493
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B07__M00	0.55078125	0.48828125	0.48828125	0.26294177770614624	0.2551429867744446
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B08__M00	0.546875	0.484375	0.484375	0.26221364736557007	0.2543807029724121
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B08__M02	0.5546875	0.490234375	0.490234375	0.26297256350517273	0.25523442029953003
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B09__M00	0.55078125	0.490234375	0.490234375	0.26724064350128174	0.2594709098339081
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B09__M01	0.55859375	0.494140625	0.494140625	0.2677782475948334	0.25997912883758545
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B10__M00	0.5546875	0.490234375	0.490234375	0.2644781470298767	0.25670790672302246
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B11__M00	0.55859375	0.49609375	0.49609375	0.27260681986808777	0.2650545835494995
V4H__PLDNANO_VHH_00622__C_CROSS__H1H3__B11__M01	0.55859375	0.498046875	0.498046875	0.272566020488739	0.2650202214717865
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B00__M00	0.5546875	0.4921875	0.4921875	0.2646467387676239	0.25683891773223877
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B02__M00	0.54296875	0.482421875	0.482421875	0.26061636209487915	0.25280696153640747
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B02__M01	0.54296875	0.482421875	0.482421875	0.2586097717285156	0.2507018744945526
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B03__M00	0.55078125	0.4921875	0.4921875	0.2601662278175354	0.2524198591709137
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B03__M02	0.55078125	0.490234375	0.490234375	0.2600758969783783	0.25227439403533936
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B04__M02	0.55078125	0.48828125	0.48828125	0.25965380668640137	0.2518346309661865
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B05__M00	0.55859375	0.49609375	0.49609375	0.2674533724784851	0.2597801685333252
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B05__M01	0.55859375	0.498046875	0.498046875	0.266267329454422	0.2585718631744385
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B06__M02	0.55859375	0.49609375	0.49609375	0.2644341289997101	0.25666823983192444
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B07__M00	0.55859375	0.49609375	0.49609375	0.2640603184700012	0.256450891494751
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B07__M01	0.5546875	0.494140625	0.494140625	0.26112404465675354	0.2534789443016052
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B08__M01	0.55078125	0.48828125	0.48828125	0.25903740525245667	0.25124695897102356
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B08__M02	0.546875	0.486328125	0.486328125	0.2604098916053772	0.25256699323654175
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B09__M00	0.5546875	0.494140625	0.494140625	0.26416099071502686	0.2564932703971863
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B09__M02	0.5546875	0.4921875	0.4921875	0.26495540142059326	0.25722765922546387
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B10__M01	0.5625	0.498046875	0.498046875	0.26339638233184814	0.25566500425338745
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B10__M02	0.5546875	0.490234375	0.490234375	0.264116108417511	0.2563551962375641
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B11__M00	0.55078125	0.490234375	0.490234375	0.263922780752182	0.25613653659820557
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B11__M01	0.5546875	0.4921875	0.4921875	0.26062190532684326	0.2527758479118347
V4H__PLDNANO_VHH_00622__C_CROSS__H3__B11__M02	0.5546875	0.490234375	0.490234375	0.2631244659423828	0.2553505599498749
