candidate_id	sequence_sha256	parent_framework_cluster	fast_hard_fail	reason_summary	official_validator_failed_reason	census_role
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B05__M01	80d0ec12468f8d758df3bed12b8da2c59cb35f63317fc7c47ac8f2ea7c2d2529	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B05__M02	7c691e17ce5134557989c6a836402ab5720b7efa1e9aae15f2c43cbed1939523	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B06__M00	5917322b9565185e5a43be17170a6e764f5c6d5e36f527849ebdccd51127edde	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B06__M01	faae91e78ab898ae69f47c08853e224b80353840c8c87fad40404bd96f227b9b	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B06__M02	d45eb7e09622c72250ca20a002e614371f499883d647e520ec2d9dc9c8c4d8ef	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B07__M00	c54befb11f463e6e7913325151a001b73dec9783530c557bc6945ff239750ea4	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B07__M01	55c4e81f8954fee82c2e2b7ccd5381b7bf18ec06edd0814078ed1c39d9a34df6	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B07__M02	f40fa687c4abe0fc58f2fe052b92b68a8d4dd45bd5225ece99301c9767a3fcdc	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B08__M00	512587ff94a589046c0ab3747609b4212010ddcf118f9d581609a4bad481f011	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B08__M01	16fcb45a5bb27ab9f7bdfdba1e3f156f484b2901ccec0a65d9883f0409a9f523	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B08__M02	09424ec1ea15123ed42ceec697b4a2845eb81e1be79c9709dde1c3e90fbef51c	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B09__M00	19d6d1c1f59cf1d1ab3c5fed9ce567b5c3ca5b180fdb5322d030ff4f303a58d8	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B10__M00	c775addbfc3d822e3d004645b65052e7adb3ee6ab999a190e20162b2e74bba55	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B10__M01	32000ffa14a25580595512349a00f45919f5798646be0836ac80e745b627f81e	C0009	False	score_review		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B10__M02	52c2975a93564ff07bf67311c6c7fb06ad43daca94619f05ff21755d12272e2c	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B11__M00	0c3b7c52334a31cb0e2440ea1a77bbb6b163f521308c475cdea048153678678a	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B11__M01	191d95bdc34ad3c31d75ea7827d5001199fb59c02582217cadd2185dcb148a25	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H1H3__B11__M02	e1ab3b4acbc0538b23c18a8044b1bf94c72edd0f429d869a3df21d0ca4ef3adb	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B00__M00	0e6cce4cbf0fa35d1dc4f5da3ca6896b9e49dd1d5785b0865842a824513f082e	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B00__M01	e1a2cb2f1d09e751e489ea198714204ad8b25e356d1717370a6a2fe315c0cccd	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B00__M02	cc962736d3f9ddb929c38c7b3feb80c335b9283e3948513241eacd85443807f5	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B01__M00	908a3891dfc04cdb7c00a6e41dd1ab8fcbb03547c59c79c86851574ed84ec873	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B01__M02	5011322d156165ce5de5ec72cef1fd480441d99ea563ee9962b25575471a7f10	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B02__M00	a1955a027d662defe6b184a12cf4dc1dbcf15557f91b37d424c099f6a3b632a2	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B02__M01	1f63eb6517dae3fe1265a10479f1a51cc3b7cea277f692538f26c6bf0b4c2780	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B02__M02	0d3974f36930321cda0a6846e2432f05d84b131ccb84a2b0cf7a89ae1f43044d	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B03__M00	5e1b7670381ef9892a8dc24c0674ef72f78493fb76c45871f2c573a03061ae67	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B03__M01	94c6312b10e46510f5b6d5e1ed1d98f2de4a34130bb7cfaac83e10b929baa43f	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B03__M02	39fca373a0780e3bf44ed1dda03975f8bf124568a94618ce04d31f5dc8ac2ec7	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B04__M00	bb855d4523b07f24c625f50f506b2a9db848518184cfa5743cc625d0c0cfd0fb	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B04__M01	184042647834f19a525baa82e3a04765ad24799e83da068a2f38babcb15725ae	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B04__M02	58be38adffe1851ff62f1d526b992796f44a3a2bcdde7a695a6366faeb4f6812	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B05__M00	90602639511c4e743df44c10f469c04af4c4b96be94d020cc5fc3cdeffc74172	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B05__M01	109e499250750bbd18c22b928871128c437793358ac8936d36c37c71bada8e36	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B05__M02	7283e9603f732c970834673b424a81406e1e176a383da759cc6077b6ecc26159	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B06__M00	db8314f137f84a1386689e752ae6fe97d5a5b3d9177aaf02406529ef8a1d6ac6	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B06__M01	1b6f39ac8b3ee2644086560347729790bfd2205c84c6b684384b4e2b44da4f41	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B06__M02	5e337991a8a8ae13e0704abee84e99b6ce857fdee993d7e3762f0016195aec31	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B07__M00	1ecdf9bac9ee4951001690d6c1564557f9f31ef10ffd75d13984c46661caadd0	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B07__M01	97fc3aa218e896f955b22eb07063f458faec747004cc5bf64940307a8bb11d7a	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B07__M02	b3f92bf6f4d65ff935e8c009f5a6138c418c83b89502de47695975df643adf10	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B08__M00	e0c1298ddf43845d3003cea55a01ae8a8ce30957c1e8e8ab3a20c2e788e4c405	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B08__M01	d27c19fec3bdfe72c3e700026fa8161cedbd073d85035b121aeedc70ff800ca1	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B08__M02	e16b1b1a03ec32128cff7875f914892c0958365d664183e6e0352f941efa3f5f	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B09__M00	fcda6a7c98c5c98790acd8e734e31ce605a7dcc0fe2a8d083d802c9a2a3bceb1	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B09__M01	71f5a0f9f9f4de6e88241c6b0c6839b227bfcf2027ebd087277cd0f8999dee40	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B09__M02	59643cf0a70da26416ad521bf59592ff73142074c2fe56228bfd59d20f3b409e	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B10__M00	6d21f46be78f44201a988f74a4104a94816764bda5c373a4f5e79174fd932b78	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B10__M01	5fee32b4b4ba6d0d7d3abb6ecc4dab047b8ba8a70331eabceb178bccad37b454	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B10__M02	a7ecb9f26ca1019629e9fb5e7be1c0994627b19ee43ee3e18564e80c9c8bdd5b	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B11__M00	2fdc47feab6258d4a0150c3dc020d2705a8843bceebd8062d8b8213ab2a5b635	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B11__M01	cac12bf07cb644a199ebe82e74e09799668677c91c04c712c2c015bf28c8a409	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__A_CENTER__H3__B11__M02	c89b9b4210d3252addf27d2705aefb8884271c1db98fe755aa4406e2a42c337a	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B00__M00	dd201396c08a152d36de6e79c76e125c8fedbcf410723a2d9e5df717cadc43db	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B00__M01	cecf69429cbd3d432e71454215f81d364edfef95bd696bfdf6a86045508205a5	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B00__M02	dae713c3f384e731f63c0300b6ee6a6a69ea306f45f8a28d6dac133ace73b3bf	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B01__M00	63b5fd5257ea2dc9ec2367a0c1659f5c0fd82639f7a8a45be30f872e2fd2fcf6	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B01__M01	9d51571191a746d5ff89a25b5a29855a4138e8186def53af94247032ede83132	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B01__M02	19da06abdce0ba85d4255456dc399c98b917508ab444608931c74bfeb44727dc	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B02__M00	a0ee4d37feff77785cc9b70a5e8ba813e463bb5a5e7a7b99d6d1d47486e4a299	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B02__M01	0b5193fb2c0009bbfa66d06219e68878d6a7c449c1c8ec010694ae1f67d2e4b1	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B02__M02	90373146866f5f5db92a1748663ea8d976c442cb3fef891555cc7199bd6191f7	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B03__M00	0923fd3f9403601e55143016c9963a600d09a4bb9c50d9895e183faf0b6097cd	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B03__M01	b869a4854062b2def07d4e84e65c18f4ab020dcdf3a74d67019f513b89bbc749	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B03__M02	a13b0e254dc0539f8d447d3b36b46871053a1b788c7d1645dbdd94ed19ff6059	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B04__M00	3a50bfb6728c81271bbf90ef48ca1383d0517fda116bf6f46e6372dfec2700c6	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B04__M01	fa14bde4999145de3722c4c981c1208bc87c3f4d92765982637622819143582b	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B04__M02	7c99a1fe03ed2aa1b5ac4ac86aa6283586347b19119fb6b7af2167070efc00a7	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B05__M00	2fb1e129cab8c5f2493a36098223fbdb31a2aedbbb54bf2334088e57b302e86f	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B05__M01	0054e1d2144bae065557b7a87a568bbb3b346b09e927b2916d821f95aea05cf4	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B05__M02	b32ddaba932a55970aa7357698f88dd463f1e93b4d6995ec0c69549241f204d1	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B06__M00	1e585c0b7f4d49eee3ae82dd00fd2a13b288af426600e6c3f13bae73f0ae42d5	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B06__M01	d5a0a4c7197287d45e2b10458ff8027611a80ecd22dbf3fec1371b8a59d71abb	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B06__M02	4ce05789c97397730252ed28e5d7ede6dff59672ec8752c060f9abcf19a7808d	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B07__M00	34d09bbc11cb4244df4f065c538f1296a3116ec99d1c9d98f7a98cc9a43136ed	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B07__M01	4b990831096e7c14ed1ad36239264d6124c48181333b6aee0afa052368370264	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B07__M02	290e83da3ae1caf45bdd23f2e762870cca421330b7f0d1d22c737a74d4828b4b	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B08__M00	eb9a275573ee15f7c6b43e3d673e9f28976339632fdf7d4c70cbd82ff0191840	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B08__M01	ed76abe29e80cc29b45ed684c451d0cfc1db3c5b6dcab8c77245f2bfa29f6d21	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B09__M02	ecfd001aafe626f4c606ee101ef205df3ac15442c9c3729a78e774db50f2822c	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B10__M00	d7a6f8c393be93d2088f6427e5c3b44e80429d150d7f4077882f0b21983318e7	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B10__M01	c24951f93a014212ceef6000f28005e2afa7ed190c9a9b06fd47514ab616f566	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B11__M00	ed9ad0c2b025aff7aea5de44d37696330af81a15b6e0dbf2b66dbaef51e553ef	C0009	False	hydrophobic_run		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B11__M01	d3bb2ada34a4c99a23b8fb9c49332c6ca63adffdb9bf89820d8cc80e2e15b312	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H1H3__B11__M02	a6c7398949dfc8bdb535d4de6843aa1b339c31f07ff52a1b41cb0cbcc4a25a72	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B00__M00	607362003bfdca681060a75f14841fb5c04cf1a6b1eaa6e121db60cb34c15e27	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B00__M01	71d7fff549762905f3e710a1d95997f40a05f9466f6b1f352efe792d079fbc7a	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B00__M02	dc9ec5c5e377df8be0d0f4d83412c709102d5ba128c5d2d65fc8e0f79a05ebd4	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B01__M00	8f04fda1a084d073c09e77262f090ec317dc96a00a7c54e3078cdab052981b73	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B01__M02	f48737c96120ec64036f4b9f2b53bb6a1ab155ba5f72a285f6384fff50264b7f	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B02__M00	05566a0bcef36632c1337e7de7089e5ec70804394d5e87159d59e1bfef76dc37	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B02__M01	9ae5ed7298cfdf952de8dc333b7edd4e15ca671d3e22843e24b41abaeab53ea6	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B02__M02	ffa7a0f1d21375cfcce65559308c1d58118a3c66b3f43c2c13c43cc4ec0a547a	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B03__M00	1924a418d85a359d870652464c0285c56985f4dbecf1621ec3e2faece39cfb55	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B03__M01	5352d504842627926e16c12899335031400f31bf49af4cbd4bba8ec62dbe5534	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B03__M02	1736888e2c01856d84c2e0db11ba5e1677ebb0c2ca0f23fb28d07c531a449f41	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B04__M01	2c4433b25cb946ba72ce0b68e2d61ddf9fa1523fa366e08470fcdbcd937f4835	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B04__M02	faf6e939ce97a894b777c4b10caebe465a01cfcc9bc4658025ee1e2789394794	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B05__M00	aeeca160fc4a0548713234e492ce08e11135c183229acb2d7030e44e1764601c	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B05__M01	c26530ba947a39e7b3ee9e38d6605da5bf41d22dc924a4cc3e800667f425f2e0	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B05__M02	64d02f168e5c32d6866955ec285f6a78e239a311c050d7524fe71278795ee90e	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B06__M00	0cb70ee2850b4e41cc36d41a605938bf13d14c99a47e4d14e9db44686c85618b	C0009	False	hydrophobic_run		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B06__M02	99355b0854e54163851bc6296103fe4357f52885e9b472933cb1608b61dd3dc6	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B07__M00	a6c4f1dba2b5cc582513f4e27bc6841eee624a2cb9e3e4d4f3b58c768bfd9d1b	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B07__M01	4b66eb2265ffa9fdf18c047f8bba3286cd51c5f503694016252a16a37064c7fb	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B07__M02	f3007098cfc0273dbf18f9d210cbc63403d93c5a7fd212b0843ec6e29bc3ccaa	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B09__M00	3d4d482e0f5efb9f3105e56d51c4c5372c554f32cb3d16f305f31b9f97671ce3	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B09__M01	754485d9f6f2d5194025ef644965ee4e9c5dd41cd870400884f2845f4f7418e5	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B09__M02	74869d1fdb9ba328e86d226be07a3d8996d6fa37d5aee7cb1175b6521184f7de	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B10__M00	ce0e273bc7f3cea1ac9c71609620864889c3f5ad38c59697bd2e3a07388d746d	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B10__M01	d8f7df2f9a77c113a8b78d058828d79371e87c273370b3dc43aac6fe927632bd	C0009	False	developability_warn		V4_D_MEMBER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B10__M02	4ba96486e925b21ac3f44dfd0fd722999deecc3b4d6b6e4e8780d720cfef95f0	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__B_LOWER__H3__B11__M02	36b5f2ec78b9f5178374b266d6e3675e39345d3f515881ce0e28c26861d1ffaa	C0009	False	developability_warn		GLOBAL_POOL_OTHER
RFV1__PLDNANO_VHH_00010__C_CROSS__H1H3__B00__M00	081fef71e7192213dcb5b4d53ddf60a845091add559d661ef945c2fb225106bd	C0009	False	developability_warn		GLOBAL_POOL_OTHER
