cluster_id,representative_record_id,member_count,sources_present,max_pairwise_identity,mean_score_v1_1,selected_for_top_200,selection_reason,diversity_notes
C0022,PLDNANO_VHH_00024,2,PLAbDab-nano:GenBank,0.992,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0023,PLDNANO_VHH_00026,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0024,PLDNANO_VHH_00028,3,PLAbDab-nano:GenBank;PLAbDab-nano:SAbDab,0.984,0.949,no,not_selected,greedy_sequence_identity_threshold_0.90
C0025,PLDNANO_VHH_00029,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0026,PLDNANO_VHH_00031,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0027,PLDNANO_VHH_00032,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0028,PLDNANO_VHH_00033,6,PLAbDab-nano:GenBank,0.992,0.940,no,not_selected,greedy_sequence_identity_threshold_0.90
C0029,PLDNANO_VHH_00040,1,PLAbDab-nano:GenBank,1.000,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0030,PLDNANO_VHH_00042,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0031,PLDNANO_VHH_00044,1,PLAbDab-nano:GenBank,1.000,0.960,no,not_selected,greedy_sequence_identity_threshold_0.90
C0032,PLDNANO_VHH_00046,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0033,PLDNANO_VHH_00048,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0034,PLDNANO_VHH_00049,1,PLAbDab-nano:GenBank,1.000,0.930,no,not_selected,greedy_sequence_identity_threshold_0.90
C0035,PLDNANO_VHH_00051,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0036,PLDNANO_VHH_00052,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0037,PLDNANO_VHH_00053,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0038,PLDNANO_VHH_00055,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0039,PLDNANO_VHH_00056,2,PLAbDab-nano:GenBank,0.934,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0040,PLDNANO_VHH_00058,2,PLAbDab-nano:GenBank;PLAbDab-nano:SAbDab,0.992,0.960,no,not_selected,greedy_sequence_identity_threshold_0.90
C0041,PLDNANO_VHH_00059,3,PLAbDab-nano:GenBank,0.984,0.969,no,not_selected,greedy_sequence_identity_threshold_0.90
C0042,PLDNANO_VHH_00060,1,PLAbDab-nano:GenBank,1.000,0.935,no,not_selected,greedy_sequence_identity_threshold_0.90
C0043,PLDNANO_VHH_00064,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0044,PLDNANO_VHH_00065,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0045,PLDNANO_VHH_00067,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0046,PLDNANO_VHH_00068,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0047,PLDNANO_VHH_00069,2,PLAbDab-nano:GenBank;PLAbDab-nano:SAbDab,0.957,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0048,PLDNANO_VHH_00071,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0049,PLDNANO_VHH_00072,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0050,PLDNANO_VHH_00077,3,PLAbDab-nano:GenBank,0.944,0.962,no,not_selected,greedy_sequence_identity_threshold_0.90
C0051,PLDNANO_VHH_00074,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0052,PLDNANO_VHH_00076,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0053,PLDNANO_VHH_00083,3,PLAbDab-nano:GenBank,0.968,0.956,no,not_selected,greedy_sequence_identity_threshold_0.90
C0054,PLDNANO_VHH_00082,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0055,PLDNANO_VHH_00084,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0056,PLDNANO_VHH_00085,1,PLAbDab-nano:GenBank,1.000,0.930,no,not_selected,greedy_sequence_identity_threshold_0.90
C0057,PLDNANO_VHH_00086,1,PLAbDab-nano:GenBank,1.000,0.930,no,not_selected,greedy_sequence_identity_threshold_0.90
C0058,PLDNANO_VHH_00087,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0059,PLDNANO_VHH_00088,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0060,PLDNANO_VHH_00089,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0061,PLDNANO_VHH_00090,2,PLAbDab-nano:GenBank,0.992,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0062,PLDNANO_VHH_00091,2,PLAbDab-nano:GenBank,0.992,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0063,PLDNANO_VHH_00093,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0064,PLDNANO_VHH_00094,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0065,PLDNANO_VHH_00096,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0066,PLDNANO_VHH_00098,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0067,PLDNANO_VHH_00099,1,PLAbDab-nano:GenBank,1.000,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0068,PLDNANO_VHH_00100,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0069,PLDNANO_VHH_00101,3,PLAbDab-nano:GenBank,0.992,0.962,no,not_selected,greedy_sequence_identity_threshold_0.90
C0070,PLDNANO_VHH_00104,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0071,PLDNANO_VHH_00105,3,PLAbDab-nano:GenBank,0.928,0.969,no,not_selected,greedy_sequence_identity_threshold_0.90
C0072,PLDNANO_VHH_00107,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0073,PLDNANO_VHH_00108,2,PLAbDab-nano:GenBank,0.967,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0074,PLDNANO_VHH_00111,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0075,PLDNANO_VHH_00115,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0076,PLDNANO_VHH_00116,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0077,PLDNANO_VHH_00117,1,PLAbDab-nano:GenBank,1.000,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0078,PLDNANO_VHH_00118,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0079,PLDNANO_VHH_00122,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0080,PLDNANO_VHH_00125,1,PLAbDab-nano:GenBank,1.000,0.930,no,not_selected,greedy_sequence_identity_threshold_0.90
C0081,PLDNANO_VHH_00126,6,PLAbDab-nano:GenBank,0.992,0.960,no,not_selected,greedy_sequence_identity_threshold_0.90
C0082,PLDNANO_VHH_00132,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0083,PLDNANO_VHH_00138,3,PLAbDab-nano:GenBank,0.969,0.942,no,not_selected,greedy_sequence_identity_threshold_0.90
C0084,PLDNANO_VHH_00134,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0085,PLDNANO_VHH_00135,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0086,PLDNANO_VHH_00136,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0087,PLDNANO_VHH_00137,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0088,PLDNANO_VHH_00139,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0089,PLDNANO_VHH_00142,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0090,PLDNANO_VHH_00143,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0091,PLDNANO_VHH_00144,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0092,PLDNANO_VHH_00145,2,PLAbDab-nano:GenBank,0.984,0.935,no,not_selected,greedy_sequence_identity_threshold_0.90
C0093,PLDNANO_VHH_00146,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0094,PLDNANO_VHH_00147,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0095,PLDNANO_VHH_00148,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0096,PLDNANO_VHH_00149,3,PLAbDab-nano:GenBank;PLAbDab-nano:SAbDab,0.992,0.939,no,not_selected,greedy_sequence_identity_threshold_0.90
C0097,PLDNANO_VHH_00150,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0098,PLDNANO_VHH_00151,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0099,PLDNANO_VHH_00153,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0100,PLDNANO_VHH_00154,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0101,PLDNANO_VHH_00155,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0102,PLDNANO_VHH_00156,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0103,PLDNANO_VHH_00157,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0104,PLDNANO_VHH_00158,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0105,PLDNANO_VHH_00159,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0106,PLDNANO_VHH_00160,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0107,PLDNANO_VHH_00161,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0108,PLDNANO_VHH_00163,1,PLAbDab-nano:GenBank,1.000,0.943,no,not_selected,greedy_sequence_identity_threshold_0.90
C0109,PLDNANO_VHH_00164,1,PLAbDab-nano:GenBank,1.000,0.983,no,not_selected,greedy_sequence_identity_threshold_0.90
C0110,PLDNANO_VHH_00165,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0111,PLDNANO_VHH_00166,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0112,PLDNANO_VHH_00167,1,PLAbDab-nano:GenBank,1.000,0.983,no,not_selected,greedy_sequence_identity_threshold_0.90
C0113,PLDNANO_VHH_00168,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0114,PLDNANO_VHH_00169,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0115,PLDNANO_VHH_00170,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0116,PLDNANO_VHH_00171,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0117,PLDNANO_VHH_00172,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0118,PLDNANO_VHH_00173,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0119,PLDNANO_VHH_00174,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0120,PLDNANO_VHH_00175,1,PLAbDab-nano:GenBank,1.000,0.963,no,not_selected,greedy_sequence_identity_threshold_0.90
C0121,PLDNANO_VHH_00177,1,PLAbDab-nano:GenBank,1.000,0.943,no,not_selected,greedy_sequence_identity_threshold_0.90
C0122,PLDNANO_VHH_00178,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0123,PLDNANO_VHH_00180,1,PLAbDab-nano:GenBank,1.000,0.980,no,not_selected,greedy_sequence_identity_threshold_0.90
C0124,PLDNANO_VHH_00181,1,PLAbDab-nano:GenBank,1.000,0.963,no,not_selected,greedy_sequence_identity_threshold_0.90
C0125,PLDNANO_VHH_00182,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0126,PLDNANO_VHH_00183,1,PLAbDab-nano:GenBank,1.000,0.963,no,not_selected,greedy_sequence_identity_threshold_0.90
C0127,PLDNANO_VHH_00184,1,PLAbDab-nano:GenBank,1.000,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0128,PLDNANO_VHH_00185,1,PLAbDab-nano:GenBank,1.000,0.963,no,not_selected,greedy_sequence_identity_threshold_0.90
C0129,PLDNANO_VHH_00186,1,PLAbDab-nano:GenBank,1.000,0.973,no,not_selected,greedy_sequence_identity_threshold_0.90
C0130,PLDNANO_VHH_00187,1,PLAbDab-nano:GenBank,1.000,0.983,no,not_selected,greedy_sequence_identity_threshold_0.90
C0131,PLDNANO_VHH_00188,1,PLAbDab-nano:GenBank,1.000,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0132,PLDNANO_VHH_00189,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0133,PLDNANO_VHH_00191,1,PLAbDab-nano:GenBank,1.000,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0134,PLDNANO_VHH_00192,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0135,PLDNANO_VHH_00193,1,PLAbDab-nano:GenBank,1.000,0.983,no,not_selected,greedy_sequence_identity_threshold_0.90
C0136,PLDNANO_VHH_00194,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0137,PLDNANO_VHH_00195,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0138,PLDNANO_VHH_00196,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0139,PLDNANO_VHH_00197,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0140,PLDNANO_VHH_00198,2,PLAbDab-nano:GenBank,0.992,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0141,PLDNANO_VHH_00200,1,PLAbDab-nano:GenBank,1.000,0.935,no,not_selected,greedy_sequence_identity_threshold_0.90
C0142,PLDNANO_VHH_00202,2,PLAbDab-nano:GenBank,0.992,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0143,PLDNANO_VHH_00204,2,PLAbDab-nano:GenBank,0.975,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0144,PLDNANO_VHH_00205,1,PLAbDab-nano:GenBank,1.000,1.000,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0145,PLDNANO_VHH_00207,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0146,PLDNANO_VHH_00208,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0147,PLDNANO_VHH_00209,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0148,PLDNANO_VHH_00211,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0149,PLDNANO_VHH_00212,4,PLAbDab-nano:GenBank,0.975,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0150,PLDNANO_VHH_00214,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0151,PLDNANO_VHH_00216,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0152,PLDNANO_VHH_00218,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0153,PLDNANO_VHH_00219,2,PLAbDab-nano:GenBank,0.962,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0154,PLDNANO_VHH_00220,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0155,PLDNANO_VHH_00222,2,PLAbDab-nano:GenBank,0.966,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0156,PLDNANO_VHH_00223,2,PLAbDab-nano:GenBank,0.992,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0157,PLDNANO_VHH_00225,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0158,PLDNANO_VHH_00227,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0159,PLDNANO_VHH_00228,1,PLAbDab-nano:GenBank,1.000,0.963,no,not_selected,greedy_sequence_identity_threshold_0.90
C0160,PLDNANO_VHH_00229,1,PLAbDab-nano:GenBank,1.000,0.960,no,not_selected,greedy_sequence_identity_threshold_0.90
C0161,PLDNANO_VHH_00230,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0162,PLDNANO_VHH_00231,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0163,PLDNANO_VHH_00232,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0164,PLDNANO_VHH_00233,2,PLAbDab-nano:GenBank,0.911,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0165,PLDNANO_VHH_00235,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0166,PLDNANO_VHH_00236,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0167,PLDNANO_VHH_00238,2,PLAbDab-nano:GenBank;PLAbDab-nano:SAbDab,0.984,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0168,PLDNANO_VHH_00239,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0169,PLDNANO_VHH_00240,2,PLAbDab-nano:GenBank,0.992,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0170,PLDNANO_VHH_00246,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0171,PLDNANO_VHH_00247,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0172,PLDNANO_VHH_00248,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0173,PLDNANO_VHH_00252,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0174,PLDNANO_VHH_00253,2,PLAbDab-nano:GenBank,0.928,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0175,PLDNANO_VHH_00255,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0176,PLDNANO_VHH_00257,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0177,PLDNANO_VHH_00258,2,PLAbDab-nano:GenBank,0.942,0.965,no,not_selected,greedy_sequence_identity_threshold_0.90
C0178,PLDNANO_VHH_00260,2,PLAbDab-nano:GenBank,0.968,0.975,no,not_selected,greedy_sequence_identity_threshold_0.90
C0179,PLDNANO_VHH_00264,3,PLAbDab-nano:GenBank,0.969,0.969,no,not_selected,greedy_sequence_identity_threshold_0.90
C0180,PLDNANO_VHH_00272,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0181,PLDNANO_VHH_00273,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0182,PLDNANO_VHH_00274,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0183,PLDNANO_VHH_00275,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0184,PLDNANO_VHH_00276,1,PLAbDab-nano:GenBank,1.000,0.983,no,not_selected,greedy_sequence_identity_threshold_0.90
C0185,PLDNANO_VHH_00278,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0186,PLDNANO_VHH_00279,1,PLAbDab-nano:GenBank,1.000,0.955,no,not_selected,greedy_sequence_identity_threshold_0.90
C0187,PLDNANO_VHH_00280,1,PLAbDab-nano:GenBank,1.000,0.990,yes,top_scoring_cluster_representative,greedy_sequence_identity_threshold_0.90
C0188,PLDNANO_VHH_00281,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0189,PLDNANO_VHH_00282,1,PLAbDab-nano:GenBank,1.000,0.970,no,not_selected,greedy_sequence_identity_threshold_0.90
C0190,PLDNANO_VHH_00283,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0191,PLDNANO_VHH_00284,1,PLAbDab-nano:GenBank,1.000,0.950,no,not_selected,greedy_sequence_identity_threshold_0.90
C0192,PLDNANO_VHH_01188,2,PLAbDab-nano:GenBank,0.930,0.946,no,not_selected,greedy_sequence_identity_threshold_0.90
