submission_id	competition_rank_1_50	mechanism_rank_immutable	candidate_id	max_team_cdr1_identity	max_team_cdr1_peer_submission_id	max_team_cdr2_identity	max_team_cdr2_peer_submission_id	max_team_cdr3_identity	max_team_cdr3_peer_submission_id	max_team_any_cdr_identity	max_team_any_cdr_peer_submission_id	max_team_any_cdr_name
PVRIG_CAND_036	36	40	NODE1GEN_136300_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qkg_L_bb255_mpn02_arm_P6_qkg_L_backbone_P6_qkg_L_bb255_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_031	0.750000	PVRIG_CAND_018	0.705882	PVRIG_CAND_038	1.000000	PVRIG_CAND_031	cdr1
PVRIG_CAND_037	37	41	NODE1GEN_095824_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb358_mpn04_arm_P4_qrg_L_backbone_P4_qrg_L_bb358_status_NEEDS_RF2_AND_DOCKING	0.875000	PVRIG_CAND_001	0.875000	PVRIG_CAND_035	0.705882	PVRIG_CAND_035	0.875000	PVRIG_CAND_001	cdr1
PVRIG_CAND_038	38	42	NODE1GEN_017313_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb054_mpn00_arm_P1_qrg_L_backbone_P1_qrg_L_bb054_status_NEEDS_RF2_AND_DOCKING	0.875000	PVRIG_CAND_024	0.875000	PVRIG_CAND_035	0.705882	PVRIG_CAND_036	0.875000	PVRIG_CAND_024	cdr1
PVRIG_CAND_039	39	43	NODE1GEN_109783_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb121_mpn06_arm_P5_qkg_L_backbone_P5_qkg_L_bb121_status_NEEDS_RF2_AND_DOCKING	0.875000	PVRIG_CAND_024	0.750000	PVRIG_CAND_018	0.529412	PVRIG_CAND_024	0.875000	PVRIG_CAND_024	cdr1
PVRIG_CAND_040	40	44	NODE1GEN_100102_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb007_mpn10_arm_P5_ekg_L_backbone_P5_ekg_L_bb007_status_NEEDS_RF2_AND_DOCKING	0.625000	PVRIG_CAND_001	0.625000	PVRIG_CAND_007	0.562500	PVRIG_CAND_037	0.625000	PVRIG_CAND_001	cdr1
PVRIG_CAND_041	41	45	NODE1GEN_109883_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qkg_L_bb130_mpn02_arm_P5_qkg_L_backbone_P5_qkg_L_bb130_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_018	1.000000	PVRIG_CAND_018	0.500000	PVRIG_CAND_037	1.000000	PVRIG_CAND_018	cdr1
PVRIG_CAND_042	42	47	P1MCPUFP__CPUFP500K_0030__00860	0.750000	PVRIG_CAND_020	0.875000	PVRIG_CAND_043	0.470588	PVRIG_CAND_001	0.875000	PVRIG_CAND_043	cdr2
PVRIG_CAND_043	43	48	P1MCPUFP__CPUFP500K_0029__00647	0.625000	PVRIG_CAND_020	0.875000	PVRIG_CAND_035	0.400000	PVRIG_CAND_001	0.875000	PVRIG_CAND_035	cdr2
PVRIG_CAND_044	44	49	P1MCPUFP__CPUFP500K_0090__00860	1.000000	PVRIG_CAND_022	0.857143	PVRIG_CAND_022	0.789474	PVRIG_CAND_033	1.000000	PVRIG_CAND_022	cdr1
PVRIG_CAND_045	45	35	P1MCPUFP__CPUFP500K_0289__00496	0.700000	PVRIG_CAND_046	0.857143	PVRIG_CAND_008	0.789474	PVRIG_CAND_046	0.857143	PVRIG_CAND_008	cdr2
PVRIG_CAND_046	46	36	P1MCPUFP__CPUFP500K_0091__00849	0.700000	PVRIG_CAND_045	0.714286	PVRIG_CAND_021	0.789474	PVRIG_CAND_045	0.789474	PVRIG_CAND_045	cdr3
PVRIG_CAND_047	47	38	P1MCPUFP__CPUFP500K_0388__00174	0.700000	PVRIG_CAND_046	0.857143	PVRIG_CAND_045	0.789474	PVRIG_CAND_048	0.857143	PVRIG_CAND_045	cdr2
PVRIG_CAND_048	48	39	P1MCPUFP__CPUFP500K_0487__00827	0.700000	PVRIG_CAND_045	0.857143	PVRIG_CAND_045	0.789474	PVRIG_CAND_046	0.857143	PVRIG_CAND_045	cdr2
PVRIG_CAND_049	49	46	P1MCPUFP__CPUFP500K_0188__00645	0.800000	PVRIG_CAND_019	1.000000	PVRIG_CAND_012	0.789474	PVRIG_CAND_003	1.000000	PVRIG_CAND_012	cdr2
PVRIG_CAND_050	50	50	NODE1GEN_128929_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_ekg_L_bb339_mpn06_arm_P6_ekg_L_backbone_P6_ekg_L_bb339_status_NEEDS_RF2_AND_DOCKING	1.000000	PVRIG_CAND_024	0.750000	PVRIG_CAND_036	0.500000	PVRIG_CAND_024	1.000000	PVRIG_CAND_024	cdr1
