job_id	entity_id	entity_type	control_class	expected_behavior	conformation	seed	state	attempts	selected_model_count	pose_score_model_count	pose_backed_2x2	representative_model	haddock_score	air_energy	native_class	cross_class	representative_pair_label	model_pair_consensus_fraction	model_native_cross_support_agreement_fraction	model_strict_a_fraction	native_hotspot_overlap	cross_hotspot_overlap	native_holdout_overlap	cross_holdout_overlap	native_total_occlusion	cross_total_occlusion	native_cdr3_occlusion	cross_cdr3_occlusion	native_cdr3_fraction	cross_cdr3_fraction	anomaly_flag	anomaly_reason	job_hash
CANDIDATE_V29_GEN__C0001__997C9CE9E9259F77_8x6b_s917_430f82177130	V29_GEN__C0001__997C9CE9E9259F77	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-65.32342	349.578	B	B	SUPPORTED_AB	0.6	1.0	0.4	12	12	5	5	786	790	150	154	0.19084	0.194937	false		430f82177130a077274a9514196e96830f00ea7537fc884a9c16e8358ba09db8
CANDIDATE_V29_GEN__C0001__997C9CE9E9259F77_9e6y_s917_587f816b0396	V29_GEN__C0001__997C9CE9E9259F77	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-80.48183999999999	384.026	B	B	SUPPORTED_AB	0.6	1.0	0.4	13	13	8	8	786	774	105	105	0.133588	0.135659	false		587f816b0396e5998ab2a311f26424c22627d31257e9adf1642512f852bd88e9
CANDIDATE_V29_GEN__C0001__C37E78F9F9C8C672_8x6b_s917_d65a15bf1084	V29_GEN__C0001__C37E78F9F9C8C672	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	9	9	true	cluster_1_model_1.pdb.gz	-79.62988	163.293	A	A	STRICT_A	1.0	1.0	1.0	16	16	8	8	643	662	116	112	0.180404	0.169184	false		d65a15bf108475757c738e77e1f488f9a37c060f7e1be4b46e1bed3a0ee1921f
CANDIDATE_V29_GEN__C0001__C37E78F9F9C8C672_9e6y_s917_4b619f5896b5	V29_GEN__C0001__C37E78F9F9C8C672	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-95.95403999999999	209.437	A	A	STRICT_A	0.9	1.0	0.9	17	17	8	8	728	706	111	109	0.152473	0.154391	false		4b619f5896b58b9ab3c1213d7a1e1dd94c7a86ea632c9941142ea06e6f84b4af
CANDIDATE_V29_GEN__C0001__C400C71A514657D9_8x6b_s917_c6f314cde2fc	V29_GEN__C0001__C400C71A514657D9	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-71.3904	238.496	A	A	STRICT_A	0.7	0.9	0.2	16	16	7	7	724	736	116	113	0.160221	0.153533	false		c6f314cde2fc7666bb00c18f291477456635e9f40b021c789ebc1cd9e97f3038
CANDIDATE_V29_GEN__C0001__C400C71A514657D9_9e6y_s917_3534fd61008e	V29_GEN__C0001__C400C71A514657D9	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-69.6221	302.996	A	A	STRICT_A	0.6	1.0	0.4	16	16	7	7	726	713	120	122	0.165289	0.171108	false		3534fd61008e745a236e4f7ea292996f3b86001ca440d6e029166f4662c503c1
CANDIDATE_V29_GEN__C0001__F52CE75CF57C7FBF_8x6b_s917_d985ed27aca9	V29_GEN__C0001__F52CE75CF57C7FBF	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-75.56613999999999	283.157	A	B	SUPPORTED_AB	0.5	1.0	0.5	18	18	9	9	552	527	109	92	0.197464	0.174573	false		d985ed27aca95641c645821986e83b861a504f3bfcc507d57b94513209373959
CANDIDATE_V29_GEN__C0001__F52CE75CF57C7FBF_9e6y_s917_5b3efd2da4ee	V29_GEN__C0001__F52CE75CF57C7FBF	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-80.04505999999999	224.824	B	A	SUPPORTED_AB	0.5	1.0	0.5	18	18	9	9	511	524	94	108	0.183953	0.206107	false		5b3efd2da4ee9ecada51b3c282970f32650daa6ce44c2524818bddfda27f7c77
CANDIDATE_V29_GEN__C0001__F5AE378FC889E882_8x6b_s917_3edad6de9ed9	V29_GEN__C0001__F5AE378FC889E882	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-76.57019999999999	223.91	B	B	SUPPORTED_AB	0.8	1.0	0.2	14	14	7	7	479	477	116	109	0.242171	0.228512	false		3edad6de9ed99d3e928b2e18ba8e6439359e7e998d6824cbb7f4ef737d2f9a97
CANDIDATE_V29_GEN__C0001__F5AE378FC889E882_9e6y_s917_3e89b98f876a	V29_GEN__C0001__F5AE378FC889E882	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-87.25828	241.302	E	E	OTHER	0.7	1.0	0.2	12	12	7	7	776	769	67	68	0.08634	0.088427	false		3e89b98f876a5a9e67472e94a32721d6c3378212f6a6f4d1ce07e1fd83d18302
CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_8x6b_s917_0dbad696c3ba	V29_GEN__C0007__0F43BFB5BB3D8355	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-102.67305	92.7637	E	E	OTHER	0.7	1.0	0.2	19	19	10	10	901	891	67	60	0.074362	0.06734	false		0dbad696c3ba03679e1ffb09a3f115ff0547a43018d92573c436a8b8e9b9126f
CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_9e6y_s917_eb26cdd4f82e	V29_GEN__C0007__0F43BFB5BB3D8355	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-95.5482	217.958	A	A	STRICT_A	0.8	1.0	0.1	20	20	9	9	679	699	147	150	0.216495	0.214592	false		eb26cdd4f82e4b0b2192588db6bbc47e718d8d4a4462ae69c3e263959e10beca
CANDIDATE_V29_GEN__C0007__197AF2DEA41D6E05_8x6b_s917_52fa4547992d	V29_GEN__C0007__197AF2DEA41D6E05	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	9	9	true	cluster_1_model_1.pdb.gz	-87.8674	287.882	B	B	SUPPORTED_AB	0.888889	1.0	0.111111	17	17	8	8	447	447	138	145	0.308725	0.324385	false		52fa4547992d9be4b1e4a182ad9aaebc315c4220c29b474417e6e61ecd275254
CANDIDATE_V29_GEN__C0007__197AF2DEA41D6E05_9e6y_s917_ee44e24e60c4	V29_GEN__C0007__197AF2DEA41D6E05	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-94.9428	328.42	B	B	SUPPORTED_AB	0.7	1.0	0.2	15	15	6	6	474	479	159	165	0.335443	0.344468	false		ee44e24e60c40486d0daa4e377c78b1cfe85602990fa421d6d01c33a710aa39f
CANDIDATE_V29_GEN__C0007__1BDB3DAAA3003EF6_8x6b_s917_73304079b399	V29_GEN__C0007__1BDB3DAAA3003EF6	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-76.09750000000001	293.421	A	A	STRICT_A	0.5	1.0	0.5	18	18	9	9	554	536	109	105	0.196751	0.195896	false		73304079b39988429856cca9fa529b3c0b92751f57bf9546c6dee6ee1948d632
CANDIDATE_V29_GEN__C0007__1BDB3DAAA3003EF6_9e6y_s917_a988cf3a0fe8	V29_GEN__C0007__1BDB3DAAA3003EF6	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-75.8875	234.505	E	B	OTHER	0.8	0.9	0.8	15	15	8	8	439	455	40	51	0.091116	0.112088	false		a988cf3a0fe8dac925b344b1a14d2b2bcc0c629e06af643e54448d3f43ad8592
CANDIDATE_V29_GEN__C0007__2038129040C117CA_8x6b_s917_80241a68e145	V29_GEN__C0007__2038129040C117CA	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-68.78229999999999	211.646	B	B	SUPPORTED_AB	0.4	0.8	0.4	17	17	8	8	533	539	83	78	0.155722	0.144712	false		80241a68e145ae95a9e7c84c4c338edf261b45b13792107a7354d905409bdf8d
CANDIDATE_V29_GEN__C0007__2038129040C117CA_9e6y_s917_ec713bfb75d5	V29_GEN__C0007__2038129040C117CA	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-59.33601999999999	336.05	A	A	STRICT_A	0.7	1.0	0.7	17	17	8	8	725	730	120	127	0.165517	0.173973	false		ec713bfb75d5de230e91ab712b8fd7d8a35c28d887bf3ce551c657136e0be053
CANDIDATE_V29_GEN__C0007__21593291BD03C6E3_8x6b_s917_87ef31808c70	V29_GEN__C0007__21593291BD03C6E3	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-95.49369999999999	175.314	A	A	STRICT_A	0.6	1.0	0.6	21	21	10	10	574	568	130	129	0.226481	0.227113	false		87ef31808c70289a0a65d55235ea43da97b8c334da5f8c5ed746f1a4f9ff1962
CANDIDATE_V29_GEN__C0007__21593291BD03C6E3_9e6y_s917_25570d1a55f6	V29_GEN__C0007__21593291BD03C6E3	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-65.16	302.035	A	A	STRICT_A	0.5	1.0	0.5	20	20	10	10	553	566	154	160	0.278481	0.282686	false		25570d1a55f6ac2ab1e2e23b041a6d0420139443a2515696fc0be5fdfbba7ab3
CANDIDATE_V29_GEN__C0007__24F17A81651243D3_8x6b_s917_762834549364	V29_GEN__C0007__24F17A81651243D3	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-56.58607000000001	200.47	B	E	OTHER	0.8	0.9	0.8	15	15	7	7	856	842	87	65	0.101636	0.077197	false		7628345493644c1272d8b68b5affdde25798a9386d7bb1b53a29cbcab8fc6fe3
CANDIDATE_V29_GEN__C0007__24F17A81651243D3_9e6y_s917_de9283560f0b	V29_GEN__C0007__24F17A81651243D3	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-52.57253799999998	193.841	B	B	SUPPORTED_AB	0.6	0.9	0.6	16	16	9	9	433	443	69	78	0.159353	0.176072	false		de9283560f0b71b4d312df3f60dc717fcd81c0ab20b58a25af15c2caf59ee3c7
CANDIDATE_V29_GEN__C0007__38287DF4F6EF5465_8x6b_s917_85a9aa33b0b1	V29_GEN__C0007__38287DF4F6EF5465	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-70.6466	299.307	A	A	STRICT_A	0.6	1.0	0.3	14	14	6	6	749	763	188	189	0.251001	0.247706	false		85a9aa33b0b1231574ee77d65cf4d000bf22fb9e39f80e8c03f82e41838d9007
CANDIDATE_V29_GEN__C0007__38287DF4F6EF5465_9e6y_s917_78021e687442	V29_GEN__C0007__38287DF4F6EF5465	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-57.970560000000006	306.476	B	B	SUPPORTED_AB	0.5	1.0	0.5	14	14	7	7	465	473	149	147	0.32043	0.310782	false		78021e68744260cee877cc082b80956e3197a144b47f36efef596fb00544f8e9
CANDIDATE_V29_GEN__C0007__3A0EFE0FC164586B_8x6b_s917_cfce036b62c0	V29_GEN__C0007__3A0EFE0FC164586B	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	9	9	true	cluster_1_model_1.pdb.gz	-96.7292	282.03	A	A	STRICT_A	0.777778	1.0	0.777778	16	16	7	7	678	701	147	160	0.216814	0.228245	false		cfce036b62c02e4aedd5582030d80b5f390899186ad782f7f62743608832290b
CANDIDATE_V29_GEN__C0007__3A0EFE0FC164586B_9e6y_s917_29b96cd6d27c	V29_GEN__C0007__3A0EFE0FC164586B	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-84.58739999999999	230.892	E	E	OTHER	0.7	1.0	0.7	17	17	8	8	456	466	43	45	0.094298	0.096567	false		29b96cd6d27c2ad5589649f6cbacf1c5614a809037d6d56df4f536c74d209bef
CANDIDATE_V29_GEN__C0007__487DEBC54D5CA7B5_8x6b_s917_c9b7e82ac473	V29_GEN__C0007__487DEBC54D5CA7B5	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-87.90209999999999	352.13	A	A	STRICT_A	0.6	1.0	0.6	19	19	9	9	709	686	159	137	0.22426	0.199708	false		c9b7e82ac473f6325741dc530a242e70d7d3af3f3a1349a1c7f15eaedd6e1ab6
CANDIDATE_V29_GEN__C0007__487DEBC54D5CA7B5_9e6y_s917_67a0fc0c60fb	V29_GEN__C0007__487DEBC54D5CA7B5	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-77.06199999999998	427.943	B	B	SUPPORTED_AB	0.8	1.0	0.8	14	14	7	7	540	532	93	93	0.172222	0.174812	false		67a0fc0c60fbfdcb024d32aae279ce5843c1958feeb4840e552ddcfda7dd7b55
CANDIDATE_V29_GEN__C0007__54D93C0887DD4D12_8x6b_s917_63ebe44b3a2b	V29_GEN__C0007__54D93C0887DD4D12	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-95.19239999999999	359.676	B	A	SUPPORTED_AB	0.6	1.0	0.4	15	15	7	7	489	521	180	185	0.368098	0.355086	false		63ebe44b3a2bc3e268d780e744ebaea75749308f95c1081f368fe9e481519335
CANDIDATE_V29_GEN__C0007__54D93C0887DD4D12_9e6y_s917_762f059e10dd	V29_GEN__C0007__54D93C0887DD4D12	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-73.93342000000001	421.663	B	B	SUPPORTED_AB	0.6	1.0	0.4	15	15	7	7	332	365	158	173	0.475904	0.473973	false		762f059e10ddf974b997009aaaf939ff6c0e18e2933e152e7b868724393664de
CANDIDATE_V29_GEN__C0007__5AB8A6E7B29DE4C5_8x6b_s917_6694d8d7f7bd	V29_GEN__C0007__5AB8A6E7B29DE4C5	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-53.87228	248.028	A	A	STRICT_A	0.8	1.0	0.8	16	16	6	6	680	681	176	171	0.258824	0.251101	false		6694d8d7f7bd4ba461621a086041416bce29980e55b1a3d00c0ee37bbaf2d7c3
CANDIDATE_V29_GEN__C0007__5AB8A6E7B29DE4C5_9e6y_s917_6f806cb5d802	V29_GEN__C0007__5AB8A6E7B29DE4C5	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-46.615359999999995	276.059	A	A	STRICT_A	1.0	1.0	1.0	15	15	6	6	675	687	166	167	0.245926	0.243086	false		6f806cb5d802fd648673fe9d2bfe8ba06b12bce76c191b045b2f949582dd9242
CANDIDATE_V29_GEN__C0007__5E355E16ABF22AC5_8x6b_s917_33ee5ed4dc97	V29_GEN__C0007__5E355E16ABF22AC5	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-69.2247	236.247	B	B	SUPPORTED_AB	0.8	0.9	0.1	20	20	10	10	604	581	82	65	0.135762	0.111876	false		33ee5ed4dc979b113d71ab1b1c24912f11defd739c41090e7895fe0c4996fe91
CANDIDATE_V29_GEN__C0007__5E355E16ABF22AC5_9e6y_s917_81bee65a5001	V29_GEN__C0007__5E355E16ABF22AC5	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-65.38419999999999	237.507	A	A	STRICT_A	0.6	1.0	0.4	16	16	8	8	698	734	161	162	0.230659	0.220708	false		81bee65a5001bb7ccd25a5519d2e40015bfa848ba7cb14a38cc4afa85089341f
CANDIDATE_V29_GEN__C0007__6E1B6BF7C0D18DB1_8x6b_s917_80f3f4e8eb58	V29_GEN__C0007__6E1B6BF7C0D18DB1	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-108.07370000000002	205.039	A	A	STRICT_A	1.0	1.0	1.0	17	17	8	8	636	596	144	145	0.226415	0.243289	false		80f3f4e8eb5830aaab766e9c7d1f6bf8a5e154aa023239648ab945f59a0794cc
CANDIDATE_V29_GEN__C0007__6E1B6BF7C0D18DB1_9e6y_s917_b46e93fcd978	V29_GEN__C0007__6E1B6BF7C0D18DB1	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-85.70370000000001	371.828	B	B	SUPPORTED_AB	0.9	1.0	0.9	16	16	8	8	225	247	114	125	0.506667	0.506073	false		b46e93fcd978943f5f01d55fef52d99a71c3adea606df45e277edc5e0462e0fe
CANDIDATE_V29_GEN__C0007__733195EDA3CA1F3E_8x6b_s917_5b19c5a1e255	V29_GEN__C0007__733195EDA3CA1F3E	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-87.8432	268.506	B	B	SUPPORTED_AB	0.7	1.0	0.3	16	16	8	8	491	446	157	149	0.319756	0.334081	false		5b19c5a1e2553617aaa50a20c2874c8cd49fa015c6c2ff558444f63357ef9bfc
CANDIDATE_V29_GEN__C0007__733195EDA3CA1F3E_9e6y_s917_ec093484c017	V29_GEN__C0007__733195EDA3CA1F3E	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-89.45240000000001	263.303	A	A	STRICT_A	0.7	1.0	0.3	14	14	7	7	583	606	145	142	0.248714	0.234323	false		ec093484c0175c091565a18655ff39ee8172f52ad4b5be28d5b159764ccb1b82
CANDIDATE_V29_GEN__C0007__7C2F237FA2ECA80A_8x6b_s917_accec02bb83a	V29_GEN__C0007__7C2F237FA2ECA80A	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-76.00746000000001	314.606	A	A	STRICT_A	0.7	1.0	0.2	16	16	7	7	591	597	129	133	0.218274	0.222781	false		accec02bb83adf61114762ac323641ccbd1fddecabed40d20120adf470212a8a
CANDIDATE_V29_GEN__C0007__7C2F237FA2ECA80A_9e6y_s917_3a58c1cab338	V29_GEN__C0007__7C2F237FA2ECA80A	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-56.70170000000001	328.222	A	A	STRICT_A	0.8	1.0	0.2	16	16	8	8	750	758	174	175	0.232	0.230871	false		3a58c1cab3380635c7a9c9ac9b3af83f28a9afa675394b464b9df9af7c1c9b14
CANDIDATE_V29_GEN__C0007__7E84DB22CB439102_8x6b_s917_15f2e26e02c2	V29_GEN__C0007__7E84DB22CB439102	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-74.45434	212.741	B	B	SUPPORTED_AB	0.9	1.0	0.1	14	14	8	8	378	350	45	35	0.119048	0.1	false		15f2e26e02c2f9c17d4a727033f96a7d502743b1554ac50bec9263cfa53e2f9e
CANDIDATE_V29_GEN__C0007__7E84DB22CB439102_9e6y_s917_7d18bf4505ae	V29_GEN__C0007__7E84DB22CB439102	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-81.6146	191.697	A	A	STRICT_A	0.6	1.0	0.3	17	17	8	8	511	529	144	150	0.2818	0.283554	false		7d18bf4505aed03b6f8f27faad00d6ffc66acc3d5c620247c1e8a1ce3a8f400e
CANDIDATE_V29_GEN__C0007__8DCD9C5553E5CE7B_8x6b_s917_f5a40705370f	V29_GEN__C0007__8DCD9C5553E5CE7B	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-63.08540000000001	296.862	A	A	STRICT_A	0.5	1.0	0.5	14	14	7	7	711	742	158	165	0.222222	0.222372	false		f5a40705370f3d1b0c08f87b7e6f08ad4fd370a164a68d918d39f019bd25f617
CANDIDATE_V29_GEN__C0007__8DCD9C5553E5CE7B_9e6y_s917_422370e7f7db	V29_GEN__C0007__8DCD9C5553E5CE7B	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-59.38703000000001	208.144	B	B	SUPPORTED_AB	0.7	1.0	0.7	13	13	6	6	689	680	140	153	0.203193	0.225	false		422370e7f7db7ec407ba4d260de8cce17a2d226b8106c3a0538328e6e732fc5b
CANDIDATE_V29_GEN__C0007__951E50E70DEF13DC_8x6b_s917_174f9259e872	V29_GEN__C0007__951E50E70DEF13DC	candidate		CANDIDATE_UNKNOWN	8x6b	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-73.49010000000001	222.152	B	B	SUPPORTED_AB	0.6	1.0	0.4	17	17	9	9	401	384	176	169	0.438903	0.440104	false		174f9259e872c2b2805130664e831cc2fe445ccf2c216e5df970767869431aa9
CANDIDATE_V29_GEN__C0007__951E50E70DEF13DC_9e6y_s917_5875db2c69c2	V29_GEN__C0007__951E50E70DEF13DC	candidate		CANDIDATE_UNKNOWN	9e6y	917	SUCCESS	1	10	10	true	cluster_1_model_1.pdb.gz	-63.59571999999999	333.243	E	B	OTHER	0.6	0.9	0.3	14	14	8	8	438	456	39	47	0.089041	0.10307	false		5875db2c69c27173a04884b9e41ca1729ae05526a9d96efb3af7150ed61e2948
