entity_id	seed	8x6b_job_id	8x6b_job_hash	8x6b_state	8x6b_native_class	8x6b_cross_class	8x6b_pair_label	8x6b_pair_support_ordinal	8x6b_haddock_score	8x6b_selected_model_count	8x6b_pose_score_model_count	8x6b_model_pair_consensus_fraction	8x6b_model_native_cross_support_agreement_fraction	8x6b_error	9e6y_job_id	9e6y_job_hash	9e6y_state	9e6y_native_class	9e6y_cross_class	9e6y_pair_label	9e6y_pair_support_ordinal	9e6y_haddock_score	9e6y_selected_model_count	9e6y_pose_score_model_count	9e6y_model_pair_consensus_fraction	9e6y_model_native_cross_support_agreement_fraction	9e6y_error	dual_state	dual_exact_min_pair_label	dual_exact_min_pair_support_ordinal	technical_failure_reason
V29_GEN__C0001__5431FF8B69F6A14A	917	CANDIDATE_V29_GEN__C0001__5431FF8B69F6A14A_8x6b_s917_2ceaa0a48d42	2ceaa0a48d425001868cf2377857ebcc8fec5a3d8edefd83d497dbd726978b33	SUCCESS	A	A	STRICT_A	2	-54.45125999999999	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__5431FF8B69F6A14A_9e6y_s917_6c929692c519	6c929692c5195597122971d00186042dc76c82a5d8c462bf8aacd8af12ca6cbd	SUCCESS	E	E	OTHER	0	-62.55239999999999	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__6509871A079E785F	917	CANDIDATE_V29_GEN__C0001__6509871A079E785F_8x6b_s917_60a529a3493a	60a529a3493a6d19ede07a44b6e35930778ee869211638d12a04f169e7f7aa01	SUCCESS	A	A	STRICT_A	2	-106.39296	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__6509871A079E785F_9e6y_s917_b5f1e0946a13	b5f1e0946a139adefb75c39640583ab5f8b5de9e6730a3ec7711f43685cab0d3	SUCCESS	A	A	STRICT_A	2	-105.91878	10	10	0.5	0.9		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__75DC27F4CE608235	917	CANDIDATE_V29_GEN__C0001__75DC27F4CE608235_8x6b_s917_62aca457f8e8	62aca457f8e8ac5ee0c7d6bb84bf226fbe07cfb59e94ffe2f791d34aa4b21763	SUCCESS	B	B	SUPPORTED_AB	1	-81.38714	10	10	0.9	1.0		CANDIDATE_V29_GEN__C0001__75DC27F4CE608235_9e6y_s917_64a06a2f9aca	64a06a2f9aca6e9d2a7bcbb9c4ebd3d2920d7f16fd3fa5668ccd8a0c7bde2319	SUCCESS	A	A	STRICT_A	2	-85.5164	10	10	0.7	0.9		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__7E4437C65FBC2F2D	917	CANDIDATE_V29_GEN__C0001__7E4437C65FBC2F2D_8x6b_s917_3fff384bc4ce	3fff384bc4ce2930c264a848a42c610e060cc63832ffdf604cfb05ce828974a0	SUCCESS	B	B	SUPPORTED_AB	1	-73.6197	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__7E4437C65FBC2F2D_9e6y_s917_78e6255ac57c	78e6255ac57cbc7c3aadcdcb62eb55602703203edaee3e1aa9b51b7ea6d13412	SUCCESS	E	E	OTHER	0	-96.7012	10	10	0.8	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__879477DEE48923C9	917	CANDIDATE_V29_GEN__C0001__879477DEE48923C9_8x6b_s917_ff4b3d206211	ff4b3d206211a8b38c83b22b7caf36e146a047e80995c92c860bd96301c0ec09	SUCCESS	B	B	SUPPORTED_AB	1	-77.3218	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__879477DEE48923C9_9e6y_s917_86758d304078	86758d304078533f118f0e62503dbca8f70d736b77b4237acd3ca25c6cdd0e4d	SUCCESS	B	B	SUPPORTED_AB	1	-83.11166	10	10	0.7	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__8F523EB00420ADD0	917	CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_8x6b_s917_48c739553ce2	48c739553ce270917e6e0fd24b207367139f960a44cdca56487deb78d82567f4	SUCCESS	A	A	STRICT_A	2	-88.19229999999999	10	10	0.7	1.0		CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_9e6y_s917_0d1d5ebba507	0d1d5ebba507907808d84e061f1110eede53271e20fd36c10f876dbec2ae9301	SUCCESS	A	A	STRICT_A	2	-80.51976000000002	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__997C9CE9E9259F77	917	CANDIDATE_V29_GEN__C0001__997C9CE9E9259F77_8x6b_s917_430f82177130	430f82177130a077274a9514196e96830f00ea7537fc884a9c16e8358ba09db8	SUCCESS	B	B	SUPPORTED_AB	1	-65.32342	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__997C9CE9E9259F77_9e6y_s917_587f816b0396	587f816b0396e5998ab2a311f26424c22627d31257e9adf1642512f852bd88e9	SUCCESS	B	B	SUPPORTED_AB	1	-80.48183999999999	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__9E2D77A8015825F2	917	CANDIDATE_V29_GEN__C0001__9E2D77A8015825F2_8x6b_s917_c0d710e551b1	c0d710e551b1337935833451f82af729fe86f76f1806ee3f9a52fdbf695b895b	SUCCESS	A	B	SUPPORTED_AB	1	-84.2059	10	10	1.0	1.0		CANDIDATE_V29_GEN__C0001__9E2D77A8015825F2_9e6y_s917_bc1dbfc931b3	bc1dbfc931b3b0ad4bea2b3043158af883a5e95b32cd843d3923517162e35b17	SUCCESS	A	B	SUPPORTED_AB	1	-72.57956	10	10	0.8	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__A15FF71ACACA2D6F	917	CANDIDATE_V29_GEN__C0001__A15FF71ACACA2D6F_8x6b_s917_2ca0992836e5	2ca0992836e548510a07850c8351d6a7528dc94bbcb52807fc1296a170c8cc5f	SUCCESS	A	A	STRICT_A	2	-66.64042	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__A15FF71ACACA2D6F_9e6y_s917_7650bf6f3373	7650bf6f3373733c890b1e13d8c85389ffb9899a9c7869fb18f9013b75b4df64	SUCCESS	B	B	SUPPORTED_AB	1	-95.06129999999999	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__AAAD0F4238F71BF7	917	CANDIDATE_V29_GEN__C0001__AAAD0F4238F71BF7_8x6b_s917_0b3cb32b16f7	0b3cb32b16f7608e4495543bb6f6314aea775170e3d35bfa4f4335b07156aaa9	SUCCESS	B	B	SUPPORTED_AB	1	-78.11342	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__AAAD0F4238F71BF7_9e6y_s917_6e409dc81193	6e409dc8119326517d293f025fe0829aa183d7c50db74f9608ae334dcc0ac660	SUCCESS	A	A	STRICT_A	2	-79.53238000000002	10	10	0.8	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__AD8708728F2CA736	917	CANDIDATE_V29_GEN__C0001__AD8708728F2CA736_8x6b_s917_5daf6ce1f356	5daf6ce1f3564639dadee180d0feb79f5fa51e1d4b9cc5aed5d60563ae396287	SUCCESS	A	A	STRICT_A	2	-85.3604	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__AD8708728F2CA736_9e6y_s917_f075c53774da	f075c53774da8c7619e804b2e2dc08e0fc65edd5bd4944f4ea57f67ae7ca385e	SUCCESS	A	A	STRICT_A	2	-88.9897	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__B30F31F6F2E92545	917	CANDIDATE_V29_GEN__C0001__B30F31F6F2E92545_8x6b_s917_fb2b90d86e4d	fb2b90d86e4dcc5e7e732a6d368522e0385bb50097426ca5eb3ff2fa5337437c	SUCCESS	B	B	SUPPORTED_AB	1	-80.34003000000001	10	10	0.5	0.9		CANDIDATE_V29_GEN__C0001__B30F31F6F2E92545_9e6y_s917_9ee5d08474e2	9ee5d08474e21b071794ea77dc670c138af32ea7dcba8066bca12c9f9e9c8a9c	SUCCESS	E	E	OTHER	0	-75.1548	10	10	0.4	0.9		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__BFAFFE2ECB0B30F3	917	CANDIDATE_V29_GEN__C0001__BFAFFE2ECB0B30F3_8x6b_s917_3949fb852db1	3949fb852db12ac8e167c9fe06abddce362fad14d89651e34e746dbca805287b	SUCCESS	A	A	STRICT_A	2	-66.91808	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__BFAFFE2ECB0B30F3_9e6y_s917_fa10ed50f11e	fa10ed50f11ed61856ec15b408ef6b852ad6c93d3b056232db5737d6e93e2b87	SUCCESS	A	A	STRICT_A	2	-59.61148	10	10	0.7	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__C37E78F9F9C8C672	917	CANDIDATE_V29_GEN__C0001__C37E78F9F9C8C672_8x6b_s917_d65a15bf1084	d65a15bf108475757c738e77e1f488f9a37c060f7e1be4b46e1bed3a0ee1921f	SUCCESS	A	A	STRICT_A	2	-79.62988	9	9	1.0	1.0		CANDIDATE_V29_GEN__C0001__C37E78F9F9C8C672_9e6y_s917_4b619f5896b5	4b619f5896b58b9ab3c1213d7a1e1dd94c7a86ea632c9941142ea06e6f84b4af	SUCCESS	A	A	STRICT_A	2	-95.95403999999999	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__C400C71A514657D9	917	CANDIDATE_V29_GEN__C0001__C400C71A514657D9_8x6b_s917_c6f314cde2fc	c6f314cde2fc7666bb00c18f291477456635e9f40b021c789ebc1cd9e97f3038	SUCCESS	A	A	STRICT_A	2	-71.3904	10	10	0.7	0.9		CANDIDATE_V29_GEN__C0001__C400C71A514657D9_9e6y_s917_3534fd61008e	3534fd61008e745a236e4f7ea292996f3b86001ca440d6e029166f4662c503c1	SUCCESS	A	A	STRICT_A	2	-69.6221	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__CE2DF0E8C78AC8AB	917	CANDIDATE_V29_GEN__C0001__CE2DF0E8C78AC8AB_8x6b_s917_9448e851b9f7	9448e851b9f72479e03eacd21330b4ca5a33be7b5fd20385619b54a0d3b50aa5	SUCCESS	A	A	STRICT_A	2	-67.71246	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__CE2DF0E8C78AC8AB_9e6y_s917_34e570da720a	34e570da720abab97b9ce3a71549689ee0fc4af544b6b17b68bf7c855194ae55	SUCCESS	B	B	SUPPORTED_AB	1	-63.002759999999995	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__DB71BF66B8EE592F	917	CANDIDATE_V29_GEN__C0001__DB71BF66B8EE592F_8x6b_s917_7f04c8bc99c0	7f04c8bc99c0394ad641f0f96618239a116f19f25982598cf2f172778731a00e	SUCCESS	A	A	STRICT_A	2	-74.3925	10	10	0.9	1.0		CANDIDATE_V29_GEN__C0001__DB71BF66B8EE592F_9e6y_s917_76de866594b5	76de866594b58c611da45e29fbbfba6ae292599811a32095a81b8f57ba54f61c	SUCCESS	A	A	STRICT_A	2	-97.91910000000001	10	10	0.7	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__EB87643DDA8F7214	917	CANDIDATE_V29_GEN__C0001__EB87643DDA8F7214_8x6b_s917_d63d976ca200	d63d976ca2006b0aff1b5eebd274b44138bb8a51d18a42447bb9d0bfc940099d	SUCCESS	B	B	SUPPORTED_AB	1	-89.6354	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__EB87643DDA8F7214_9e6y_s917_1e1b45c520b4	1e1b45c520b491c91f81f1dd18c0f4545a4bc0ea8cc38e8f11aa35a9a9aabd58	SUCCESS	B	B	SUPPORTED_AB	1	-68.0117	10	10	0.8	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__EF486243D292F318	917	CANDIDATE_V29_GEN__C0001__EF486243D292F318_8x6b_s917_73e828b306a3	73e828b306a31c299d25d6b4b5192a0abb13840fa92fe2ed3264c9cfd60beaf8	SUCCESS	A	B	SUPPORTED_AB	1	-72.32382000000001	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__EF486243D292F318_9e6y_s917_4a1f33cf8651	4a1f33cf865108629f4b8997d5599fc6aff456e05f54f763410a00a9ebb42f6c	SUCCESS	B	B	SUPPORTED_AB	1	-66.0704	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__F52CE75CF57C7FBF	917	CANDIDATE_V29_GEN__C0001__F52CE75CF57C7FBF_8x6b_s917_d985ed27aca9	d985ed27aca95641c645821986e83b861a504f3bfcc507d57b94513209373959	SUCCESS	A	B	SUPPORTED_AB	1	-75.56613999999999	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__F52CE75CF57C7FBF_9e6y_s917_5b3efd2da4ee	5b3efd2da4ee9ecada51b3c282970f32650daa6ce44c2524818bddfda27f7c77	SUCCESS	B	A	SUPPORTED_AB	1	-80.04505999999999	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__F5AE378FC889E882	917	CANDIDATE_V29_GEN__C0001__F5AE378FC889E882_8x6b_s917_3edad6de9ed9	3edad6de9ed99d3e928b2e18ba8e6439359e7e998d6824cbb7f4ef737d2f9a97	SUCCESS	B	B	SUPPORTED_AB	1	-76.57019999999999	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__F5AE378FC889E882_9e6y_s917_3e89b98f876a	3e89b98f876a5a9e67472e94a32721d6c3378212f6a6f4d1ce07e1fd83d18302	SUCCESS	E	E	OTHER	0	-87.25828	10	10	0.7	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__FBC582E167ABC250	917	CANDIDATE_V29_GEN__C0001__FBC582E167ABC250_8x6b_s917_29cbcb08cdc9	29cbcb08cdc98138189def85cbd7197ee3dd32d5f8734ee43adfa8e23d2c9408	SUCCESS	B	B	SUPPORTED_AB	1	-77.50389999999999	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__FBC582E167ABC250_9e6y_s917_8dfafa8847b3	8dfafa8847b3cd017dffc1f4c695f96a1c8abadcdfc3bb92c04c1a6c8411fac6	SUCCESS	B	B	SUPPORTED_AB	1	-68.46427999999999	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0007__08B8BF4A8DE26E38	917	CANDIDATE_V29_GEN__C0007__08B8BF4A8DE26E38_8x6b_s917_a093b6dfeca4	a093b6dfeca444c36732f1e57ddb4dbecb7b81af4d94b9aad37153ba60aac7f2	SUCCESS	A	B	SUPPORTED_AB	1	-73.50102000000001	10	10	0.9	1.0		CANDIDATE_V29_GEN__C0007__08B8BF4A8DE26E38_9e6y_s917_cf5022cbd4a7	cf5022cbd4a7c99d9b835fac05a9c099371d7ea4c011a34b7300376fe9807f62	SUCCESS	A	A	STRICT_A	2	-71.4608	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0007__09058164334FAC60	917	CANDIDATE_V29_GEN__C0007__09058164334FAC60_8x6b_s917_89e513eb2c96	89e513eb2c96b86fa1f152ffd89a88a38a07e6703926eb988078d41c00fa92b9	SUCCESS	B	B	SUPPORTED_AB	1	-81.41741999999999	10	10	0.7	1.0		CANDIDATE_V29_GEN__C0007__09058164334FAC60_9e6y_s917_6a0d359f90fd	6a0d359f90fd3e033875f0e1adb03d66e824c60099ea25e57aa026f12f0886b6	SUCCESS	B	B	SUPPORTED_AB	1	-87.337	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0007__0F43BFB5BB3D8355	917	CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_8x6b_s917_0dbad696c3ba	0dbad696c3ba03679e1ffb09a3f115ff0547a43018d92573c436a8b8e9b9126f	SUCCESS	E	E	OTHER	0	-102.67305	10	10	0.7	1.0		CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_9e6y_s917_eb26cdd4f82e	eb26cdd4f82e4b0b2192588db6bbc47e718d8d4a4462ae69c3e263959e10beca	SUCCESS	A	A	STRICT_A	2	-95.5482	10	10	0.8	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0007__10A0AA27DE45D98D	917	CANDIDATE_V29_GEN__C0007__10A0AA27DE45D98D_8x6b_s917_1358d12cdf7f	1358d12cdf7f781dcd8a73b1c1c1ca513695095e7b52e3378389fe70a6b25228	SUCCESS	B	B	SUPPORTED_AB	1	-77.2122	10	10	0.9	1.0		CANDIDATE_V29_GEN__C0007__10A0AA27DE45D98D_9e6y_s917_7ad3eb218eb4	7ad3eb218eb4d3e66175d87570224799e6bf1b576fd10b5f91241ac792feecb9	SUCCESS	A	A	STRICT_A	2	-69.08349999999999	10	10	0.6	0.9		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0007__10C4DEF9A776E338	917	CANDIDATE_V29_GEN__C0007__10C4DEF9A776E338_8x6b_s917_d1e00c539fa1	d1e00c539fa1e6d1b5c32c507624965615406d445d8883e444c541fc6c500867	SUCCESS	A	A	STRICT_A	2	-107.8833	10	10	1.0	1.0		CANDIDATE_V29_GEN__C0007__10C4DEF9A776E338_9e6y_s917_247afbcb9306	247afbcb93064e1513fe9a1735e8707436b580092181bae0ccc0fefe683d18e8	SUCCESS	A	A	STRICT_A	2	-104.58869999999999	10	10	1.0	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0007__10DAD7C9D0A214A7	917	CANDIDATE_V29_GEN__C0007__10DAD7C9D0A214A7_8x6b_s917_b2876577c79c	b2876577c79c74f78184a551adb9bd495d88f0a7198ebd043dc590bc7fed5c3d	SUCCESS	A	A	STRICT_A	2	-68.0317	10	10	0.9	1.0		CANDIDATE_V29_GEN__C0007__10DAD7C9D0A214A7_9e6y_s917_62ebf873b174	62ebf873b1749c144dd482bb1a63f23f51c17ee2ad1f1989a5e125e26620fac4	SUCCESS	A	A	STRICT_A	2	-80.36294	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0007__11F6FBB448262CE1	917	CANDIDATE_V29_GEN__C0007__11F6FBB448262CE1_8x6b_s917_3da57b275c63	3da57b275c635003bececb1265fbb4476d0f603958dc3b7290d7639f04b59414	SUCCESS	A	B	SUPPORTED_AB	1	-76.01271	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0007__11F6FBB448262CE1_9e6y_s917_ba50de28d75d	ba50de28d75dbf44191c37e253b70a4a6fc7e5ef18cba09c52972b69370baf72	SUCCESS	B	B	SUPPORTED_AB	1	-65.7771	10	10	0.5	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
