candidate_id	sequence_sha256	monomer_status	pdb_path	pdb_sha256	successful_mode	technical_failure_reason	claim_boundary
V29_GEN__C0360__FE27B9F6BEAFB697	2aef4fa229160d17052e879d70e46938dcba19306b5179dc0a1a9f98f6875b55	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0518__F00388A0FB2B0AFE	81f2cb7708b7b981b25eaeeaaf95b98480ac46149957f8dc790815abfdc941a8	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0074__6F58668285E005FD	1e5e6d505f73ad0a71c3a3b2c2c8a06658ba5307d5269d5ac73a4d4749cfc785	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0075__33AE89504F3C54E7	e200beb8e840b8ae655ab40158f5a6f19b27b0dea4bf58696c9795a5dfc574e4	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0086__8B71FFD6786B0CEE	78a0e34fcba4afc3ed91f5f5460928147790c1d1f5b0525d920a948353068e13	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0116__E3FFC61C2062A36A	c3b499b0f2b2c50b1685bf4f2677a4646d4a6288f3030406ecefdce12cde5373	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0146__EF270C9C95A13527	08bdbddb4d079bd625ae3ab032b315f621d4c8da5481305b5775aeb527c5ba93	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0171__F8853FA5A01FFCC8	0ffd3f8141fab2add540c2fded2a7734556516d82b798a6cda889a5ffe18687d	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0196__53655955402455EE	f09ecff1a2027652d417466718ff10631596886783fa976ad930ac327e09b1cd	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0196__328FBE2B5DC98204	1aa07c675629a07c7cdaca25f6aefc99643ffb1a3319ffe698ddd1fcc79c818b	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0411__52DCE201CB4A6B72	a49f07e9ce8d007ae740812df8eeda4ae1d4d2fe2803b20328123f8cb9ee0d04	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H3__B01__M00	2bb58ae23c531c3ac194d51d69d3db936fc41b286564fd1481771ff8c522d58d	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0007__769A672C30672873	71aac36007179a944ad86d44c33edc9fd59ffa7cb7ff618cfa8620fe2321c2e4	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0007__1BF0B6746CB55064	05461a0321e46d1a367b3b0efc88f4a68befb7a86c56031788600d913591be1e	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0075__B54EBDCEC127E169	1f74203f974b50ce5796e122f7fd141c5385b0f43e8753532af05ae8e1a97857	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0075__C430F5C12E2B4AE8	ae61e430119dff910564e2a921f264c825d4329d9df576af39acd22f8ca35fa1	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0076__85FBDE2AEFE22465	5654901006d5232c47839de0b3adc5fa5fe51639a732c7a670e0fc9930260c5b	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0106__9E1DC9ACB93C1406	b7db01e4de5a3b738228d5c6d37e15b9b74dd80ed5e0edfa78ad394e130724ae	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0107__EA6E2B26D7D39AF9	f963a543772482327fed1ebaa5280715a27b497e67fe3c520368ab3927573124	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0113__83BEE6E48DFAF507	b578ce9ea56a9b63e54e9b1012c231cf8920e9b534f69e30a67a84e9d77e00b6	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0114__C36B5DD366782040	887f301e31a0f3ca0c199598dfe260fc511a4a85b58f542f3ce3540a70cf03d5	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0173__E3229CE0AA09D106	5021df1759f168293037fa72f6fcca15a0f4236d625ad7eb0a403a9c8927a5e2	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0248__2C5E28576F97C63E	caf3cca5d2f601d14ab97547e26a46dd7e0d522c30afb04e2719f425d6a554ca	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0248__4A74C72CB877BF3E	97de7d088ac6bd144d70133451e4bf11a40d2872c0ce22d5b9a0e34037a024b6	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00371__B_LOWER__H3__B03__M01	260632459db9e024cc742e6297a6a1f2119e19fe81cc796417a9fafcf57626f9	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0251__421316CEF94C7567	a131504243401fbea61c4d5a576b4565fc290876c850897e67c587537eb77452	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0474__B6CE6A7B616DB84E	1991453b291a6c5df0ea98e75baa0d929a80aacbb0c6f11caea2744bb820bdb2	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00866__B_LOWER__H3__B00__M02	5656f5ea3da6ef16e4058819ee9159fe67de69e12e19b7e18b37f335e762aff5	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00874__A_CENTER__H3__B05__M02	4544c67938186c5cb31a6fd7f036758b4f77c88d86549fb604f51b575380f519	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0514__622ECA0AA5677B9C	fc2479715c40e8754bfa774b4079d1223b4b06ce378e133739b71e220def3647	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0518__28F278CA45DED0BD	e1fda8f27c05b3f5672c9447be89f7f4809d996b1af986b06efb67acdade8a77	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0527__C102530BE7825923	d978a5aaf274a2f5efbcfa93f8daad4f88088f1bfc4412ae0ec310050dfd8671	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0007__5ADD2E15E45945C2	79774b76c602996c5e8d658f9e88ded8558bd8b5bd8a62fa03cb5b7dd41796e8	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0007__35547E4AC1729A58	0fd011232b665f02cdc59dd541a73c434e50f997c8e635259515f00ffbed49bd	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0048__BA5832BE04FEA6AE	32fdf58a33552fafc7c574b9b7543094f54d8531179c4c5b69c996c4493dfa79	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0052__0B4E953BE7C573E6	1d02065e47c77f0572d62fe984424c407a2b1c496a0858bc5fc202da9feb1a8f	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0076__6A7D51B9B739D43A	c51d5cd7bd754c35eb1df84a501fefd5edc6b990e53fdb582e105a22c8682379	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0086__7BBB54F6B9C365B1	91a9bf8017c151571858191a8d23c7d91d446428fe1551295a4984546d4eec74	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0114__D0C6792E65AF4814	67f50d245f48efe5e807ff388b70f960f8900364fad40b5b7885a012064b4287	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0115__3DB7968F80B2151F	e69bb2bdf2fc84c6a6ee8b1e79b7c6ada39c74bd08c31fa08a57bd746957422d	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0125__4DFB5D0DF3BF2ECD	89b6a79b1ebf8fc8d4633c29eaf532880037aab955911fc616ade208e9d4b177	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0125__E8BD01256CE33899	790e87ba849ab9329d3b2f522012797fe4c94cb6c4b550ccb82fb367db38a5ea	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0138__0376D6664DA8F0F7	1b8a2857d675dde9d0525099dd2856354156584afa97fbbdfc25f87721074440	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0171__6E63EB76319D3F1E	b1ee95fc9bdac0155fbd11a64914cede689b1b6f9d0ede8263fbb3d200f5d2f5	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0183__B433E4C60C788EDC	b6a5281c4c0a68ea9b6b22d3d8375c0d79433651ca0368c88a9d7c4f635227e5	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0195__F576C57DC27C20D8	d2a6d7f34eb08cad3cf885d8012f58bdfb4fe759857de4b43c320dbddad043fb	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0248__4C15EDEDD75410CD	1398710fe686722604abb6754793cef4cab854ff47ae2305ad827f4deedb49ce	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00376__A_CENTER__H3__B07__M01	02bf3b2e4a6a5cc14f962ba32c703fa423797fc8df191d7c79e7a78bb64a7297	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00456__A_CENTER__H3__B05__M02	e61cd81cc2b361f9138f04cfbf15e9afbd0df738513701be2b45e77d7132135c	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0360__D2D13DA7F97412CC	8e4401b8e95b6b64144d34a08898e13cded7fbba8779acb081b353078aa0a849	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0360__12AE006513E9C16D	6fe8db0e73925d6b7a2df85e2c75914a2a77382715238f36f0459a98274f5754	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0409__A900E8FD6555E285	4a1b3f7692f87ee1efaa84af12c304a71dd2a23903f9e078892655c17c117dad	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0509__201343BD190D5BA3	141f9acfd0f5bd2ede5c976f4a97df33b7ec45d9d88a075e11e1e02118d6dd75	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0119__D45C0F3246EC0BE1	5776b7b4b0e2e71208f56770ae11fef7eaf529bc479b93e517a26a4cb9f73829	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0150__EEE643CCC6F78703	89e7c4793fd92ba828cf90841a258f2d65ec7d663be576b02a31679e328f29ba	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00376__C_CROSS__H3__B03__M01	d270fdc4063c906b72029d84e5fa19e4a9e5f2a9d5d6fd3083002446b6f8ab32	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
