package_version,run_id,day_block,randomization_seed,randomized_order,sample_plate_well,assay_sample_id,target_id,target_construct,target_sequence_sha256,binding_required,competition_if_verified_binder,functional_if_verified_blocker
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,12,A12,PV25-DE9C8DFE4861,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,13,B01,PV25-804E6EE661C1,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,14,B02,PV25-2BBDF6129351,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,15,B03,PV25-25F7D6778F87,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,16,B04,PV25-40B33790B584,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,17,B05,PV25-81A9A17E9E11,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,18,B06,PV25-8E96BF37FD37,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,19,B07,PV25-EF3F71502C71,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,20,B08,PV25-D4008458DBA9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,21,B09,PV25-C255FFAAB1B9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,22,B10,PV25-9F1C72694644,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,23,B11,PV25-F71A83DB4BFF,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,24,B12,PV25-6A6961CA8FD0,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,1,A01,PV25-9F1C72694644,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,2,A02,PV25-8E96BF37FD37,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,3,A03,PV25-40B33790B584,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,4,A04,PV25-804E6EE661C1,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,5,A05,PV25-C255FFAAB1B9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,6,A06,PV25-47791B58B2D2,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,7,A07,PV25-9215C414C637,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,8,A08,PV25-F64FB2334278,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,9,A09,PV25-6A6961CA8FD0,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,10,A10,PV25-0B63D218E0F3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,11,A11,PV25-2BBDF6129351,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,12,A12,PV25-B7BCA72D92CC,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,13,B01,PV25-AF7BF4690276,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,14,B02,PV25-D4008458DBA9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,15,B03,PV25-DE9C8DFE4861,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,16,B04,PV25-F02C5D45E58B,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,17,B05,PV25-8938C0A749C4,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,18,B06,PV25-675BA2BE55B3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,19,B07,PV25-EF3F71502C71,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,20,B08,PV25-8D20C3023A46,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,21,B09,PV25-25F7D6778F87,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,22,B10,PV25-81A9A17E9E11,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,23,B11,PV25-F71A83DB4BFF,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_02,DAY_BLOCK_02,20260713,24,B12,PV25-3571F177632A,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,1,A01,PV25-81A9A17E9E11,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,2,A02,PV25-8938C0A749C4,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,3,A03,PV25-40B33790B584,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,4,A04,PV25-804E6EE661C1,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,5,A05,PV25-675BA2BE55B3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,6,A06,PV25-6A6961CA8FD0,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,7,A07,PV25-0B63D218E0F3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,8,A08,PV25-AF7BF4690276,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,9,A09,PV25-9F1C72694644,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,10,A10,PV25-F71A83DB4BFF,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,11,A11,PV25-8E96BF37FD37,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,12,A12,PV25-9215C414C637,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,13,B01,PV25-EF3F71502C71,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,14,B02,PV25-D4008458DBA9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,15,B03,PV25-F64FB2334278,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,16,B04,PV25-B7BCA72D92CC,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,17,B05,PV25-25F7D6778F87,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,18,B06,PV25-F02C5D45E58B,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,19,B07,PV25-C255FFAAB1B9,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,20,B08,PV25-2BBDF6129351,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,21,B09,PV25-DE9C8DFE4861,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,22,B10,PV25-3571F177632A,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,23,B11,PV25-47791B58B2D2,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_03,DAY_BLOCK_03,20260714,24,B12,PV25-8D20C3023A46,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
