top200_rank	candidate_id	sequence_sha256	structure_consistency_label	high_uncertainty	reasons	nbb2_state	nbb2_sequence_match	nbb2_ca_count	nbb2_coverage	nbb2_pdb	nbb2_pdb_sha256	igfold_state	igfold_sequence_match	igfold_ca_count	igfold_coverage	igfold_pdb	igfold_pdb_sha256	nanonet_state	nanonet_sequence_match	nanonet_ca_count	nanonet_coverage	nanonet_pdb	nanonet_pdb_sha256	igfold_vs_nbb2_fr_rmsd_a	igfold_vs_nbb2_cdr1_rmsd_a	igfold_vs_nbb2_cdr2_rmsd_a	igfold_vs_nbb2_cdr3_rmsd_a	igfold_vs_nanonet_fr_rmsd_a	igfold_vs_nanonet_cdr1_rmsd_a	igfold_vs_nanonet_cdr2_rmsd_a	igfold_vs_nanonet_cdr3_rmsd_a	nbb2_vs_nanonet_fr_rmsd_a	nbb2_vs_nanonet_cdr1_rmsd_a	nbb2_vs_nanonet_cdr2_rmsd_a	nbb2_vs_nanonet_cdr3_rmsd_a	max_pairwise_fr_rmsd_a	max_pairwise_cdr3_rmsd_a
15	P1MCPUFP__CPUFP500K_0405__00049	5a1b21aedc7ce0e9adb88ecffe3deb04083d753feebf8535327288316e4ad988	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0405__00049.pdb	18dcd0629b5987da69292699dfc780ab8da8df425230b3fc47bc75afda99d09b	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0405__00049.pdb	cb5764a4a30b51c8a5d5ecd7e1708167fc4cce247ce0c79abcd1401305457d15	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0405__00049_nanonet_backbone_cb.pdb	1a8f32628a775b0de8b5a10d7217603ff22e6caa43b6d44e3ee504c23515ee4a	0.4081	2.0293	0.5948	2.3237	0.6109	2.8203	0.5079	1.9428	0.76	1.7424	0.5986	2.1492	0.76	2.3237
16	P1MCPUFP__CPUFP500K_0100__00188	9c868db5026eb441e514242a1c11d6351f78443c84e2eb7331ba8fcc72e6a7ac	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0100__00188.pdb	59f1fc965cf2c70e1480a9660af492718c87e6fff7ddf97fe75638bddc0ddd02	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0100__00188.pdb	cf1c50073172bc3e3de17a26e276dc8ac225c227392aa3af015ccc5aee09faec	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0100__00188_nanonet_backbone_cb.pdb	6b2f5f53f021ccbc40670881ae1dca5647d1e53dcdf9dc50a34aea9405cb53c8	0.4844	1.7442	0.3798	1.9429	0.4676	2.5375	0.3387	3.9257	0.5395	2.4552	0.5259	4.9729	0.5395	4.9729
17	P1MCPUFP__CPUFP500K_0299__00780	3f9ac719971984aa8746514524344c67a58872b1e7ba82a4f7ea27f3660c8044	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0299__00780.pdb	32df891bc019614656627845789f3445ed06d683d7f4d7cfdf69570d40a084e5	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0299__00780.pdb	b0dfd1d5c59106293091814b71c9bc6f7c126f4f5d4c05ff3e7c165165c713be	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0299__00780_nanonet_backbone_cb.pdb	52dd0f3c8db60e51825f3feddfac564d82379366ad08f102a2ad74f4cdc42f34	0.6676	2.2413	0.782	2.3924	0.4549	1.8944	0.6305	2.3806	0.7131	2.3673	1.1675	1.9323	0.7131	2.3924
18	P1MCPUFP__CPUFP500K_0091__00550	74005e910a084b04384451925ef1f92c58ac79a71a583dfdc116636775660a32	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0091__00550.pdb	7e9ff98c0ec1efcccdcb8574f5472468e6acd49cce3132ca81f55ccd504b0983	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0091__00550.pdb	2d529d9246b4beeb8861d1a1e81c79b1a8da0076bd65f5bf55af111c9c4b9d8e	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0091__00550_nanonet_backbone_cb.pdb	1ee4c2352d5dbc071ddda7e768d2fb04dc56050f63eee572e470257042e7a3ca	0.634	2.16	0.7202	2.5205	0.4532	2.8938	1.1691	2.5253	0.7397	2.3622	1.6138	3.2113	0.7397	3.2113
19	P1MCPUFP__CPUFP500K_0008__00128	917a7b2ebc04bfa4908576a42b4ac825e82279d4b12c6c9baa3e1983bc6500d9	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0008__00128.pdb	cb9a8c43632267cd76298440d28bed5721ec4485e8b9a3124eaad9e208bd6d85	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0008__00128.pdb	c740d795433d77259dd64370e99a30d16d5f0a624dfb7fe219cfa6aae8d43ce5	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0008__00128_nanonet_backbone_cb.pdb	e7aaee9bf7455c00fc72a34d5723b88c55a4ce9c330b6fceee10a576f6ce7716	0.4138	2.1155	0.8584	2.4524	0.5374	3.1152	1.2689	1.7128	0.6444	2.8962	0.9744	2.8229	0.6444	2.8229
20	P1MCPUFP__CPUFP500K_0002__00851	86c8bcf1587c4938d635788ba48640ccba676013f7724ec10def2a595c54e067	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0002__00851.pdb	b3f6fe73c48d0d29ce54ac0c8ac763f867646e0f8afca881bde96e7a9c9043cd	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0002__00851.pdb	7e5a5f17899609a609870672532235d071ad7dfd615c3bfeb1a41237b11d343a	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0002__00851_nanonet_backbone_cb.pdb	7b2762e4d0f4376247295e7497eb7ce344659eefc493603eaa31cdf3044dc180	0.4322	2.3167	0.4735	2.0776	0.4658	1.8147	0.6021	1.5808	0.5517	2.9978	0.8798	2.0858	0.5517	2.0858
21	P1MCPUFP__CPUFP500K_0188__00189	d5990831b1dcfb88e40f0d2b3e5d70a801cbda31053ce3f89e8ef9583dcca82a	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00189.pdb	70b35c716d481989bb7b65c0ef7a21168c95b1797b978256a7c8bbc242ff142d	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00189.pdb	3ae3047686a1b85b476b9d06e0f6a8226ee5414bd9c4b1a563fbaef740b1ea48	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00189_nanonet_backbone_cb.pdb	dcfa71a91e540795373780c1da489bb6d86d2e0af9e7c88071445b08a37a2b43	0.7983	2.9426	1.7873	2.6259	0.4651	2.7764	0.455	3.7521	1.013	2.8721	1.4448	5.3239	1.013	5.3239
22	P1MCPUFP__CPUFP500K_0189__00858	0d999dc1b693bc19c667df3a8f6934def9a35327ac896cb1edda2ebda12f66a4	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0189__00858.pdb	58d54cb174c2a44531f62abef9d626989a849c958a919c67c0f7884ffe4ef818	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0189__00858.pdb	80e2164b3dadd4ea2a6c52a84ba9ac851b4916a4bda416bd4e3255a20bee970e	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0189__00858_nanonet_backbone_cb.pdb	4f3a750852b85d3c1588aa2c90ed811ca97473e0a72bbd979ea100e15cb9fdab	0.4104	1.6051	0.9098	2.7143	0.544	1.7907	0.6898	2.7531	0.5462	1.7306	0.5557	4.0164	0.5462	4.0164
23	P1MCPUFP__CPUFP500K_0089__00220	849d7d729204d66cbf929c710961b6a9ace07411e61b19de5b2c39e017a9a5ba	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0089__00220.pdb	047252632d650be841f4930a77b16fdbc3d3e510fe7ba6ae8b2723f312fbd371	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0089__00220.pdb	767415283bd10b54205db10a5596d86ffef35d9b0145f53e375a44eb8b25dbb2	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0089__00220_nanonet_backbone_cb.pdb	7c79c3e2cc1ddc1a56f2fc6a427d58a2cb32cb61338769a9ea1d84d0b648adab	0.5601	2.4858	0.5504	2.5416	0.4328	1.9438	0.4382	2.9462	0.6769	2.7329	0.3568	3.9399	0.6769	3.9399
24	P1MCPUFP__CPUFP500K_0404__00029	b3d14b373f8b4fe42812ddfafb49afea70329e278d87d4d7649e40bcb7b94119	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0404__00029.pdb	f20ecfe459a3e1f8f252e0c0c7c150abce4f6d21b7517d460374800c35fd1585	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0404__00029.pdb	b28ec6b437854b88f1608e0e90d08537301cc70b61ec20bd051b31bed585be74	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0404__00029_nanonet_backbone_cb.pdb	e34aae4bc68b74bbbe7a785ab227ee27d6914c6447ccdb8a2f036ea2770b61a9	0.4474	1.7538	0.5059	2.978	0.5437	2.8307	0.6254	1.6978	0.6536	3.1724	0.7857	2.7312	0.6536	2.978
25	P1MCPUFP__CPUFP500K_0404__00828	dbf3c83c8b13edb0c86f32b044d13780c5dc6243be97482225cb38abd5edd3b3	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0404__00828.pdb	fc531823c87d31123d491f192b89394ada12a78d8c1a6655d6e08b0fd8b247c5	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0404__00828.pdb	027d0fdc54ccbaebb98f09d73f362c6eb7ca73fc9d1c21c288ef0c075e09ed5b	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0404__00828_nanonet_backbone_cb.pdb	702c4c08a22ab7d3e9924c1a03a85fa3eeead614923efbdcc9b2dfb0f57aad54	0.4255	2.6031	0.6683	2.7876	0.5508	3.6237	0.7696	2.5316	0.5868	3.6622	0.7919	4.2513	0.5868	4.2513
26	P1MCPUFP__CPUFP500K_0496__00432	ea6d6f18b0c566535e0110cd0a3789883dfd5d4cd1b3e5e0714aab803c5d1c34	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0496__00432.pdb	114cca376677eab22b0bfb491ad94b1939f8f4e25b7c3a49f058a70be4bddc02	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0496__00432.pdb	5fc0fecbfe321d99f9f47af2d4da7a0e4e0aa4675597d73602a3fe3c7c865431	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0496__00432_nanonet_backbone_cb.pdb	df62d3762b24a47a077bac405b539aefe45bc2378ed3d7f776b2c9896136d7a9	0.5324	1.522	0.3541	1.7861	0.4503	2.3237	0.4182	3.4576	0.5752	2.6984	0.5515	4.5113	0.5752	4.5113
27	P1MCPUFP__CPUFP500K_0188__00839	098f4e4e47c84cbc1464da180d541ea21d8c5cbc7d9fd7a58cdcb6ed78514975	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00839.pdb	3d116e3f7ae907e2717a04ae9dcd5c7da043163deb3a269037e52230ded2606c	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00839.pdb	b417ed524d68baaf74bdee215a2e8fabcf6cb152c2d57368b53ffebebaa01e75	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00839_nanonet_backbone_cb.pdb	48b15afedb5171ce17341740ff902a53c1e1f88fa6d931101e682b70ded8b0a3	0.464	2.8847	1.1132	2.2635	0.4669	2.4789	0.346	2.503	0.5854	1.6246	1.0205	2.6333	0.5854	2.6333
28	P1MCPUFP__CPUFP500K_0188__00282	9b9526a84780d13e222d47c1796b4499c46d05968d9a6b3b9c4a210f8f46a9c0	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00282.pdb	f1ee48559dce42d23e7b6154bde82267433cd2900b170b0010a5fc27a22eea3d	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00282.pdb	238bd283e1e40a4aa1f8079c11262a6cec02a13f7b0bc4c108a8806b5b7a2d36	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00282_nanonet_backbone_cb.pdb	6a9eb6ff8b7a1ad301f2016f060cb7f6eab59820902e6392fba489da2db331dc	0.6347	2.5847	1.0153	4.0174	0.4393	2.4634	0.3263	3.0007	0.7863	3.0454	0.8463	4.7662	0.7863	4.7662
29	P1MCPUFP__CPUFP500K_0185__00273	1a3e27bbfc64426448d2efdc54db1b4e06644b7375333436478fccffd8be198b	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0185__00273.pdb	262d708576c99108ef2306c41ccc7ed92aedfa640d63dea953843ad6ea04680f	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0185__00273.pdb	f7151d453afb1c67d973032220b7109a15e74e522a96daa85b958ab781ced150	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0185__00273_nanonet_backbone_cb.pdb	247bf35ab8c556a8e49df9c64f4a3120560535cb04dfaf82cd90b62283bdc4ef	0.633	2.0319	1.1609	2.7641	0.443	2.4743	0.3683	2.3643	0.8213	3.572	1.1757	2.8716	0.8213	2.8716
30	P1MCPUFP__CPUFP500K_0083__00464	2dc67b3fdf1e450ce79c75418566395c45d235cc7d3c166b90f48fadfb45d1ea	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0083__00464.pdb	cd8309df43ba9067e3fb187816a9aba38dbfdac1aa26739ae03d7e0420b3fce3	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0083__00464.pdb	00ed7a316d4b3d54a49f53f5eda41a9ff688759ef15c857cd11ff4e60c016214	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0083__00464_nanonet_backbone_cb.pdb	7c8cc4bdd1856bb21002b46bac57325d144c4d5057132c42c63a7564fb38eb17	0.7557	2.1953	1.1389	3.1657	0.5853	2.5394	0.5803	3.6314	0.8184	3.6819	1.1204	4.3468	0.8184	4.3468
31	P1MCPUFP__CPUFP500K_0188__00094	077b7f49a10e43bd1775637081c75d6f32e80c5b530ea73ae14c0aa7dc92259c	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00094.pdb	1fdd84d507bb7cce5ffb9b8073fc8473cdb1ae0fc3c84199e374a1756d5506d9	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00094.pdb	d548fa68e544562df3ccec9b6ce1dfda521a52130c60e4f6d0c700ecb9d417eb	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00094_nanonet_backbone_cb.pdb	6b24664a78c9f7962b4a6d1313ca85166871048eb0da22e7afe6e48d00f89d0e	0.4904	2.4447	0.5211	3.1571	0.4333	2.4923	0.4503	3.894	0.6624	2.289	0.4941	5.0232	0.6624	5.0232
32	P1MCPUFP__CPUFP500K_0184__00187	4bbbb354b5505f3cf22983dab52a916b03e6811586ccbc397d082465e5c25202	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0184__00187.pdb	25e00e6334375d4c84684c0f036b6516592703b52187470faffeef3048868d71	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0184__00187.pdb	27169327e388429ad7d416de2ae395e54452e74537b202ad921f1f6f8043a3e7	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0184__00187_nanonet_backbone_cb.pdb	6f2e0098f081d53493db4f8765a23e125570c04be9a3950f4f952919cc7dba0d	0.4269	1.6965	0.4821	4.3684	0.4343	2.7202	0.8617	3.7136	0.4925	2.7039	1.034	5.1353	0.4925	5.1353
33	P1MCPUFP__CPUFP500K_0188__00481	6489b7076f2f815d28718b422357944c7b4f29eaffc732d80d1d5dda6a43cfca	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00481.pdb	c05156494e2d348b7f238a02437b9314a42be2c4bf43180f78dda8dd35fab130	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00481.pdb	ac979777b613f78c943279abbe4131f39f9962f482d1b0099c149af9edc94f38	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00481_nanonet_backbone_cb.pdb	9873ab591e4dafbdae230da8e8ec845e9a6f13283760c1943f6b2263b6608c40	0.631	2.0826	0.6422	4.0735	0.4345	1.7851	0.4138	3.2143	0.7951	2.5672	0.6386	5.5087	0.7951	5.5087
34	P1MCPUFP__CPUFP500K_0108__00327	a153e5083f3a1729f4271568788bcfb25c39073de4a66b5c9c29e46def7505bf	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_priority_top7500_dualreceptor_multiseed_handoff_v3_20260722/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0108__00327.pdb	efa062ff1fd0547e4ad89e286916d81b3fe7df1abecc06b13b0e6155af00add5	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0108__00327.pdb	ec71d6a10e6383dc9f711b7ef442b739cb826ce8ed3d8425be92ce3ad84e2e96	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0108__00327_nanonet_backbone_cb.pdb	397f3b03cada73acae1859e4781ccd7f1f3437f50347e3fb366466ed88416aed	0.4778	2.5354	0.693	1.9121	0.534	2.0037	0.4184	2.3936	0.6512	2.4287	0.6691	2.1222	0.6512	2.3936
35	P1MCPUFP__CPUFP500K_0188__00715	448a0a2fa3746493e217dd93321c5edf5bdad044f1098bd6793de10d0504770b	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0188__00715.pdb	7b97076bc6dee194f2beba0ccf3ef9768577f142d2ed94835b8921f127ca2746	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0188__00715.pdb	db01f398affef51d174796b8e6fba445c4a568f400e880c6a275a1823eea71ba	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0188__00715_nanonet_backbone_cb.pdb	8f5d02f6067cedd8461d095019d27288781e92ce1aa322023867132fdde12b6e	0.5367	2.378	0.6627	4.0259	0.4777	2.3587	0.4408	4.3713	0.7922	2.4407	0.72	7.1543	0.7922	7.1543
36	P1MCPUFP__CPUFP500K_0386__00808	9ea7d99c8f85a7137232091978be60c330d5ed230acbfd37cdc584928d3a036e	PASS	true	cdr3_cross_tool_disagreement_gt_4A_diagnostic	PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0386__00808.pdb	625cb839a9f2dcbb490ebfeec64648021394542576894ec194c84f933af13241	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0386__00808.pdb	1b2b176834662772768a729360e4ca0558db079cb6a14d0dff3d838fa7a08982	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0386__00808_nanonet_backbone_cb.pdb	e95f2fd611bf859d652d9c612c0ced72fa06a6c676afff4dd5d555272b6e83b3	0.5984	2.1765	0.4909	2.1727	0.4965	2.42	0.4102	4.322	0.7497	2.5539	0.5107	5.2647	0.7497	5.2647
37	P1MCPUFP__CPUFP500K_0288__00659	4e0e53788100abee70b7f27959785eadf0c3719b72f1cd0b4f6007224b9a972e	PASS	false		PASS	true	127	1.0	/data1/qlyu/projects/pvrig_top7500_c2_gap_recovery_v1_20260723/c2_new4220_dualreceptor_seed42_3047_handoff_v1/inputs/candidate_monomers/P1MCPUFP__CPUFP500K_0288__00659.pdb	3a66d97555f4371e1016f3ac16664ff0cd127bf4b02f490fd14af9c30e39147d	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/igfold/P1MCPUFP__CPUFP500K_0288__00659.pdb	854ffaf2adf6a7ac0d6184d021c025985d54e017076a994d45be75c3e5d89431	PASS	true	127	1.0	/data/qlyu/projects/pvrig_top200_structure_consistency_v1_20260725/models/nanonet/P1MCPUFP__CPUFP500K_0288__00659_nanonet_backbone_cb.pdb	6cc30ff72b9296384f13e1a90b9c6aed1edb13d5d495bef824d505ca047b71b3	0.6914	2.4733	0.8531	3.1528	0.6391	1.981	0.5582	1.7843	0.9731	2.2958	0.8551	3.659	0.9731	3.659
