candidate_id	postprocess_status	scored_pose_count	baseline_blocker_geometry	baseline_affinity_proxy	consensus_blocker_like_a_count	single_baseline_recheck_count	blocker_plausible_count	binder_like_count	evidence_only_count	best_haddock_rank	best_haddock_score	evidence_boundary
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn01	success	4	0	-94.1233	0	4	0	0	0	1	-94.1233	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn02	success	4	0	-76.4922	0	1	3	0	0	1	-76.4922	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn03	success	4	0	-84.7488	0	3	1	0	0	1	-84.7488	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn00	success	4	0	-64.389	0	2	2	0	0	1	-64.389	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn01	success	4	0	-59.5051	0	3	1	0	0	1	-59.5051	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn02	success	4	0	-62.6673	0	3	1	0	0	1	-62.6673	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn00	success	4	0	-84.3559	0	0	4	0	0	1	-84.3559	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn01	success	4	0	-77.124	0	3	1	0	0	1	-77.124	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn02	success	4	0	-83.0647	0	1	3	0	0	1	-83.0647	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn00	success	4	0	-67.4424	0	2	2	0	0	1	-67.4424	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn01	success	4	0	-66.0834	0	2	2	0	0	1	-66.0834	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn02	success	4	0	-71.1782	0	4	0	0	0	1	-71.1782	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn00	success	4	0	-64.1681	0	0	4	0	0	1	-64.1681	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn01	success	4	0	-53.7431	0	0	4	0	0	1	-53.7431	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn03	success	4	0	-68.1362	0	0	4	0	0	1	-68.1362	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn00	success	4	0	-98.8908	0	0	4	0	0	1	-98.8908	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn01	success	4	0	-83.6537	0	0	4	0	0	1	-83.6537	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn02	success	4	0	-80.4614	0	0	4	0	0	1	-80.4614	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn03	success	4	0	-81.1056	0	0	4	0	0	1	-81.1056	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn00	success	4	0	-67.9294	0	0	3	0	1	1	-67.9294	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn01	success	4	0	-63.0891	0	0	4	0	0	1	-63.0891	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn02	success	4	0	-64.1729	0	0	1	0	3	1	-64.1729	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn03	success	4	0	-57.0856	0	0	1	0	3	1	-57.0856	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn00	success	4	0	-57.7837	0	0	4	0	0	1	-57.7837	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn02	success	4	0	-68.9896	0	0	2	0	2	1	-68.9896	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn00	success	4	0	-86.9048	0	0	4	0	0	1	-86.9048	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn01	success	4	0	-85.7865	0	0	4	0	0	1	-85.7865	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn02	success	4	0	-84.2767	0	0	4	0	0	1	-84.2767	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn03	success	4	0	-80.3521	0	0	4	0	0	1	-80.3521	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn00	success	4	0	-68.3731	0	0	4	0	0	1	-68.3731	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn01	success	4	0	-75.4276	0	0	4	0	0	1	-75.4276	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn02	success	4	0	-77.4071	0	1	2	0	1	1	-77.4071	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn03	success	4	0	-97.9569	0	0	4	0	0	1	-97.9569	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn00	success	4	0	-87.418	0	0	4	0	0	1	-87.418	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn01	success	4	0	-55.6203	0	0	4	0	0	1	-55.6203	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn02	success	4	0	-67.2974	0	0	1	0	3	1	-67.2974	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn00	success	4	0	-53.2674	0	0	4	0	0	1	-53.2674	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn01	success	4	0	-94.2975	0	0	4	0	0	1	-94.2975	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn02	success	4	0	-68.6165	0	0	4	0	0	1	-68.6165	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn03	success	4	0	-53.5318	0	0	4	0	0	1	-53.5318	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn00	success	4	0	-72.4036	0	3	1	0	0	1	-72.4036	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn01	success	4	0	-80.0213	0	1	3	0	0	1	-80.0213	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn02	success	4	0	-87.7609	0	2	2	0	0	1	-87.7609	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn03	success	4	0	-72.397	0	4	0	0	0	1	-72.397	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn00	success	4	0	-101.364	0	1	3	0	0	1	-101.364	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn01	success	4	0	-64.4069	0	4	0	0	0	1	-64.4069	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn02	success	4	0	-75.923	0	4	0	0	0	1	-75.923	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn03	success	4	0	-67.3115	0	4	0	0	0	1	-67.3115	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn00	success	4	0	-72.3493	0	4	0	0	0	1	-72.3493	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn01	success	4	0	-87.4675	0	0	4	0	0	1	-87.4675	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn02	success	4	0	-85.6827	0	1	3	0	0	1	-85.6827	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn03	success	4	0	-68.0564	0	2	2	0	0	1	-68.0564	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn00	success	4	0	-61.2299	0	4	0	0	0	1	-61.2299	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn01	success	4	0	-55.606	0	1	3	0	0	1	-55.606	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn02	success	4	0	-79.2104	0	2	2	0	0	1	-79.2104	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn03	success	4	0	-85.1185	0	3	1	0	0	1	-85.1185	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn00	success	4	0	-78.9585	0	1	3	0	0	1	-78.9585	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn01	success	4	0	-83.9872	0	4	0	0	0	1	-83.9872	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn02	success	4	0	-77.2855	0	1	3	0	0	1	-77.2855	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn03	success	4	0	-96.1531	0	0	4	0	0	1	-96.1531	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn00	success	4	0	-59.0415	0	1	3	0	0	1	-59.0415	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn01	success	4	0	-66.6211	0	4	0	0	0	1	-66.6211	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn02	success	4	0	-66.4575	0	2	2	0	0	1	-66.4575	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn00	success	4	0	-70.9178	0	4	0	0	0	1	-70.9178	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn01	success	4	0	-70.0391	0	2	2	0	0	1	-70.0391	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn02	success	4	0	-89.4285	0	4	0	0	0	1	-89.4285	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn00	success	4	0	-90.7168	0	4	0	0	0	1	-90.7168	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn01	success	4	0	-80.6622	0	4	0	0	0	1	-80.6622	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn02	success	4	0	-75.9518	0	4	0	0	0	1	-75.9518	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn01	success	4	0	-48.3088	0	0	1	0	3	1	-48.3088	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn02	success	4	0	-65.0964	0	0	2	0	2	1	-65.0964	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn03	success	4	0	-63.0309	0	0	4	0	0	1	-63.0309	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn00	success	4	0	-88.2361	0	0	4	0	0	1	-88.2361	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn01	success	4	0	-79.9826	0	0	4	0	0	1	-79.9826	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn02	success	4	0	-82.5838	0	0	4	0	0	1	-82.5838	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn03	success	4	0	-88.1008	0	0	4	0	0	1	-88.1008	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn00	success	4	0	-69.837	0	0	4	0	0	1	-69.837	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn01	success	4	0	-80.3365	0	0	4	0	0	1	-80.3365	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn03	success	4	0	-74.325	0	0	4	0	0	1	-74.325	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb003_mpn00	success	4	0	-77.0914	0	0	2	0	2	1	-77.0914	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb003_mpn02	success	4	0	-82.1435	0	0	4	0	0	1	-82.1435	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn00	success	4	0	-86.0972	0	0	4	0	0	1	-86.0972	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn01	success	4	0	-76.9778	0	0	2	0	2	1	-76.9778	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn02	success	4	0	-79.8802	0	0	2	0	2	1	-79.8802	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn03	success	4	0	-85.6515	0	0	4	0	0	1	-85.6515	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn00	success	4	0.25	-74.5066	1	2	1	0	0	1	-74.5066	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn01	success	4	0	-78.1868	0	0	4	0	0	1	-78.1868	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn02	success	4	0	-78.9113	0	3	1	0	0	1	-78.9113	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn03	success	4	0	-83.2044	0	1	3	0	0	1	-83.2044	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn00	success	4	0	-56.7651	0	0	0	0	4	1	-56.7651	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn02	success	4	0	-71.8205	0	0	4	0	0	1	-71.8205	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn03	success	4	0	-84.7755	0	0	4	0	0	1	-84.7755	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn00	success	4	0	-69.3802	0	0	4	0	0	1	-69.3802	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn01	success	4	0	-69.2855	0	0	4	0	0	1	-69.2855	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn02	success	4	0	-68.4792	0	0	4	0	0	1	-68.4792	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn03	success	4	0	-70.4749	0	0	2	0	2	1	-70.4749	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn00	success	4	0	-78.4383	0	0	4	0	0	1	-78.4383	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn01	success	4	0	-61.2527	0	3	1	0	0	1	-61.2527	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn02	success	4	0	-97.998	0	3	1	0	0	1	-97.998	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn03	success	4	0	-101.286	0	4	0	0	0	1	-101.286	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn00	success	4	0	-88.1558	0	4	0	0	0	1	-88.1558	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn01	success	4	0	-78.5173	0	3	1	0	0	1	-78.5173	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn02	success	4	0	-89.9184	0	1	3	0	0	1	-89.9184	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn03	success	4	0	-87.7699	0	1	3	0	0	1	-87.7699	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn00	success	4	0	-80.7914	0	1	3	0	0	1	-80.7914	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn01	success	4	0	-62.7207	0	2	2	0	0	1	-62.7207	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn02	success	4	0	-97.1786	0	0	4	0	0	1	-97.1786	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn03	success	4	0	-83.9206	0	1	3	0	0	1	-83.9206	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn00	success	4	0	-88.8219	0	4	0	0	0	1	-88.8219	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn01	success	4	0	-72.9476	0	1	3	0	0	1	-72.9476	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn02	success	4	0	-77.1431	0	4	0	0	0	1	-77.1431	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn03	success	4	0.25	-73.9815	1	2	1	0	0	1	-73.9815	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn00	success	4	0	-90.9179	0	0	4	0	0	1	-90.9179	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn01	success	4	0	-106.137	0	2	2	0	0	1	-106.137	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn02	success	4	0	-86.0816	0	4	0	0	0	1	-86.0816	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn03	success	4	0	-103.21	0	3	1	0	0	1	-103.21	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn00	success	4	0	-70.0739	0	2	2	0	0	1	-70.0739	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn01	success	4	0	-55.6792	0	4	0	0	0	1	-55.6792	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn02	success	4	0	-93.2519	0	2	2	0	0	1	-93.2519	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn00	success	4	0	-78.7305	0	1	3	0	0	1	-78.7305	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn01	success	4	0.25	-92.234	1	0	3	0	0	1	-92.234	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn02	success	4	0	-81.8107	0	4	0	0	0	1	-81.8107	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn00	success	4	0	-72.388	0	3	1	0	0	1	-72.388	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn01	success	4	0	-82.6746	0	3	1	0	0	1	-82.6746	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn02	success	4	0	-69.2236	0	2	2	0	0	1	-69.2236	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_S_bb000_mpn01	success	4	0	-58.2099	0	0	3	0	1	1	-58.2099	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_S_bb000_mpn02	success	4	0	-47.417	0	0	4	0	0	1	-47.417	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn00	success	4	0	-72.9447	0	0	4	0	0	1	-72.9447	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn01	success	4	0	-67.4305	0	0	4	0	0	1	-67.4305	dual_reference_geometry_proxy_not_binding_affinity_or_blockade_proof
