candidate_id	current_frozen_final50_rank	current_frozen_final50_score	merged_common4_geometry_rank	merged_common4_geometry_rank_delta	merged_common4_qc_geometry_rank	merged_common4_qc_geometry_rank_delta	strict_seed_count	broad_seed_count	pose_robustness_score	blocking_consensus_score	claim_boundary
P1MCPUFP__CPUFP500K_0207__00174	23	89.33	248	225	86	63	4	4	95.250000	98.575000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0405__00049	24	91.15	296	272	98	74	4	4	94.750000	98.425000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0108__00054	25	88.93	407	382	133	108	4	4	93.500000	98.050000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0188__00364	26	88.22	409	383	134	108	4	4	93.500000	98.050000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0185__00273	27	90.53	509	482	147	120	4	4	92.750000	97.825000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0032__00118	28	89.64	515	487	150	122	4	4	92.750000	97.825000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0388__00663	29	91.36	597	568	163	134	4	4	92.250000	97.675000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0287__00389	30	88.67	675	645	173	143	4	4	91.750000	97.525000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0289__00496	31	92.78	44	13	20	-11	4	4	98.250000	99.475000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0091__00849	32	91.87	46	14	22	-10	4	4	98.000000	99.400000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0388__00174	33	91.66	84	51	33	0	4	4	97.500000	99.250000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0487__00827	34	90.40	113	79	41	7	4	4	97.000000	99.100000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0029__00647	35	91.32	152	117	53	18	4	4	96.500000	98.950000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0388__00797	36	89.56	205	169	72	36	4	4	95.750000	98.725000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0134__00289	37	91.70	225	188	78	41	4	4	95.555560	98.666668	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0128__00809	38	90.53	257	219	89	51	4	4	95.250000	98.575000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0130__00610	39	90.95	289	250	97	58	4	4	94.944440	98.483332	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0134__00713	40	91.11	358	318	117	77	4	4	94.000000	98.200000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0030__00860	41	91.43	78	37	30	-11	4	4	97.750000	99.325000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0504__00926	42	88.90	2529	2487	274	232	3	4	91.250000	97.375000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0206__00634	43	88.01	2528	2485	273	230	3	4	91.250000	97.375000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0228__00457	44	89.27	2532	2488	275	231	3	4	91.000000	97.300000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0504__00900	45	89.79	2535	2490	276	231	3	4	90.750000	97.225000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0034__00437	46	89.47	539	493	152	106	4	4	92.722220	97.816666	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0091__00172	47	89.21	2487	2440	253	206	3	4	94.250000	98.275000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0190__00879	48	87.62	2506	2458	265	217	3	4	92.750000	97.825000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0091__00440	49	88.48	2511	2462	266	217	3	4	92.666660	97.799998	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
P1MCPUFP__CPUFP500K_0133__00282	50	89.44	2525	2475	271	221	3	4	91.500000	97.450000	Rank delta is from shared computational common4 geometry only; it does not replace frozen Final50 or predict experimental binding/blocking.
