final_rank	top10_rank	candidate_id	parent_id	mechanism_rank_semantics	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_component_evidence_completeness	tnp_L	tnp_L3	tnp_C	tnp_PSH	tnp_PPC	tnp_PNC	tnp_status	tnp_total_cdr_length	tnp_cdr3_length	tnp_cdr3_compactness	tnp_psh	tnp_ppc	tnp_pnc	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	minimum_c_terminal_target_distance_a	c_terminal_contact_pose_count	exposed_noncontact_acid_clipping_rows	exposed_noncontact_isomerization_rows	structural_ptm_review_status	format_review_status	additional_review_flags	claim_boundary
11		P1MCPUFP__CPUFP500K_0299__00780	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4188941650853966	117.867	0.0043	0.0	11.500000	617.604233	3.000000	2.000000	32.754597	0	0	39	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
12		P1MCPUFP__CPUFP500K_0189__00858	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4688697626418656	110.2276	0.0056	0.2668	12.500000	659.051978	3.000000	3.500000	35.029702	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
13		P1MCPUFP__CPUFP500K_0380__00771	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	purity_proxy_lt90	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4542378895755457	119.5116	0.0135	1.3794	15.000000	886.665831	3.000000	2.000000	30.925863	0	0	34	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
14		P1MCPUFP__CPUFP500K_0404__00029	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4674931094164605	105.8346	0.0481	0.3162	10.000000	563.046341	4.000000	2.500000	25.634746	0	0	28	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
15		P1MCPUFP__CPUFP500K_0188__00549	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4051014859430289	87.1124	0.0	0.5251	11.000000	616.955359	3.000000	2.500000	32.802595	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
16		P1MCPUFP__CPUFP500K_0100__00383	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4599231120660439	96.5565	0.0	0.0	12.000000	723.735705	3.000000	2.000000	30.190978	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
17		P1MCPUFP__CPUFP500K_0399__00131	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4359512867572966	89.3536	0.0086	0.1489	19.000000	999.067190	3.000000	3.000000	26.345561	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
18		P1MCPUFP__CPUFP500K_0188__00481	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	amber	red	green	COMPLETE_REVIEW	36	19	1.457335320317591	132.9596	1.2952	0.0674	14.000000	705.496927	4.000000	2.000000	32.349036	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
19		P1MCPUFP__CPUFP500K_0404__00512	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4616623884513165	93.0668	0.0	0.4846	14.000000	718.646577	3.000000	2.000000	29.325911	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
20		P1MCPUFP__CPUFP500K_0484__00056	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	expression_proxy_lt70	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4792399862672496	111.107	0.2513	1.3807	8.000000	325.521652	6.000000	2.500000	28.725176	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
21	8	P1MCPUFP__CPUFP500K_0091__00550	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	amber	red	green	COMPLETE_REVIEW	36	19	1.5145635496362717	129.2456	1.7445	0.0	12.000000	734.316286	4.500000	2.000000	30.000102	0	13	24	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
22		P1MCPUFP__CPUFP500K_0188__00189	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4607899813747833	101.3956	0.0599	0.329	6.500000	408.145728	3.000000	4.000000	31.066932	0	0	25	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
23		P1MCPUFP__CPUFP500K_0207__00174	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.450112636412501	125.2654	0.0096	0.2463	13.000000	663.545272	3.000000	2.000000	32.385718	0	0	50	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
24		P1MCPUFP__CPUFP500K_0405__00049	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4530689189014225	123.3402	0.1533	0.2453	8.500000	418.812189	3.000000	2.000000	28.071123	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
25		P1MCPUFP__CPUFP500K_0108__00054	case02_pos_01_PVRIG-151_HR151	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.4699960072218767	115.8086	0.0	1.2307	11.500000	606.834100	3.000000	3.000000	26.810124	0	0	43	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
26		P1MCPUFP__CPUFP500K_0188__00364	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.432778198258979	112.5965	0.0046	0.2187	18.000000	967.983203	3.000000	2.000000	25.898826	0	0	26	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
27		P1MCPUFP__CPUFP500K_0185__00273	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.490113548965541	122.5554	0.0	1.3422	10.000000	551.581140	3.000000	4.000000	28.166295	0	0	26	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
28	9	P1MCPUFP__CPUFP500K_0032__00118	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3304671398337284	100.5899	0.0	0.1187	9.000000	458.090537	3.000000	2.000000	26.959103	0	0	32	REVIEW	C_TERMINAL_CLEAR__NO_FULL_HFC_MODEL	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
29		P1MCPUFP__CPUFP500K_0388__00663	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	green	red	green	COMPLETE_REVIEW	36	19	1.4424200246683372	119.3183	2.3936	0.1147	14.500000	784.282353	4.000000	2.000000	26.680202	0	6	26	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
30		P1MCPUFP__CPUFP500K_0287__00389	case02_pos_10_151H7	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	expression_proxy_lt70	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.3914485468993694	108.1699	0.0	0.0407	12.000000	654.987752	3.000000	2.000000	29.822508	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
31	10	P1MCPUFP__CPUFP500K_0289__00496	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.4960009568233503	136.524	0.0822	0.0652	21.500000	1214.770805	3.000000	1.000000	36.250880	0	31	24	REVIEW	C_TERMINAL_CLEAR__GENERIC_HFC_PILOT_INCONCLUSIVE	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW;GENERIC_HFC_LOW_CONFIDENCE	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
32		P1MCPUFP__CPUFP500K_0091__00849	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.5037215626791633	130.5249	0.045	0.0	19.500000	1094.371476	3.000000	1.000000	34.857743	0	14	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
33		P1MCPUFP__CPUFP500K_0388__00174	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor	COMPLETE_PATCHED_ALL50	green	green	green	amber	green	green	COMPLETE_REVIEW	36	19	1.530278468853697	132.9	0.0	0.0	17.000000	1109.252195	3.000000	1.000000	29.401854	0	8	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
34		P1MCPUFP__CPUFP500K_0487__00827	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70;instability_index_gt50	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	36	19	1.506335928961724	122.4157	0.0	0.0472	11.500000	692.209865	3.000000	1.000000	26.404304	0	6	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
35		P1MCPUFP__CPUFP500K_0029__00647	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3445943285683497	103.0916	0.0475	0.1372	17.000000	722.051624	3.000000	2.000000	31.082411	0	16	27	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
36		P1MCPUFP__CPUFP500K_0388__00797	case02_pos_11_151H8	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D3_HIGH_REVIEW	single_domain_suitability_poor;expression_proxy_lt70	COMPLETE_PATCHED_ALL50	green	green	green	green	red	green	COMPLETE_REVIEW	36	19	1.4504799682250007	125.9558	1.3998	0.0	13.500000	829.366250	3.000000	1.000000	31.717650	0	27	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D3_HIGH_REVIEW;TNP_COMPONENT_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
37		P1MCPUFP__CPUFP500K_0134__00289	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3537917138382183	90.7598	0.0	0.2423	7.500000	476.947811	6.000000	2.000000	32.509921	0	11	27	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
38		P1MCPUFP__CPUFP500K_0128__00809	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D2_REVIEW	expression_proxy_lt80	COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.335327947525221	112.6045	0.0482	0.1026	12.000000	663.413189	3.000000	3.000000	34.441718	0	0	24	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	D2_REVIEW;REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
39		P1MCPUFP__CPUFP500K_0130__00610	case02_pos_04_PVRIG-38	frozen common4 dual-conformation computational mechanism rank; unchanged by this sidecar	D1_LOWER_RISK_PROXY		COMPLETE_PATCHED_ALL50	green	green	green	green	green	green	COMPLETE_ALL_GREEN	32	16	1.3515849070147368	84.4199	0.1026	0.5004	12.500000	525.830594	3.000000	4.500000	34.172725	0	0	39	REVIEW	NOT_TOP10__C_TERMINAL_CLEAR	REVIEW	Non-ranking computational manufacturability/format sidecar. It does not predict CHO yield, SDS/HPLC purity, SEC, aggregation, Protein-A low-pH outcome, BLI, Kd, IC50, or experimental blocking.
