competition_submission_priority	portfolio_status	candidate_id	mechanism_rank	previous_top10_rank	parent_id	cdr3_diversity_cluster	manufacturability_proxy_tier	prior_proxy_risk_reasons	tnp_PSH	tnp_PPC	tnp_PNC	glycan_accessibility_status	membrane_orientation_status	affinity_consensus_rank	affinity_consensus_status	unconstrained_independent_complex_decision	selection_reason	required_pre_submission_check	claim_boundary
11	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0089__00735	9		case02_pos_10_151H7	CDR3CL_0002	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
12	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0299__00453	10		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
13	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0299__00780	11		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
14	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0189__00858	12		case02_pos_10_151H7	CDR3CL_0001	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
15	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0188__00549	15		case02_pos_10_151H7	CDR3CL_0002	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
16	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0100__00383	16		case02_pos_01_PVRIG-151_HR151	CDR3CL_0005	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
17	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0405__00049	24		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
18	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0134__00289	37		case02_pos_04_PVRIG-38	CDR3CL_0052	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
19	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0130__00610	39		case02_pos_04_PVRIG-38	CDR3CL_0048	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
20	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0134__00713	40		case02_pos_04_PVRIG-38	CDR3CL_0053	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
21	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0030__00860	41		case02_pos_04_PVRIG-38	CDR3CL_0004	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
22	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0228__00457	44		case02_pos_04_PVRIG-38	CDR3CL_0004	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
23	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0034__00437	46		case02_pos_04_PVRIG-38	CDR3CL_0008	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
24	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0133__00282	50		case02_pos_04_PVRIG-38	CDR3CL_0008	D1_LOWER_RISK_PROXY		green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
25	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0287__00804	8		case02_pos_10_151H7	CDR3CL_0002	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	amber	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
26	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0380__00771	13		case02_pos_10_151H7	CDR3CL_0001	D2_REVIEW	purity_proxy_lt90	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
27	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0404__00029	14		case02_pos_01_PVRIG-151_HR151	CDR3CL_0108	D2_REVIEW	conservative_developability_gate_fail	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
28	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0399__00131	17		case02_pos_01_PVRIG-151_HR151	CDR3CL_0107	D2_REVIEW	conservative_developability_gate_fail	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
29	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0188__00481	18		case02_pos_10_151H7	CDR3CL_0002	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	amber	red	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
30	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0404__00512	19		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
31	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0188__00189	22		case02_pos_10_151H7	CDR3CL_0002	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
32	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0207__00174	23		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
33	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0108__00054	25		case02_pos_01_PVRIG-151_HR151	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
34	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0188__00364	26		case02_pos_10_151H7	CDR3CL_0066	D2_REVIEW	conservative_developability_gate_fail;single_domain_suitability_borderline;expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
35	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0185__00273	27		case02_pos_10_151H7	CDR3CL_0001	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
36	FINAL50_RESERVE	P1MCPUFP__CPUFP500K_0128__00809	38		case02_pos_04_PVRIG-38	CDR3CL_0006	D2_REVIEW	expression_proxy_lt80	green	green	green	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152		NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Reserve ordered by D tier then frozen mechanism rank; no new mechanism score applied.	Re-run official validator/CDR novelty/hash on the exact exported sequence file; do not submit this table as experimental evidence.	Portfolio priority optimizes experimental-slot risk allocation; it is not a predicted BLI, Yield, purity, Kd, IC50, or experimental blocker score.
