candidate_id	mechanism_rank	manufacturability_proxy_tier	tnp_L	tnp_L3	tnp_C	tnp_PSH	tnp_PPC	tnp_PNC	median_largest_hydrophobic_patch_residues	median_largest_hydrophobic_patch_free_sasa_a2	median_largest_positive_patch_residues	median_largest_negative_patch_residues	pI	net_charge_pH7	GRAVY	hydrophobic_5_count	polyreactivity_model_status	self_association_model_status	rank_use	claim_boundary
P1MCPUFP__CPUFP500K_0299__00780	11	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	11.500000	617.604233	3.000000	2.000000	5.131	-3.428	-0.1953	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0189__00858	12	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	12.500000	659.051978	3.000000	3.500000	5.24	-2.469	-0.1472	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0380__00771	13	D2_REVIEW	green	green	green	green	green	green	15.000000	886.665831	3.000000	2.000000	5.451	-3.394	-0.2031	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0404__00029	14	D2_REVIEW	green	green	green	green	green	green	10.000000	563.046341	4.000000	2.500000	5.845	-2.389	-0.2732	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00549	15	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	11.000000	616.955359	3.000000	2.500000	5.23	-3.429	-0.352	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0100__00383	16	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	12.000000	723.735705	3.000000	2.000000	5.716	-1.465	-0.2512	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0399__00131	17	D2_REVIEW	green	green	green	green	green	green	19.000000	999.067190	3.000000	3.000000	5.23	-3.431	-0.3614	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00481	18	D2_REVIEW	green	green	green	amber	red	green	14.000000	705.496927	4.000000	2.000000	6.921	-0.432	-0.1811	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0404__00512	19	D2_REVIEW	green	green	green	green	green	green	14.000000	718.646577	3.000000	2.000000	4.965	-3.463	-0.2402	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0484__00056	20	D3_HIGH_REVIEW	green	green	green	green	green	green	8.000000	325.521652	6.000000	2.500000	5.81	-1.464	-0.2945	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0091__00550	21	D3_HIGH_REVIEW	green	green	green	amber	red	green	12.000000	734.316286	4.500000	2.000000	6.857	-0.356	-0.0953	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00189	22	D2_REVIEW	green	green	green	green	green	green	6.500000	408.145728	3.000000	4.000000	5.019	-3.465	-0.2701	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0207__00174	23	D2_REVIEW	green	green	green	green	green	green	13.000000	663.545272	3.000000	2.000000	4.97	-4.429	-0.352	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0405__00049	24	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	8.500000	418.812189	3.000000	2.000000	5.845	-2.391	-0.2654	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0108__00054	25	D2_REVIEW	green	green	green	green	green	green	11.500000	606.834100	3.000000	3.000000	4.74	-5.432	-0.3173	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0188__00364	26	D2_REVIEW	green	green	green	green	green	green	18.000000	967.983203	3.000000	2.000000	5.573	-2.435	-0.185	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0185__00273	27	D2_REVIEW	green	green	green	green	green	green	10.000000	551.581140	3.000000	4.000000	4.995	-3.47	-0.1354	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0032__00118	28	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	9.000000	458.090537	3.000000	2.000000	6.374	-0.512	-0.4512	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0388__00663	29	D3_HIGH_REVIEW	green	green	green	green	red	green	14.500000	784.282353	4.000000	2.000000	8.077	0.608	-0.2173	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0287__00389	30	D3_HIGH_REVIEW	green	green	green	green	green	green	12.000000	654.987752	3.000000	2.000000	5.262	-2.471	-0.2488	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0289__00496	31	D3_HIGH_REVIEW	green	green	green	amber	green	green	21.500000	1214.770805	3.000000	1.000000	6.854	-0.354	-0.1354	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0091__00849	32	D3_HIGH_REVIEW	green	green	green	amber	green	green	19.500000	1094.371476	3.000000	1.000000	8.067	0.604	-0.1	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0388__00174	33	D3_HIGH_REVIEW	green	green	green	amber	green	green	17.000000	1109.252195	3.000000	1.000000	8.067	0.603	-0.1094	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0487__00827	34	D3_HIGH_REVIEW	green	green	green	green	green	green	11.500000	692.209865	3.000000	1.000000	6.5	-0.394	-0.2189	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0029__00647	35	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	17.000000	722.051624	3.000000	2.000000	6.387	-0.512	-0.5821	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0388__00797	36	D3_HIGH_REVIEW	green	green	green	green	red	green	13.500000	829.366250	3.000000	1.000000	8.077	0.606	-0.0882	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0134__00289	37	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	7.500000	476.947811	6.000000	2.000000	7.944	0.485	-0.4041	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0128__00809	38	D2_REVIEW	green	green	green	green	green	green	12.000000	663.413189	3.000000	3.000000	6.373	-0.515	-0.4951	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0130__00610	39	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	12.500000	525.830594	3.000000	4.500000	6.418	-0.508	-0.5154	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0134__00713	40	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	4.000000	184.890970	5.500000	3.000000	5.744	-1.476	-0.6154	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0030__00860	41	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	9.000000	476.563081	3.000000	2.000000	8.638	1.488	-0.4919	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0504__00926	42	D2_REVIEW	green	green	green	green	green	green	7.000000	340.838445	3.000000	2.000000	5.845	-2.391	-0.3433	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0206__00634	43	D2_REVIEW	green	green	green	green	green	green	9.000000	484.811563	3.000000	4.000000	4.781	-4.463	-0.2409	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0228__00457	44	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	9.000000	470.291498	3.000000	1.000000	8.639	1.487	-0.4699	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0504__00900	45	D2_REVIEW	green	green	green	green	green	green	8.000000	359.320508	6.000000	2.000000	5.206	-4.392	-0.4906	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0034__00437	46	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	4.000000	260.447173	3.000000	4.000000	5.709	-1.475	-0.5236	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0091__00172	47	D3_HIGH_REVIEW	green	green	green	amber	green	green	19.000000	1240.822640	3.000000	1.000000	8.088	0.608	0.0614	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0190__00879	48	D3_HIGH_REVIEW	green	green	green	green	green	green	15.000000	806.429095	3.000000	3.000000	6.483	-0.393	-0.1512	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0091__00440	49	D3_HIGH_REVIEW	green	green	green	amber	red	green	12.500000	723.303653	3.500000	1.000000	8.77	1.608	-0.0701	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
P1MCPUFP__CPUFP500K_0133__00282	50	D1_LOWER_RISK_PROXY	green	green	green	green	green	green	8.000000	423.004989	3.000000	2.000000	6.352	-0.515	-0.5073	0	NOT_MODELED_NO_CALIBRATED_MODEL	NOT_MODELED_NO_CALIBRATED_MODEL	RISK_REVIEW_ONLY	Patch and TNP features are risk proxies, not measured HIC, self-association, polyreactivity, yield, purity, or aggregation.
