candidate_id	final_rank	top10_rank	conformation	seed	pdb_path	pdb_sha256	pvrig_sequon	pvrig_chain_sequence_position	pvrig_pdb_residue_number	pvrig_pdb_insertion_code	candidate_to_sequon_asn_anchor_min_distance_a	glycan_anchor_geometry_status	membrane_orientation_status	claim_boundary
P1MCPUFP__CPUFP500K_0188__00519	2		8x6b	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s1931__cluster_1_model_1.pdb	acb6f70e1327b78d8e1e48fc564d048c3de8ac51678bd2daf32ca093d802ae79	NTT	80	129		19.647954	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00519	2		8x6b	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__8x6b__s3047__cluster_1_model_1.pdb	76efe16a7ad59255cf3d790565edc5e4029b11d832250dbee7888f952555c4e5	NTT	80	129		18.677937	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00519	2		9e6y	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s42__cluster_1_model_1.pdb	2a54f8d41a032310ea8cb8684970a9d19fbd82ff8322cfb2c93e4dd52a882120	NTT	84	129		19.795311	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00519	2		9e6y	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s917__cluster_1_model_1.pdb	db9c9a9b2873373d210a9ef1a18666bbedd43fd5b65ce4c0c093f61126770249	NTT	84	129		19.784424	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00519	2		9e6y	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s1931__cluster_1_model_1.pdb	7cefda36c77d67d93e5d401d6cecb02cd3f9dcdeb9beed6aa16e778c2af1faf7	NTT	84	129		19.312309	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00519	2		9e6y	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R02__P1MCPUFP__CPUFP500K_0188__00519__9e6y__s3047__cluster_1_model_1.pdb	6eb4a3833fa9448a825186a88f6b34ce2de868c9014c34d6080610387e5166af	NTT	84	129		19.941243	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		8x6b	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s42__cluster_1_model_1.pdb	29e20cdbd4aa09be111b3eb8016d7fe93a9c78ae6341e33ec4a750f0e4bf4329	NTT	80	129		15.452463	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		8x6b	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s917__cluster_1_model_1.pdb	395b7413e0ade0c89f734876c0a97564243cdba7e666a020856f2aeeb3aba35a	NTT	80	129		16.364354	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		8x6b	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s1931__cluster_1_model_1.pdb	4811374488c37946768a184d7015975b20506f3af5e95cf10ddc029a0f02f886	NTT	80	129		15.701806	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		8x6b	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__8x6b__s3047__cluster_1_model_1.pdb	c2be5f756394e71324b0bd5dc68621c580af30a33c91f998cfde35011f9f0fef	NTT	80	129		15.488344	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		9e6y	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s42__cluster_1_model_1.pdb	aa36ba37a76eba4fe0f2e59850890a89f8001709ca3e6e18bc9fd4a6eba8bb89	NTT	84	129		15.085659	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		9e6y	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s917__cluster_1_model_1.pdb	369c871e26e0d3b3e73323832c9b978004945615142676a20a6cfdd53a14147e	NTT	84	129		17.162359	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		9e6y	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s1931__cluster_1_model_1.pdb	4cc6acdb93940f2310fd90edcf291332d5927194070ff9a115a4a8e7c2b1a14b	NTT	84	129		16.037253	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0100__00092	3		9e6y	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R03__P1MCPUFP__CPUFP500K_0100__00092__9e6y__s3047__cluster_1_model_1.pdb	b37917987d7c2503eae8af2a9bdbf671e49a2b94893be77dac0f55ae4ae0b169	NTT	84	129		15.512277	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		8x6b	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s42__cluster_1_model_1.pdb	d9144147118eecc25eedb0f461fad253278605fd68cf88b2ba77152fb9304123	NTT	80	129		19.162356	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		8x6b	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s917__cluster_1_model_1.pdb	f9b3f8bf630f62c26037cfd355385bb5f6737c8dfaeafc3799ce43d303d2dcee	NTT	80	129		17.601154	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		8x6b	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s1931__cluster_1_model_1.pdb	2f2bfc18df4c8fe9988f81d1f283ed2cb7acdab1da9448c6ee7f82cf0d7ce342	NTT	80	129		18.659407	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		8x6b	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__8x6b__s3047__cluster_1_model_1.pdb	bba079834eff929a4f3e0a44a160cadd6d8bcf657746b3730b4b26bc954cb32d	NTT	80	129		18.001759	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		9e6y	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__9e6y__s42__cluster_1_model_1.pdb	57306eda0e4dc2411af663743a6e9530cb4052cd1e648de37d1d6f725b04bd3d	NTT	84	129		15.709349	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		9e6y	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__9e6y__s917__cluster_1_model_1.pdb	e438ecb76d3a56d557fef57af3287bf5bbee0708ca7eec355c8563673533e1dc	NTT	84	129		17.261994	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		9e6y	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__9e6y__s1931__cluster_1_model_1.pdb	9975b696322b964daedf10d5420200edc2d362bf60ad3c24babc9275f84bdb56	NTT	84	129		18.307666	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0090__00532	4		9e6y	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R04__P1MCPUFP__CPUFP500K_0090__00532__9e6y__s3047__cluster_1_model_1.pdb	ab47fb0bf6a0df06d4f5d9579453934a83f5b6ebde0ddce1b0109aac3c6968f6	NTT	84	129		17.415632	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		8x6b	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__8x6b__s42__cluster_1_model_1.pdb	9309172074a3690189562f928102a465988eaba7a27a591ea8a00b5c6fea02a4	NTT	80	129		17.748088	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		8x6b	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__8x6b__s917__cluster_1_model_1.pdb	1602e3de8347dbd0b1e04c2558bb4d39cec9d9b6511db11a59e409cb5f018056	NTT	80	129		15.774831	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		8x6b	1931	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__8x6b__s1931__cluster_1_model_1.pdb	935e27d433669b24d8130055675cf99a188d79271fb99dfe3e2937aa7b9c8a30	NTT	80	129		17.854808	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		8x6b	3047	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__8x6b__s3047__cluster_1_model_1.pdb	728a2144edd46c6d93fa5fcd553bdcf042daf86c35bf848f66b67a16bd197da5	NTT	80	129		17.237818	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		9e6y	42	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__9e6y__s42__cluster_1_model_1.pdb	30d6b0ef78126100f5a6cfec57615f30e0a282278fbff91547a2dd548f198ab2	NTT	84	129		18.09325	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
P1MCPUFP__CPUFP500K_0188__00282	5		9e6y	917	/data/qlyu/projects/pvrig_top7500_dualpanel_screen_v1_20260724/run/common4_rerank_v2_20260725/final50_structure_bundle_v1_20260725/docking/representative_complexes/R05__P1MCPUFP__CPUFP500K_0188__00282__9e6y__s917__cluster_1_model_1.pdb	38886d3e8801a023ee1c5458f6930fbf9600eb0bf89ded7cd87b7eeb804967d6	NTT	84	129		17.317388	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	N-X-S/T sequon-anchor geometry only; no glycan conformer, membrane, VHH-hFc, cell-surface accessibility, affinity, or blocking prediction.
