candidate_id	final_rank	top10_rank	representative_pose_count	resolved_target_sequons	minimum_candidate_to_sequon_asn_anchor_distance_a	pose_count_anchor_distance_lt10a	pose_count_anchor_distance_lt20a	glycan_accessibility_status	membrane_orientation_status	submission_rank_use	claim_boundary
P1MCPUFP__CPUFP500K_0299__00780	11		8	NTT@129	16.138774	0	7	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0189__00858	12		8	NTT@129	11.330399	0	7	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0380__00771	13		8	NTT@129	15.382545	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0404__00029	14		8	NTT@129	15.00113	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00549	15		8	NTT@129	16.585111	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0100__00383	16		8	NTT@129	16.166816	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0399__00131	17		8	NTT@129	14.901613	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00481	18		8	NTT@129	15.581202	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0404__00512	19		8	NTT@129	15.830628	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0484__00056	20		8	NTT@129	15.750179	0	7	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0091__00550	21		8	NTT@129	17.9451	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00189	22		8	NTT@129	15.242763	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0207__00174	23		8	NTT@129	16.673002	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0405__00049	24		8	NTT@129	17.541416	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0108__00054	25		8	NTT@129	16.571515	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0188__00364	26		8	NTT@129	15.07325	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0185__00273	27		8	NTT@129	17.126894	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0032__00118	28		8	NTT@129	15.959239	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0388__00663	29		8	NTT@129	13.49803	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0287__00389	30		8	NTT@129	14.903215	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0289__00496	31		8	NTT@129	15.090027	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0091__00849	32		8	NTT@129	16.225146	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0388__00174	33		8	NTT@129	14.275596	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0487__00827	34		8	NTT@129	13.079291	0	7	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0029__00647	35		8	NTT@129	16.761882	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0388__00797	36		8	NTT@129	13.5925	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0134__00289	37		8	NTT@129	16.822827	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0128__00809	38		8	NTT@129	12.356321	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0130__00610	39		8	NTT@129	12.948848	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0134__00713	40		8	NTT@129	17.790653	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0030__00860	41		8	NTT@129	15.916877	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0504__00926	42		8	NTT@129	17.166965	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0206__00634	43		8	NTT@129	14.669447	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0228__00457	44		8	NTT@129	17.157968	0	6	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0504__00900	45		8	NTT@129	15.707974	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0034__00437	46		8	NTT@129	17.020239	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0091__00172	47		8	NTT@129	15.085254	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0190__00879	48		8	NTT@129	15.614112	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0091__00440	49		8	NTT@129	15.367214	0	7	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
P1MCPUFP__CPUFP500K_0133__00282	50		8	NTT@129	12.95154	0	8	POTENTIAL_GLYCAN_ANCHOR_NEARBY_10_TO_20A	NOT_RESOLVED_ISOLATED_DOMAIN_PVRIG_41_TO_152	REVIEW_ONLY_NOT_A_RANK_FEATURE	Potential sequon-anchor proximity only; actual PVRIG glycoforms and membrane/Fc geometry were not modeled.
