candidate_id	mechanism_rank	top10_rank_prior	static_pose_count	prodigy_status	foldx_status	rosetta_status	static_median_rosetta_dSASA_int	static_median_rosetta_delta_unsatHbonds	static_median_rosetta_hbonds_int	static_median_rosetta_sc_value	static_median_rosetta_dG_separated	static_median_prodigy_predicted_dg_kcal_mol	affinity_consensus_status	affinity_consensus_rank	rank_use	reason	claim_boundary
P1MCPUFP__CPUFP500K_0484__00056	20		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1499.012	15.5	3	0.564	24.508	-9.9715	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0091__00550	21		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1486.671	16.5	5.5	0.593	16.3735	-10.0885	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00189	22		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1508.1365	12.5	5	0.5425	51.005	-9.5625	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0207__00174	23		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1472.7885	10	5	0.613	33.685	-10.0465	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0405__00049	24		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1824.9635	23.5	4.5	0.6575	90.8425	-12.0505	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0108__00054	25		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1273.8555	13	3	0.5935	50.8525	-9.794	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0188__00364	26		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1575.426	14	3.5	0.522	19.216	-10.716	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0185__00273	27		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1460.2135	9.5	3	0.5665	-20.416	-9.8725	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0032__00118	28		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1619.1895	17	4	0.651	27.1125	-11.5405	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0388__00663	29		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1599.024	13.5	4	0.552	39.576	-10.0275	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0287__00389	30		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1645.945	12	6	0.5465	3.194	-9.3355	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0289__00496	31		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1553.9665	12	6.5	0.686	40.122	-12.5115	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0091__00849	32		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1689.499	18.5	2	0.5025	15.39	-10.014	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0388__00174	33		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1568.2185	12	3.5	0.6245	22.1375	-11.153	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0487__00827	34		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1377.1415	16	3	0.7145	10.814	-10.795	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0029__00647	35		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1493.073	18	1.5	0.6265	18.4385	-10.7155	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0388__00797	36		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1882.069	22	2.5	0.658	94.0095	-13.2525	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0134__00289	37		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1609.8865	16.5	3.5	0.582	32.1065	-12.4535	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0128__00809	38		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1437.6125	27	2.5	0.6275	42.3995	-12.308	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0130__00610	39		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1674.1745	14	4.5	0.5205	48.8955	-11.306	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0134__00713	40		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1406.936	13	3	0.6525	49.976	-11.2765	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0030__00860	41		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1650.0745	16	3.5	0.586	13.515	-12.47	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0504__00926	42		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1789.6905	16.5	3	0.579	44.557	-11.822	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0206__00634	43		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1636.3675	26	4.5	0.5995	61.487	-11.7865	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0228__00457	44		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1799.5415	16.5	1.5	0.6105	49.246	-10.1865	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0504__00900	45		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1569.9585	12	6	0.6385	61.9115	-10.6455	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0034__00437	46		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1749.6345	12	6	0.6775	48.126	-11.512	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0091__00172	47		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1792.2435	17.5	1	0.6035	20.5835	-9.984	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0190__00879	48		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1544.896	13	4.5	0.5425	20.83	-9.77	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0091__00440	49		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1447.182	21	3.5	0.534	33.7475	-9.094	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
P1MCPUFP__CPUFP500K_0133__00282	50		2	WEAK_PRIOR_ONLY_COMPLETE	NOT_RUN_CROSS_CANDIDATE_RANK_REJECTED	DESCRIPTIVE_ONLY_COMPLETE	1537.3005	14	5	0.5585	-6.129	-11.885	NOT_ASSIGNED_NO_CALIBRATED_CROSS_CANDIDATE_METHOD		DESCRIPTIVE_ONLY	Positive/control calibration rejected PRODIGY, FoldX and Rosetta for cross-candidate affinity ranking; raw values retained for visual review only.	No computed value is experimental Kd, BLI response, binding, or blocking proof.
