candidate_id	final_rank	pose_count	alignment_ca_count_min	alignment_ca_count_median	alignment_ca_count_max	alignment_ca_rmsd_a_min	alignment_ca_rmsd_a_median	alignment_ca_rmsd_a_max	pvrig_vhh_residue_pair_contacts_4p5a_min	pvrig_vhh_residue_pair_contacts_4p5a_median	pvrig_vhh_residue_pair_contacts_4p5a_max	pvrig_vhh_residue_pair_clashes_2a_min	pvrig_vhh_residue_pair_clashes_2a_median	pvrig_vhh_residue_pair_clashes_2a_max	pvrig_contact_residue_count_min	pvrig_contact_residue_count_median	pvrig_contact_residue_count_max	vhh_contact_residue_count_min	vhh_contact_residue_count_median	vhh_contact_residue_count_max	hotspot_overlap_count_min	hotspot_overlap_count_median	hotspot_overlap_count_max	core_hotspot_overlap_count_min	core_hotspot_overlap_count_median	core_hotspot_overlap_count_max	cdr_contact_residue_fraction_min	cdr_contact_residue_fraction_median	cdr_contact_residue_fraction_max	cdr3_contact_residue_fraction_min	cdr3_contact_residue_fraction_median	cdr3_contact_residue_fraction_max	pvrl2_vhh_residue_pair_occlusion_4p5a_min	pvrl2_vhh_residue_pair_occlusion_4p5a_median	pvrl2_vhh_residue_pair_occlusion_4p5a_max	pvrl2_vhh_residue_pair_clashes_2a_min	pvrl2_vhh_residue_pair_clashes_2a_median	pvrl2_vhh_residue_pair_clashes_2a_max	cdr1_pvrl2_occlusion_min	cdr1_pvrl2_occlusion_median	cdr1_pvrl2_occlusion_max	cdr2_pvrl2_occlusion_min	cdr2_pvrl2_occlusion_median	cdr2_pvrl2_occlusion_max	cdr3_pvrl2_occlusion_min	cdr3_pvrl2_occlusion_median	cdr3_pvrl2_occlusion_max	cdr3_occlusion_fraction_min	cdr3_occlusion_fraction_median	cdr3_occlusion_fraction_max	framework_occlusion_fraction_min	framework_occlusion_fraction_median	framework_occlusion_fraction_max	vhh_sequence_matches_table_fraction	R95_contact_fraction	nterm_pvrig_contact_fraction	cterm_pvrig_contact_fraction	nterm_pvrl2_occlusion_fraction	cterm_pvrl2_occlusion_fraction	strict_mechanism_pose_fraction
P1MCPUFP__CPUFP500K_0108__00054	25	8	103.0	105.5	108.0	0.4627318245988555	0.5563482173575235	0.669318093439773	33.0	43.5	50.0	0.0	0.0	0.0	17.0	19.5	21.0	14.0	20.0	21.0	14.0	17.5	19.0	14.0	17.0	18.0	0.7647058823529411	0.9392857142857143	1.0	0.4117647058823529	0.4630952380952381	0.5882352941176471	688.0	769.5	912.0	167.0	193.5	219.0	64.0	96.0	114.0	36.0	45.0	81.0	176.0	186.5	193.0	0.20942982456140352	0.24137940185229415	0.2594086021505376	0.5067204301075269	0.5660846821067692	0.6732456140350878	1.0	0.875	0.625	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0188__00364	26	8	103.0	105.5	108.0	0.45884697050718265	0.5484099219902139	0.6359453382537885	35.0	41.5	45.0	0.0	0.0	0.0	18.0	20.0	22.0	14.0	19.0	21.0	16.0	18.0	20.0	15.0	17.0	18.0	0.6666666666666666	0.7875939849624061	0.8823529411764706	0.35294117647058826	0.55625	0.631578947368421	632.0	756.5	910.0	158.0	190.0	219.0	55.0	87.0	115.0	27.0	61.5	98.0	134.0	168.5	207.0	0.1936813186813187	0.20837952213317354	0.26744186046511625	0.44519621109607577	0.5731096921578909	0.7076923076923077	1.0	1.0	0.875	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0185__00273	27	8	103.0	105.5	108.0	0.4570476917069886	0.5156581783552732	0.621117599619168	34.0	45.0	48.0	0.0	0.0	0.0	18.0	19.0	20.0	16.0	19.0	20.0	15.0	17.5	18.0	15.0	16.5	18.0	0.8235294117647058	0.9486842105263158	1.0	0.42105263157894735	0.47213622291021673	0.5882352941176471	665.0	735.0	858.0	152.0	192.0	214.0	59.0	78.0	94.0	39.0	47.0	80.0	181.0	195.0	227.0	0.22144522144522144	0.2697052116046059	0.312242090784044	0.4917293233082707	0.5522973680275161	0.6491841491841492	1.0	1.0	0.625	0.0	1.0	0.25	1.0
P1MCPUFP__CPUFP500K_0032__00118	28	8	103.0	105.5	108.0	0.46097967619304964	0.5227328739394954	0.6300732620548075	30.0	47.5	57.0	0.0	0.0	0.0	16.0	21.0	23.0	13.0	19.0	22.0	14.0	18.0	20.0	14.0	17.5	18.0	0.8	0.8791866028708134	1.0	0.22727272727272727	0.36602870813397126	0.625	732.0	800.5	860.0	185.0	206.5	228.0	45.0	56.0	65.0	46.0	79.0	88.0	128.0	149.5	179.0	0.16080402010050251	0.18704901108454686	0.2370860927152318	0.5774834437086093	0.6573766267233604	0.7021028037383178	1.0	0.875	0.375	0.0	1.0	0.375	1.0
P1MCPUFP__CPUFP500K_0388__00663	29	8	103.0	105.5	108.0	0.45835964243859545	0.5340919406507512	0.6472470628964894	34.0	46.0	54.0	0.0	0.0	0.0	17.0	21.5	25.0	15.0	17.5	20.0	14.0	18.0	23.0	13.0	18.0	21.0	0.7222222222222222	0.8297213622291022	1.0	0.4117647058823529	0.5166666666666666	0.7	615.0	757.0	817.0	160.0	190.0	210.0	98.0	107.5	119.0	13.0	43.5	86.0	126.0	188.0	207.0	0.20454545454545456	0.247553888030604	0.2565104166666667	0.49403973509933774	0.5533928411499537	0.6071428571428571	1.0	0.875	0.875	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0287__00389	30	8	103.0	105.5	108.0	0.45194067864393694	0.5070417154456994	0.5546687147457152	36.0	41.5	52.0	0.0	0.0	0.0	19.0	21.5	24.0	14.0	17.0	20.0	18.0	19.0	20.0	17.0	18.0	19.0	0.8571428571428571	0.8888888888888888	0.95	0.5	0.5555555555555556	0.6	664.0	714.5	874.0	168.0	182.0	229.0	73.0	78.5	97.0	42.0	90.5	101.0	144.0	201.0	210.0	0.21686746987951808	0.2776027279005525	0.3005952380952381	0.4494047619047619	0.47717198581560283	0.6017052375152253	1.0	1.0	1.0	0.0	1.0	0.125	1.0
P1MCPUFP__CPUFP500K_0289__00496	31	8	103.0	105.5	108.0	0.4320912930304721	0.5365793380612617	0.7197118774820468	44.0	56.0	62.0	0.0	0.0	0.0	17.0	23.0	26.0	19.0	20.5	22.0	16.0	17.0	20.0	15.0	16.0	19.0	0.8947368421052632	0.9023809523809524	0.9090909090909091	0.3	0.42857142857142855	0.5	833.0	870.5	969.0	195.0	217.5	235.0	60.0	71.5	89.0	24.0	35.5	72.0	168.0	187.5	208.0	0.1848184818481848	0.21867127200926967	0.23880597014925373	0.6291618828932262	0.653593161402492	0.6743674367436744	1.0	0.125	1.0	0.0	1.0	0.625	1.0
P1MCPUFP__CPUFP500K_0091__00849	32	8	103.0	105.5	108.0	0.5170667047896444	0.5673091782021349	0.6544642628679839	42.0	48.0	51.0	0.0	0.0	0.0	19.0	20.0	24.0	16.0	21.0	23.0	16.0	18.0	19.0	16.0	17.0	18.0	0.9375	0.9523809523809523	0.9565217391304348	0.3684210526315789	0.5335968379446641	0.6190476190476191	733.0	788.5	998.0	182.0	197.0	254.0	66.0	84.0	90.0	43.0	52.0	66.0	158.0	182.5	199.0	0.15831663326653306	0.23891415620856588	0.24967490247074123	0.567530695770805	0.5974631164256726	0.685370741482966	1.0	0.875	1.0	0.0	1.0	0.75	1.0
P1MCPUFP__CPUFP500K_0388__00174	33	8	103.0	105.5	108.0	0.4408241233923521	0.5325606181274543	0.6911463904496883	35.0	46.5	56.0	0.0	0.0	0.0	15.0	21.0	25.0	16.0	18.0	20.0	14.0	18.0	20.0	14.0	17.5	19.0	0.8823529411764706	0.9442724458204335	0.95	0.47058823529411764	0.5397058823529413	0.625	786.0	810.0	926.0	195.0	207.0	233.0	71.0	78.0	98.0	23.0	46.0	78.0	171.0	185.5	219.0	0.21673003802281368	0.22743781642086724	0.2434584755403868	0.5779294653014789	0.6228211631437438	0.6348600508905853	1.0	1.0	1.0	0.0	1.0	0.5	1.0
P1MCPUFP__CPUFP500K_0487__00827	34	8	103.0	105.5	108.0	0.4744077356195046	0.5132977675020033	0.5693711606311821	38.0	47.0	56.0	0.0	0.0	0.0	16.0	18.5	23.0	17.0	18.5	23.0	15.0	17.0	20.0	15.0	17.0	19.0	0.8095238095238095	0.8622291021671826	0.9473684210526315	0.5263157894736842	0.5984654731457801	0.6842105263157895	673.0	832.0	884.0	162.0	196.0	224.0	72.0	104.0	111.0	31.0	63.5	81.0	140.0	197.5	212.0	0.20802377414561665	0.23739871619488584	0.2497055359246172	0.5223880597014925	0.5750436837527231	0.6054181389870436	1.0	1.0	1.0	0.0	1.0	0.0	1.0
P1MCPUFP__CPUFP500K_0029__00647	35	8	103.0	105.5	108.0	0.452352924843898	0.5042164755193879	0.639911076225333	41.0	44.0	56.0	0.0	0.0	0.0	18.0	18.5	20.0	16.0	18.5	23.0	16.0	16.5	17.0	15.0	15.5	16.0	0.8695652173913043	0.9246031746031746	1.0	0.21739130434782608	0.2777777777777778	0.4375	809.0	889.5	943.0	212.0	218.0	225.0	68.0	72.0	84.0	62.0	76.0	80.0	153.0	181.5	187.0	0.18912237330037082	0.20093139897399842	0.2080989876265467	0.6164229471316085	0.6317953776225143	0.650561797752809	1.0	0.0	0.125	0.0	1.0	0.5	1.0
P1MCPUFP__CPUFP500K_0388__00797	36	8	103.0	105.5	108.0	0.42493362650951094	0.48622140101869177	0.5184013319681684	50.0	60.5	68.0	0.0	0.0	0.0	19.0	25.0	27.0	17.0	20.5	25.0	14.0	17.5	18.0	14.0	16.5	17.0	0.8235294117647058	0.8535714285714285	0.88	0.4	0.4852941176470588	0.5555555555555556	898.0	927.5	1008.0	224.0	233.5	241.0	54.0	75.5	81.0	41.0	53.0	63.0	168.0	178.5	198.0	0.17653061224489797	0.1874253228442796	0.20437158469945355	0.6663090128755365	0.6826468059138442	0.6950819672131148	1.0	0.5	1.0	0.0	1.0	1.0	1.0
