candidate_id	sequence_sha256	arm_id	backbone_group_id	sequence_group_id	known_positive	known_positive_ids	split	binder_axis_status	binder_label	pose_quality_status	pose_quality_haddock_score	affinity_proxy_status	affinity_proxy_score	blocker_geometry_status	blocker_geometry_score	rf2_recovery_status	rf2_recovery_rmsd	rf2_plddt	monomer_qc_status	monomer_qc_score	docking_status	selected_model_path	training_eligible
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn00	9073b475219fc02884cca749c3407b48cff7ad678123761363552892f2ef0984	P1_ekg_L	P1_ekg_L_bb004	cdr3fam_adbd7c626350b752	false		train	deferred	unknown	present	-83.4673	present	-83.4673	present	0.0	present	2.85	0.89	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn01	e71b7c1604183193d97bd79388c6dc078b5353b8f9d8cb7be700b81c85bf1091	P1_ekg_L	P1_ekg_L_bb004	cdr3fam_adbd7c626350b752	false		train	deferred	unknown	present	-94.1233	present	-94.1233	present	0.0	present	3.14	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn02	d58d60183517a79502b19f2746be2c8b492c8491a37060e959b52eee7d1854c2	P1_ekg_L	P1_ekg_L_bb004	cdr3fam_5bf78d2d6f74ea86	false		train	deferred	unknown	present	-76.4922	present	-76.4922	present	0.0	present	3.77	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn03	b882d8eb007cd6b6443e5e6904ea32fd6083668e777a61860bd7e0bdd2d8574f	P1_ekg_L	P1_ekg_L_bb004	cdr3fam_adbd7c626350b752	false		train	deferred	unknown	present	-84.7488	present	-84.7488	present	0.0	present	2.66	0.89	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn03/run_PVRIG_RFAb_v2_P1_ekg_L_bb004_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn00	24717576b23e6e297bf7ffda66311114e98639153e0a59baa14ad26fe555bbb2	P1_ekg_L	P1_ekg_L_bb005	cdr3fam_8fcd47617420de40	false		train	deferred	unknown	present	-64.389	present	-64.389	present	0.0	present	27.58	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn01	138fc3254244c6ad3ff5904222f3c07b8cb1d580bec67a277281a6d0094651bc	P1_ekg_L	P1_ekg_L_bb005	cdr3fam_8fcd47617420de40	false		train	deferred	unknown	present	-59.5051	present	-59.5051	present	0.0	present	31.46	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn02	309d4eb0e97f6b7202f904a9be0ccffc7983c8e00482aa24de489755ffe20769	P1_ekg_L	P1_ekg_L_bb005	cdr3fam_8fcd47617420de40	false		train	deferred	unknown	present	-62.6673	present	-62.6673	present	0.0	present	12.61	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn00	3f0352f9e162e3cba10ee25d3221283925d981b88b09d244ebaf236b13a5aa0e	P1_ekg_L	P1_ekg_L_bb006	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-84.3559	present	-84.3559	present	0.0	present	19.38	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn01	f4c23f4bc136590fac96d610f7dac4d2d5e13ee3d0d7ebbd85cfc79a1d6696c8	P1_ekg_L	P1_ekg_L_bb006	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-77.124	present	-77.124	present	0.0	present	22.55	0.89	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn02	10f4b8ade00d49ae3cb79c63350b413d3c9c509fdca318d14a1a948bf2684923	P1_ekg_L	P1_ekg_L_bb006	cdr3fam_66145dd0508e246a	false		train	deferred	unknown	present	-83.0647	present	-83.0647	present	0.0	present	13.0	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn00	5aa950e6f6443d196466566285f15e9740d2a16e26910474b0bde753a10aaa20	P1_ekg_L	P1_ekg_L_bb007	cdr3fam_4a3003607b09c2f8	false		train	deferred	unknown	present	-67.4424	present	-67.4424	present	0.0	present	19.08	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn00/run_PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn01	47b7363428aaff8f2441105ab2d69dd8ea97a4c8f8b9d51196d51d699dd15766	P1_ekg_L	P1_ekg_L_bb007	cdr3fam_66e45dfeb271aed3	false		train	deferred	unknown	present	-66.0834	present	-66.0834	present	0.0	present	19.71	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn01/run_PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn02	92b303eb44e090ac2895d75f4460a52bd1aeeaaf27b0470ef26ee05e7f878e7b	P1_ekg_L	P1_ekg_L_bb007	cdr3fam_4a3003607b09c2f8	false		train	deferred	unknown	present	-71.1782	present	-71.1782	present	0.0	present	6.69	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn02/run_PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	true
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn00	cd17bedf63d172c1050348607117ac20846ec63a3cf06d907f761223a317661e	P1_ekg_S	P1_ekg_S_bb000	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-64.1681	present	-64.1681	present	0.0	present	5.69	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn00/run_PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn01	6d33e3ccbb5622708634aa6180730db2773169e05efc4d71f130dd1b05e7525e	P1_ekg_S	P1_ekg_S_bb000	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-53.7431	present	-53.7431	present	0.0	present	42.47	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn01/run_PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn03	858be15b19ddc1d38c6acd171e4544645e2376a6802f5163bfdd40a9be35c4e8	P1_ekg_S	P1_ekg_S_bb000	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-68.1362	present	-68.1362	present	0.0	present	5.58	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn03/run_PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn00	f50c0b3ddae5220ebd5c1664a7f3a07ab6da14ff5309ec1706946bcea06706a1	P1_ekg_S	P1_ekg_S_bb001	cdr3fam_d58db9e2493ba0c2	false		validation	deferred	unknown	present	-98.8908	present	-98.8908	present	0.0	present	37.9	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn00/run_PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn01	58a2b6c2a40ef34f78913bb63fdef9e3533380f0e7afb56c36cc906913b5e014	P1_ekg_S	P1_ekg_S_bb001	cdr3fam_d58db9e2493ba0c2	false		validation	deferred	unknown	present	-83.6537	present	-83.6537	present	0.0	present	33.94	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn01/run_PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn02	1f1af2dd569a2ea47af7cd6c510bac912e059188872784383bbd8edfe9281d26	P1_ekg_S	P1_ekg_S_bb001	cdr3fam_58744484be46e6b4	false		validation	deferred	unknown	present	-80.4614	present	-80.4614	present	0.0	present	36.03	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn02/run_PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn03	1d91cc17600f07f4f9d458cf7cc2a06fa9f8a131359ffff51968912fb374f099	P1_ekg_S	P1_ekg_S_bb001	cdr3fam_d58db9e2493ba0c2	false		validation	deferred	unknown	present	-81.1056	present	-81.1056	present	0.0	present	38.01	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn03/run_PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn00	9d822f27468b5ee92459dff86f25dc360c2e471615c02521e5592887ae687857	P1_ekg_S	P1_ekg_S_bb002	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-67.9294	present	-67.9294	present	0.0	present	37.12	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn00/run_PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn01	9498cec05c5c07ab7d2387588e450011f6f7509471878245bbb5578c3c7a96ca	P1_ekg_S	P1_ekg_S_bb002	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-63.0891	present	-63.0891	present	0.0	present	3.32	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn01/run_PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn01_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn02	c519cb0caf83b834343ea841ee10139786d8fbbb3207fb543c8982d23499ab18	P1_ekg_S	P1_ekg_S_bb002	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-64.1729	present	-64.1729	present	0.0	present	37.82	0.89	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn02/run_PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn03	4b0632abb14f9b76652e7ee7bb71cc2f81f8c379113665a8ba4fe8f271d54f2d	P1_ekg_S	P1_ekg_S_bb002	cdr3fam_6250cae5f36a422f	false		validation	deferred	unknown	present	-57.0856	present	-57.0856	present	0.0	present	37.14	0.9	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn03/run_PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn03_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn00	fb31616e80c04334acfc5cda8dfe0bb2b3aeeca689e14faf9953da342e45069d	P1_ekg_S	P1_ekg_S_bb003	cdr3fam_b3bcf70d86ca348c	false		validation	deferred	unknown	present	-57.7837	present	-57.7837	present	0.0	present	40.16	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn00/run_PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn00_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn02	2dea0aeb2fe0fa9216a2b423bbfaf03d97f2878089af9c1507c0c6ff846be755	P1_ekg_S	P1_ekg_S_bb003	cdr3fam_b3bcf70d86ca348c	false		validation	deferred	unknown	present	-68.9896	present	-68.9896	present	0.0	present	39.71	0.91	present	1.0	completed	/data/qlyu/projects/pvrig_rfantibody_docking1024_v2_20260712/docking/haddock/PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn02/run_PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn02_pvrig_8x6b_full_interface/6_seletopclusts/cluster_1_model_1.pdb.gz	false
