backbone_group_id	arm_id	sequence_group_id	split	candidate_count	candidate_ids
P1_ekg_L_bb005	P1_ekg_L	cdr3fam_8fcd47617420de40	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn01;PVRIG_RFAb_v2_P1_ekg_L_bb005_mpn02
P1_ekg_L_bb006	P1_ekg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn01;PVRIG_RFAb_v2_P1_ekg_L_bb006_mpn02
P1_ekg_L_bb007	P1_ekg_L	cdr3fam_4a3003607b09c2f8	train	2	PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn00;PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn02
P1_ekg_L_bb007	P1_ekg_L	cdr3fam_66e45dfeb271aed3	train	1	PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn01
P1_ekg_S_bb000	P1_ekg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb000_mpn03
P1_ekg_S_bb001	P1_ekg_S	cdr3fam_58744484be46e6b4	validation	1	PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn02
P1_ekg_S_bb001	P1_ekg_S	cdr3fam_d58db9e2493ba0c2	validation	3	PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb001_mpn03
P1_ekg_S_bb002	P1_ekg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn02;PVRIG_RFAb_v2_P1_ekg_S_bb002_mpn03
P1_ekg_S_bb003	P1_ekg_S	cdr3fam_b3bcf70d86ca348c	validation	2	PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb003_mpn02
P1_ekg_S_bb004	P1_ekg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn02;PVRIG_RFAb_v2_P1_ekg_S_bb004_mpn03
P1_ekg_S_bb005	P1_ekg_S	cdr3fam_a80d7a9d9427fbb7	validation	4	PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn02;PVRIG_RFAb_v2_P1_ekg_S_bb005_mpn03
P1_ekg_S_bb006	P1_ekg_S	cdr3fam_445c63f4195c5686	validation	3	PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn00;PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn01;PVRIG_RFAb_v2_P1_ekg_S_bb006_mpn02
P1_ekg_S_bb007	P1_ekg_S	cdr3fam_044474e063ad6d50	validation	1	PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn02
P1_ekg_S_bb007	P1_ekg_S	cdr3fam_4f66adcd7d72f850	validation	1	PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn03
P1_ekg_S_bb007	P1_ekg_S	cdr3fam_91b61f90545928b4	validation	1	PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn01
P1_ekg_S_bb007	P1_ekg_S	cdr3fam_e8a153d548d1244c	validation	1	PVRIG_RFAb_v2_P1_ekg_S_bb007_mpn00
P1_qkg_L_bb000	P1_qkg_L	cdr3fam_437693d92536fdcc	train	4	PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn02;PVRIG_RFAb_v2_P1_qkg_L_bb000_mpn03
P1_qkg_L_bb001	P1_qkg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn02;PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn03
P1_qkg_L_bb001	P1_qkg_L	cdr3fam_6fbf6dd84aa9a641	train	1	PVRIG_RFAb_v2_P1_qkg_L_bb001_mpn00
P1_qkg_L_bb002	P1_qkg_L	cdr3fam_437693d92536fdcc	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn02;PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn03
P1_qkg_L_bb002	P1_qkg_L	cdr3fam_774813cc5335bb61	train	1	PVRIG_RFAb_v2_P1_qkg_L_bb002_mpn00
P1_qkg_L_bb003	P1_qkg_L	cdr3fam_46fd6a273c482d41	train	2	PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn01
P1_qkg_L_bb003	P1_qkg_L	cdr3fam_66145dd0508e246a	train	1	PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn03
P1_qkg_L_bb003	P1_qkg_L	cdr3fam_c8fb9660acaf2f5f	train	1	PVRIG_RFAb_v2_P1_qkg_L_bb003_mpn02
P1_qkg_L_bb004	P1_qkg_L	cdr3fam_5bf78d2d6f74ea86	train	1	PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn02
P1_qkg_L_bb004	P1_qkg_L	cdr3fam_adbd7c626350b752	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb004_mpn03
P1_qkg_L_bb005	P1_qkg_L	cdr3fam_8fcd47617420de40	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb005_mpn02
P1_qkg_L_bb006	P1_qkg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb006_mpn02
P1_qkg_L_bb007	P1_qkg_L	cdr3fam_0b2fc47f9a851170	train	3	PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn00;PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn01;PVRIG_RFAb_v2_P1_qkg_L_bb007_mpn02
P1_qkg_S_bb000	P1_qkg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn02;PVRIG_RFAb_v2_P1_qkg_S_bb000_mpn03
P1_qkg_S_bb001	P1_qkg_S	cdr3fam_58744484be46e6b4	validation	1	PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn02
P1_qkg_S_bb001	P1_qkg_S	cdr3fam_d58db9e2493ba0c2	validation	3	PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb001_mpn03
P1_qkg_S_bb002	P1_qkg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb002_mpn03
P1_qkg_S_bb003	P1_qkg_S	cdr3fam_14db0c5a2fa847f0	validation	1	PVRIG_RFAb_v2_P1_qkg_S_bb003_mpn00
P1_qkg_S_bb003	P1_qkg_S	cdr3fam_b4b902b85a9d8ee5	validation	1	PVRIG_RFAb_v2_P1_qkg_S_bb003_mpn02
P1_qkg_S_bb004	P1_qkg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn02;PVRIG_RFAb_v2_P1_qkg_S_bb004_mpn03
P1_qkg_S_bb005	P1_qkg_S	cdr3fam_9421d3e3572c34ff	validation	4	PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn02;PVRIG_RFAb_v2_P1_qkg_S_bb005_mpn03
P1_qkg_S_bb006	P1_qkg_S	cdr3fam_445c63f4195c5686	validation	3	PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn02;PVRIG_RFAb_v2_P1_qkg_S_bb006_mpn03
P1_qkg_S_bb007	P1_qkg_S	cdr3fam_06e917d48c2d8cde	validation	4	PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn00;PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn01;PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn02;PVRIG_RFAb_v2_P1_qkg_S_bb007_mpn03
P1_qrg_L_bb000	P1_qrg_L	cdr3fam_437693d92536fdcc	train	4	PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn01;PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn02;PVRIG_RFAb_v2_P1_qrg_L_bb000_mpn03
P1_qrg_L_bb001	P1_qrg_L	cdr3fam_3c3b6b2131097ad5	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn00
P1_qrg_L_bb001	P1_qrg_L	cdr3fam_66145dd0508e246a	train	2	PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn02;PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn03
P1_qrg_L_bb001	P1_qrg_L	cdr3fam_e115521f0dfdf881	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb001_mpn01
P1_qrg_L_bb002	P1_qrg_L	cdr3fam_118181ac6513edab	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn02
P1_qrg_L_bb002	P1_qrg_L	cdr3fam_437693d92536fdcc	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn01
P1_qrg_L_bb002	P1_qrg_L	cdr3fam_79d296f6df331975	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn00
P1_qrg_L_bb002	P1_qrg_L	cdr3fam_934b5a744381e83b	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb002_mpn03
P1_qrg_L_bb003	P1_qrg_L	cdr3fam_46fd6a273c482d41	train	4	PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn01;PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn02;PVRIG_RFAb_v2_P1_qrg_L_bb003_mpn03
P1_qrg_L_bb004	P1_qrg_L	cdr3fam_5bf78d2d6f74ea86	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn02
P1_qrg_L_bb004	P1_qrg_L	cdr3fam_adbd7c626350b752	train	3	PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn01;PVRIG_RFAb_v2_P1_qrg_L_bb004_mpn03
P1_qrg_L_bb005	P1_qrg_L	cdr3fam_8fcd47617420de40	train	3	PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn01;PVRIG_RFAb_v2_P1_qrg_L_bb005_mpn02
P1_qrg_L_bb006	P1_qrg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn01;PVRIG_RFAb_v2_P1_qrg_L_bb006_mpn02
P1_qrg_L_bb007	P1_qrg_L	cdr3fam_4a3003607b09c2f8	train	2	PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn00;PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn02
P1_qrg_L_bb007	P1_qrg_L	cdr3fam_66e45dfeb271aed3	train	1	PVRIG_RFAb_v2_P1_qrg_L_bb007_mpn01
P1_qrg_S_bb000	P1_qrg_S	cdr3fam_6250cae5f36a422f	validation	2	PVRIG_RFAb_v2_P1_qrg_S_bb000_mpn01;PVRIG_RFAb_v2_P1_qrg_S_bb000_mpn02
P1_qrg_S_bb001	P1_qrg_S	cdr3fam_d58db9e2493ba0c2	validation	4	PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn01;PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn02;PVRIG_RFAb_v2_P1_qrg_S_bb001_mpn03
P1_qrg_S_bb002	P1_qrg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P1_qrg_S_bb002_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb002_mpn02;PVRIG_RFAb_v2_P1_qrg_S_bb002_mpn03
P1_qrg_S_bb003	P1_qrg_S	cdr3fam_b3bcf70d86ca348c	validation	2	PVRIG_RFAb_v2_P1_qrg_S_bb003_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb003_mpn02
P1_qrg_S_bb004	P1_qrg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P1_qrg_S_bb004_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb004_mpn01;PVRIG_RFAb_v2_P1_qrg_S_bb004_mpn02;PVRIG_RFAb_v2_P1_qrg_S_bb004_mpn03
P1_qrg_S_bb005	P1_qrg_S	cdr3fam_9421d3e3572c34ff	validation	3	PVRIG_RFAb_v2_P1_qrg_S_bb005_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb005_mpn02;PVRIG_RFAb_v2_P1_qrg_S_bb005_mpn03
P1_qrg_S_bb006	P1_qrg_S	cdr3fam_445c63f4195c5686	validation	4	PVRIG_RFAb_v2_P1_qrg_S_bb006_mpn00;PVRIG_RFAb_v2_P1_qrg_S_bb006_mpn01;PVRIG_RFAb_v2_P1_qrg_S_bb006_mpn02;PVRIG_RFAb_v2_P1_qrg_S_bb006_mpn03
P1_qrg_S_bb007	P1_qrg_S	cdr3fam_044474e063ad6d50	validation	1	PVRIG_RFAb_v2_P1_qrg_S_bb007_mpn02
P1_qrg_S_bb007	P1_qrg_S	cdr3fam_91b61f90545928b4	validation	1	PVRIG_RFAb_v2_P1_qrg_S_bb007_mpn01
P1_qrg_S_bb007	P1_qrg_S	cdr3fam_930a18f19acf6a61	validation	1	PVRIG_RFAb_v2_P1_qrg_S_bb007_mpn00
P1_qrg_S_bb007	P1_qrg_S	cdr3fam_f662dd002df8fa56	validation	1	PVRIG_RFAb_v2_P1_qrg_S_bb007_mpn03
P2_ekg_L_bb000	P2_ekg_L	cdr3fam_437693d92536fdcc	train	4	PVRIG_RFAb_v2_P2_ekg_L_bb000_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb000_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb000_mpn02;PVRIG_RFAb_v2_P2_ekg_L_bb000_mpn03
P2_ekg_L_bb001	P2_ekg_L	cdr3fam_66145dd0508e246a	train	4	PVRIG_RFAb_v2_P2_ekg_L_bb001_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb001_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb001_mpn02;PVRIG_RFAb_v2_P2_ekg_L_bb001_mpn03
P2_ekg_L_bb002	P2_ekg_L	cdr3fam_c494700d5c100c30	train	4	PVRIG_RFAb_v2_P2_ekg_L_bb002_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb002_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb002_mpn02;PVRIG_RFAb_v2_P2_ekg_L_bb002_mpn03
P2_ekg_L_bb003	P2_ekg_L	cdr3fam_66145dd0508e246a	train	3	PVRIG_RFAb_v2_P2_ekg_L_bb003_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb003_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb003_mpn02
P2_ekg_L_bb004	P2_ekg_L	cdr3fam_adbd7c626350b752	train	4	PVRIG_RFAb_v2_P2_ekg_L_bb004_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb004_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb004_mpn02;PVRIG_RFAb_v2_P2_ekg_L_bb004_mpn03
P2_ekg_L_bb005	P2_ekg_L	cdr3fam_2714dcd990988f6f	train	3	PVRIG_RFAb_v2_P2_ekg_L_bb005_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb005_mpn01;PVRIG_RFAb_v2_P2_ekg_L_bb005_mpn02
P2_ekg_L_bb006	P2_ekg_L	cdr3fam_66145dd0508e246a	train	2	PVRIG_RFAb_v2_P2_ekg_L_bb006_mpn00;PVRIG_RFAb_v2_P2_ekg_L_bb006_mpn02
P2_ekg_L_bb006	P2_ekg_L	cdr3fam_85883584551877a4	train	1	PVRIG_RFAb_v2_P2_ekg_L_bb006_mpn01
P2_ekg_L_bb006	P2_ekg_L	cdr3fam_fdccfcb6f9de9e3f	train	1	PVRIG_RFAb_v2_P2_ekg_L_bb006_mpn03
P2_ekg_L_bb007	P2_ekg_L	cdr3fam_3ff0c9b08ead9725	train	1	PVRIG_RFAb_v2_P2_ekg_L_bb007_mpn02
P2_ekg_L_bb007	P2_ekg_L	cdr3fam_8251b85f9823b46b	train	1	PVRIG_RFAb_v2_P2_ekg_L_bb007_mpn00
P2_ekg_L_bb007	P2_ekg_L	cdr3fam_dbc6bf8492da5eb0	train	1	PVRIG_RFAb_v2_P2_ekg_L_bb007_mpn01
P2_ekg_S_bb000	P2_ekg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P2_ekg_S_bb000_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb000_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb000_mpn03
P2_ekg_S_bb001	P2_ekg_S	cdr3fam_445c63f4195c5686	validation	1	PVRIG_RFAb_v2_P2_ekg_S_bb001_mpn01
P2_ekg_S_bb001	P2_ekg_S	cdr3fam_7ec6caee3844cb67	validation	3	PVRIG_RFAb_v2_P2_ekg_S_bb001_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb001_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb001_mpn03
P2_ekg_S_bb002	P2_ekg_S	cdr3fam_6250cae5f36a422f	validation	3	PVRIG_RFAb_v2_P2_ekg_S_bb002_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb002_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb002_mpn03
P2_ekg_S_bb003	P2_ekg_S	cdr3fam_14db0c5a2fa847f0	validation	1	PVRIG_RFAb_v2_P2_ekg_S_bb003_mpn00
P2_ekg_S_bb003	P2_ekg_S	cdr3fam_b3bcf70d86ca348c	validation	2	PVRIG_RFAb_v2_P2_ekg_S_bb003_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb003_mpn02
P2_ekg_S_bb004	P2_ekg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P2_ekg_S_bb004_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb004_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb004_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb004_mpn03
P2_ekg_S_bb005	P2_ekg_S	cdr3fam_9421d3e3572c34ff	validation	4	PVRIG_RFAb_v2_P2_ekg_S_bb005_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb005_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb005_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb005_mpn03
P2_ekg_S_bb006	P2_ekg_S	cdr3fam_445c63f4195c5686	validation	3	PVRIG_RFAb_v2_P2_ekg_S_bb006_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb006_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb006_mpn03
P2_ekg_S_bb007	P2_ekg_S	cdr3fam_06e917d48c2d8cde	validation	4	PVRIG_RFAb_v2_P2_ekg_S_bb007_mpn00;PVRIG_RFAb_v2_P2_ekg_S_bb007_mpn01;PVRIG_RFAb_v2_P2_ekg_S_bb007_mpn02;PVRIG_RFAb_v2_P2_ekg_S_bb007_mpn03
P2_qkg_L_bb000	P2_qkg_L	cdr3fam_437693d92536fdcc	train	4	PVRIG_RFAb_v2_P2_qkg_L_bb000_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb000_mpn01;PVRIG_RFAb_v2_P2_qkg_L_bb000_mpn02;PVRIG_RFAb_v2_P2_qkg_L_bb000_mpn03
P2_qkg_L_bb001	P2_qkg_L	cdr3fam_66145dd0508e246a	train	4	PVRIG_RFAb_v2_P2_qkg_L_bb001_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb001_mpn01;PVRIG_RFAb_v2_P2_qkg_L_bb001_mpn02;PVRIG_RFAb_v2_P2_qkg_L_bb001_mpn03
P2_qkg_L_bb002	P2_qkg_L	cdr3fam_c494700d5c100c30	train	4	PVRIG_RFAb_v2_P2_qkg_L_bb002_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb002_mpn01;PVRIG_RFAb_v2_P2_qkg_L_bb002_mpn02;PVRIG_RFAb_v2_P2_qkg_L_bb002_mpn03
P2_qkg_L_bb003	P2_qkg_L	cdr3fam_5423b7c2f44bf3e5	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb003_mpn00
P2_qkg_L_bb004	P2_qkg_L	cdr3fam_adbd7c626350b752	train	4	PVRIG_RFAb_v2_P2_qkg_L_bb004_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb004_mpn01;PVRIG_RFAb_v2_P2_qkg_L_bb004_mpn02;PVRIG_RFAb_v2_P2_qkg_L_bb004_mpn03
P2_qkg_L_bb005	P2_qkg_L	cdr3fam_2714dcd990988f6f	train	4	PVRIG_RFAb_v2_P2_qkg_L_bb005_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb005_mpn01;PVRIG_RFAb_v2_P2_qkg_L_bb005_mpn02;PVRIG_RFAb_v2_P2_qkg_L_bb005_mpn03
P2_qkg_L_bb006	P2_qkg_L	cdr3fam_66145dd0508e246a	train	2	PVRIG_RFAb_v2_P2_qkg_L_bb006_mpn00;PVRIG_RFAb_v2_P2_qkg_L_bb006_mpn02
P2_qkg_L_bb006	P2_qkg_L	cdr3fam_85883584551877a4	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb006_mpn01
P2_qkg_L_bb006	P2_qkg_L	cdr3fam_fdccfcb6f9de9e3f	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb006_mpn03
P2_qkg_L_bb007	P2_qkg_L	cdr3fam_1762466967d46b0e	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb007_mpn01
P2_qkg_L_bb007	P2_qkg_L	cdr3fam_6b2dd72909ef083a	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb007_mpn03
P2_qkg_L_bb007	P2_qkg_L	cdr3fam_8f9e191f5abaa53f	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb007_mpn00
P2_qkg_L_bb007	P2_qkg_L	cdr3fam_fb032a6cf25b1d63	train	1	PVRIG_RFAb_v2_P2_qkg_L_bb007_mpn02
P2_qkg_S_bb000	P2_qkg_S	cdr3fam_6250cae5f36a422f	validation	1	PVRIG_RFAb_v2_P2_qkg_S_bb000_mpn02
P2_qkg_S_bb001	P2_qkg_S	cdr3fam_9d0c702ba1ed44d9	validation	2	PVRIG_RFAb_v2_P2_qkg_S_bb001_mpn00;PVRIG_RFAb_v2_P2_qkg_S_bb001_mpn02
P2_qkg_S_bb001	P2_qkg_S	cdr3fam_d58db9e2493ba0c2	validation	2	PVRIG_RFAb_v2_P2_qkg_S_bb001_mpn01;PVRIG_RFAb_v2_P2_qkg_S_bb001_mpn03
P2_qkg_S_bb002	P2_qkg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P2_qkg_S_bb002_mpn00;PVRIG_RFAb_v2_P2_qkg_S_bb002_mpn01;PVRIG_RFAb_v2_P2_qkg_S_bb002_mpn02;PVRIG_RFAb_v2_P2_qkg_S_bb002_mpn03
P2_qkg_S_bb003	P2_qkg_S	cdr3fam_b3bcf70d86ca348c	validation	3	PVRIG_RFAb_v2_P2_qkg_S_bb003_mpn01;PVRIG_RFAb_v2_P2_qkg_S_bb003_mpn02;PVRIG_RFAb_v2_P2_qkg_S_bb003_mpn03
P2_qkg_S_bb004	P2_qkg_S	cdr3fam_6250cae5f36a422f	validation	4	PVRIG_RFAb_v2_P2_qkg_S_bb004_mpn00;PVRIG_RFAb_v2_P2_qkg_S_bb004_mpn01;PVRIG_RFAb_v2_P2_qkg_S_bb004_mpn02;PVRIG_RFAb_v2_P2_qkg_S_bb004_mpn03
